Radionuclide	Fr-212
Route of Intake	Injection
Material	Injection, fA=0.99
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Alimentary Tract*
0.041667	1.2E-1	3.3E-3
0.083333	1.5E-2	4.2E-4
0.125	1.9E-3	5.2E-5
0.25	3.6E-6	1.0E-7
0.375	7.1E-9	2.0E-10
