Radionuclide	Fr-212
Route of Intake	Ingestion
Material	All forms, fA=0.99
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Alimentary Tract*
0.041667	1.2E-1	5.8E-2
0.083333	1.5E-2	3.4E-3
0.125	1.9E-3	2.2E-4
0.25	3.6E-6	1.6E-7
0.375	7.1E-9	2.7E-10
