Radionuclide	H-3
Route of Intake	Inhalation
Material	Gas or vapour Type V, Tritiated methane 
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*
0.041667	3.0E-3	-	-	6.9E-5
0.083333	3.0E-3	-	-	6.9E-5
0.125	3.0E-3	-	-	6.9E-5
0.25	3.0E-3	-	-	6.9E-5
0.375	2.9E-3	-	-	7.0E-5
0.5	2.9E-3	-	-	7.0E-5
0.625	2.9E-3	-	-	7.1E-5
0.75	2.9E-3	-	-	7.1E-5
0.875	2.8E-3	-	-	7.1E-5
1	2.8E-3	1.0E-4	9.4E-7	7.1E-5
1.125	2.8E-3	-	-	7.1E-5
1.25	2.8E-3	-	-	7.1E-5
1.375	2.7E-3	-	-	7.1E-5
1.5	2.7E-3	-	-	7.1E-5
1.625	2.7E-3	-	-	7.1E-5
1.75	2.7E-3	-	-	7.0E-5
1.875	2.6E-3	-	-	7.0E-5
2	2.6E-3	1.0E-4	4.6E-6	7.0E-5
2.25	2.6E-3	-	-	6.9E-5
2.5	2.5E-3	-	-	6.8E-5
2.75	2.5E-3	-	-	6.7E-5
3	2.5E-3	9.6E-5	6.6E-6	6.6E-5
3.25	2.4E-3	-	-	6.5E-5
3.5	2.4E-3	-	-	6.4E-5
3.75	2.3E-3	-	-	6.3E-5
4	2.3E-3	9.0E-5	7.0E-6	6.2E-5
4.25	2.2E-3	-	-	6.1E-5
4.5	2.2E-3	-	-	6.0E-5
4.75	2.2E-3	-	-	5.9E-5
5	2.1E-3	8.4E-5	6.7E-6	5.8E-5
5.5	2.1E-3	-	-	5.6E-5
6	2.0E-3	7.8E-5	6.3E-6	5.4E-5
6.5	1.9E-3	-	-	5.2E-5
7	1.9E-3	7.3E-5	5.9E-6	5.0E-5
7.5	1.8E-3	-	-	4.9E-5
8	1.7E-3	6.8E-5	5.5E-6	4.7E-5
8.5	1.7E-3	-	-	4.5E-5
9	1.6E-3	6.3E-5	5.1E-6	4.4E-5
9.5	1.6E-3	-	-	4.2E-5
10	1.5E-3	5.9E-5	4.8E-6	4.1E-5
11	1.4E-3	5.5E-5	4.4E-6	3.8E-5
12	1.3E-3	5.1E-5	4.1E-6	3.6E-5
13	1.2E-3	4.8E-5	3.9E-6	3.3E-5
14	1.1E-3	4.5E-5	3.6E-6	3.1E-5
15	1.1E-3	4.2E-5	3.3E-6	2.9E-5
16	1.0E-3	3.9E-5	3.1E-6	2.7E-5
17	9.4E-4	3.6E-5	2.9E-6	2.5E-5
18	8.7E-4	3.4E-5	2.7E-6	2.4E-5
19	8.2E-4	3.1E-5	2.5E-6	2.2E-5
20	7.6E-4	2.9E-5	2.4E-6	2.1E-5
21	7.1E-4	2.7E-5	2.2E-6	1.9E-5
22	6.7E-4	2.6E-5	2.1E-6	1.8E-5
23	6.2E-4	2.4E-5	1.9E-6	1.7E-5
24	5.8E-4	2.2E-5	1.8E-6	1.6E-5
25	5.4E-4	2.1E-5	1.7E-6	1.5E-5
26	5.1E-4	1.9E-5	1.6E-6	1.4E-5
27	4.8E-4	1.8E-5	1.5E-6	1.3E-5
28	4.4E-4	1.7E-5	1.4E-6	1.2E-5
29	4.2E-4	1.6E-5	1.3E-6	1.1E-5
30	3.9E-4	1.5E-5	1.2E-6	1.0E-5
31	3.6E-4	1.4E-5	1.1E-6	9.7E-6
