Radionuclide	H-3
Route of Intake	Inhalation
Material	Aerosols Type F, LaNiAl tritide, fA=0.99
AMTD/AMAD, µm	0.3

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*
0.041667	2.9E-1	-	-	1.6E-2	7.2E-3
0.083333	2.9E-1	-	-	1.1E-2	4.4E-3
0.125	2.9E-1	-	-	9.4E-3	4.5E-3
0.25	2.8E-1	-	-	7.8E-3	4.6E-3
0.375	2.8E-1	-	-	7.5E-3	4.7E-3
0.5	2.8E-1	-	-	7.4E-3	4.8E-3
0.625	2.7E-1	-	-	7.3E-3	4.9E-3
0.75	2.7E-1	-	-	7.2E-3	4.9E-3
0.875	2.7E-1	-	-	7.1E-3	4.9E-3
1	2.6E-1	8.6E-3	1.6E-4	7.1E-3	4.9E-3
1.125	2.6E-1	-	-	7.0E-3	4.9E-3
1.25	2.6E-1	-	-	6.9E-3	4.8E-3
1.375	2.5E-1	-	-	6.9E-3	4.8E-3
1.5	2.5E-1	-	-	6.8E-3	4.8E-3
1.625	2.5E-1	-	-	6.8E-3	4.8E-3
1.75	2.5E-1	-	-	6.7E-3	4.7E-3
1.875	2.5E-1	-	-	6.7E-3	4.7E-3
2	2.4E-1	9.4E-3	5.8E-4	6.6E-3	4.7E-3
2.25	2.4E-1	-	-	6.5E-3	4.6E-3
2.5	2.3E-1	-	-	6.4E-3	4.5E-3
2.75	2.3E-1	-	-	6.3E-3	4.4E-3
3	2.3E-1	8.9E-3	7.0E-4	6.2E-3	4.4E-3
3.25	2.2E-1	-	-	6.0E-3	4.3E-3
3.5	2.2E-1	-	-	5.9E-3	4.2E-3
3.75	2.2E-1	-	-	5.8E-3	4.1E-3
4	2.1E-1	8.3E-3	6.7E-4	5.7E-3	4.1E-3
4.25	2.1E-1	-	-	5.6E-3	4.0E-3
4.5	2.0E-1	-	-	5.5E-3	3.9E-3
4.75	2.0E-1	-	-	5.4E-3	3.9E-3
5	2.0E-1	7.8E-3	6.3E-4	5.3E-3	3.8E-3
5.5	1.9E-1	-	-	5.2E-3	3.7E-3
6	1.8E-1	7.2E-3	5.8E-4	5.0E-3	3.5E-3
6.5	1.8E-1	-	-	4.8E-3	3.4E-3
7	1.7E-1	6.7E-3	5.4E-4	4.7E-3	3.3E-3
7.5	1.7E-1	-	-	4.5E-3	3.2E-3
