Radionuclide	H-3
Route of Intake	Inhalation
Material	Gas or vapour Type V, Tritium gas 
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*
0.041667	1.0E-4	-	-	2.3E-6
0.083333	1.0E-4	-	-	2.3E-6
0.125	9.9E-5	-	-	2.3E-6
0.25	9.9E-5	-	-	2.3E-6
0.375	9.8E-5	-	-	2.3E-6
0.5	9.7E-5	-	-	2.3E-6
0.625	9.6E-5	-	-	2.4E-6
0.75	9.5E-5	-	-	2.4E-6
0.875	9.4E-5	-	-	2.4E-6
1	9.4E-5	3.5E-6	3.1E-8	2.4E-6
1.125	9.3E-5	-	-	2.4E-6
1.25	9.2E-5	-	-	2.4E-6
1.375	9.1E-5	-	-	2.4E-6
1.5	9.1E-5	-	-	2.4E-6
1.625	9.0E-5	-	-	2.4E-6
1.75	8.9E-5	-	-	2.3E-6
1.875	8.8E-5	-	-	2.3E-6
2	8.8E-5	3.4E-6	1.5E-7	2.3E-6
2.25	8.6E-5	-	-	2.3E-6
2.5	8.5E-5	-	-	2.3E-6
2.75	8.3E-5	-	-	2.2E-6
3	8.2E-5	3.2E-6	2.2E-7	2.2E-6
3.25	8.0E-5	-	-	2.2E-6
3.5	7.9E-5	-	-	2.1E-6
3.75	7.8E-5	-	-	2.1E-6
4	7.6E-5	3.0E-6	2.3E-7	2.1E-6
4.25	7.5E-5	-	-	2.0E-6
4.5	7.4E-5	-	-	2.0E-6
4.75	7.2E-5	-	-	2.0E-6
5	7.1E-5	2.8E-6	2.2E-7	1.9E-6
5.5	6.9E-5	-	-	1.9E-6
6	6.6E-5	2.6E-6	2.1E-7	1.8E-6
6.5	6.4E-5	-	-	1.7E-6
7	6.2E-5	2.4E-6	2.0E-7	1.7E-6
7.5	6.0E-5	-	-	1.6E-6
8	5.8E-5	2.3E-6	1.8E-7	1.6E-6
8.5	5.6E-5	-	-	1.5E-6
9	5.4E-5	2.1E-6	1.7E-7	1.5E-6
9.5	5.2E-5	-	-	1.4E-6
10	5.0E-5	2.0E-6	1.6E-7	1.4E-6
