Radionuclide	H-3
Route of Intake	Inhalation
Material	Aerosols Type M, All unspecified compounds, glass fragments, luminous paint, titanium tritide, zirconium tritide, fA=0.2
AMTD/AMAD, µm	3

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*
0.041667	7.7E-1	-	-	2.5E-1	1.0E-1
0.083333	7.6E-1	-	-	2.8E-1	9.5E-2
0.125	7.5E-1	-	-	2.9E-1	9.1E-2
0.25	7.3E-1	-	-	3.3E-1	8.3E-2
0.375	7.1E-1	-	-	3.5E-1	8.0E-2
0.5	6.9E-1	-	-	3.7E-1	7.8E-2
0.625	6.7E-1	-	-	3.8E-1	7.6E-2
0.75	6.5E-1	-	-	3.8E-1	7.5E-2
0.875	6.2E-1	-	-	3.7E-1	7.4E-2
1	6.0E-1	2.8E-3	6.6E-2	3.6E-1	7.4E-2
1.125	5.7E-1	-	-	3.4E-1	7.3E-2
1.25	5.4E-1	-	-	3.2E-1	7.3E-2
1.375	5.1E-1	-	-	3.0E-1	7.2E-2
1.5	4.9E-1	-	-	2.8E-1	7.2E-2
1.625	4.6E-1	-	-	2.6E-1	7.2E-2
1.75	4.3E-1	-	-	2.3E-1	7.1E-2
1.875	4.1E-1	-	-	2.1E-1	7.1E-2
2	3.8E-1	4.6E-3	2.0E-1	1.9E-1	7.1E-2
2.25	3.4E-1	-	-	1.5E-1	7.0E-2
2.5	3.0E-1	-	-	1.2E-1	7.0E-2
2.75	2.7E-1	-	-	8.8E-2	6.9E-2
3	2.5E-1	4.5E-3	1.2E-1	6.7E-2	6.9E-2
3.25	2.3E-1	-	-	5.0E-2	6.8E-2
3.5	2.1E-1	-	-	3.8E-2	6.8E-2
3.75	2.0E-1	-	-	2.8E-2	6.8E-2
4	1.9E-1	4.2E-3	4.7E-2	2.1E-2	6.7E-2
4.25	1.8E-1	-	-	1.6E-2	6.7E-2
4.5	1.8E-1	-	-	1.3E-2	6.7E-2
4.75	1.7E-1	-	-	1.0E-2	6.6E-2
5	1.7E-1	4.0E-3	1.4E-2	8.2E-3	6.6E-2
5.5	1.6E-1	-	-	5.9E-3	6.5E-2
6	1.6E-1	3.7E-3	4.3E-3	4.6E-3	6.5E-2
6.5	1.6E-1	-	-	4.0E-3	6.4E-2
7	1.5E-1	3.5E-3	1.7E-3	3.6E-3	6.4E-2
7.5	1.5E-1	-	-	3.4E-3	6.3E-2
8	1.5E-1	3.3E-3	1.0E-3	3.2E-3	6.3E-2
8.5	1.4E-1	-	-	3.0E-3	6.2E-2
9	1.4E-1	3.1E-3	7.9E-4	2.9E-3	6.2E-2
9.5	1.4E-1	-	-	2.7E-3	6.1E-2
10	1.3E-1	2.9E-3	6.7E-4	2.6E-3	6.1E-2
11	1.3E-1	2.7E-3	5.9E-4	2.4E-3	6.0E-2
12	1.2E-1	2.5E-3	5.2E-4	2.2E-3	5.9E-2
13	1.2E-1	2.4E-3	4.7E-4	2.0E-3	5.9E-2
14	1.1E-1	2.2E-3	4.2E-4	1.9E-3	5.8E-2
15	1.1E-1	2.1E-3	3.8E-4	1.8E-3	5.8E-2
