Radionuclide	H-3
Route of Intake	Inhalation
Material	Aerosols Biogenic organic compounds, fA=0.99
AMTD/AMAD, µm	5

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*
0.041667	8.1E-1	-	-	8.0E-2	5.6E-3
0.083333	8.0E-1	-	-	4.9E-2	5.0E-3
0.125	7.9E-1	-	-	3.5E-2	5.4E-3
0.25	7.6E-1	-	-	2.4E-2	6.3E-3
0.375	7.4E-1	-	-	2.2E-2	7.0E-3
0.5	7.2E-1	-	-	2.1E-2	7.4E-3
0.625	7.1E-1	-	-	2.0E-2	7.8E-3
0.75	7.0E-1	-	-	1.9E-2	8.0E-3
0.875	6.9E-1	-	-	1.8E-2	8.2E-3
1	6.8E-1	8.9E-3	6.7E-4	1.8E-2	8.3E-3
1.125	6.8E-1	-	-	1.7E-2	8.4E-3
1.25	6.7E-1	-	-	1.7E-2	8.5E-3
1.375	6.6E-1	-	-	1.7E-2	8.5E-3
1.5	6.6E-1	-	-	1.6E-2	8.5E-3
1.625	6.6E-1	-	-	1.6E-2	8.5E-3
1.75	6.5E-1	-	-	1.6E-2	8.5E-3
1.875	6.5E-1	-	-	1.5E-2	8.5E-3
2	6.5E-1	1.2E-2	1.7E-3	1.5E-2	8.5E-3
2.25	6.4E-1	-	-	1.5E-2	8.4E-3
2.5	6.3E-1	-	-	1.5E-2	8.4E-3
2.75	6.3E-1	-	-	1.4E-2	8.3E-3
3	6.2E-1	1.2E-2	1.5E-3	1.4E-2	8.2E-3
3.25	6.2E-1	-	-	1.4E-2	8.1E-3
3.5	6.1E-1	-	-	1.4E-2	8.1E-3
3.75	6.1E-1	-	-	1.3E-2	8.0E-3
4	6.0E-1	1.1E-2	1.1E-3	1.3E-2	7.9E-3
4.25	6.0E-1	-	-	1.3E-2	7.8E-3
4.5	5.9E-1	-	-	1.3E-2	7.8E-3
4.75	5.9E-1	-	-	1.3E-2	7.7E-3
5	5.8E-1	1.0E-2	8.7E-4	1.3E-2	7.6E-3
5.5	5.7E-1	-	-	1.3E-2	7.5E-3
6	5.6E-1	9.9E-3	7.9E-4	1.2E-2	7.3E-3
6.5	5.6E-1	-	-	1.2E-2	7.2E-3
7	5.5E-1	9.5E-3	7.4E-4	1.2E-2	7.0E-3
7.5	5.4E-1	-	-	1.2E-2	6.9E-3
8	5.3E-1	9.0E-3	7.0E-4	1.2E-2	6.8E-3
8.5	5.2E-1	-	-	1.1E-2	6.7E-3
9	5.1E-1	8.6E-3	6.7E-4	1.1E-2	6.5E-3
9.5	5.1E-1	-	-	1.1E-2	6.4E-3
10	5.0E-1	8.2E-3	6.4E-4	1.1E-2	6.3E-3
11	4.9E-1	7.8E-3	6.1E-4	1.0E-2	6.1E-3
12	4.7E-1	7.5E-3	5.8E-4	1.0E-2	5.9E-3
13	4.6E-1	7.2E-3	5.6E-4	9.8E-3	5.7E-3
14	4.5E-1	6.8E-3	5.3E-4	9.5E-3	5.5E-3
15	4.3E-1	6.6E-3	5.1E-4	9.2E-3	5.3E-3
16	4.2E-1	6.3E-3	4.9E-4	9.0E-3	5.1E-3
17	4.1E-1	6.0E-3	4.7E-4	8.7E-3	5.0E-3
18	4.0E-1	5.8E-3	4.5E-4	8.5E-3	4.8E-3
19	3.9E-1	5.5E-3	4.3E-4	8.2E-3	4.7E-3
20	3.8E-1	5.3E-3	4.1E-4	8.0E-3	4.5E-3
21	3.7E-1	5.1E-3	3.9E-4	7.8E-3	4.4E-3
22	3.6E-1	4.9E-3	3.8E-4	7.6E-3	4.3E-3
23	3.5E-1	4.7E-3	3.6E-4	7.4E-3	4.2E-3
24	3.5E-1	4.6E-3	3.5E-4	7.2E-3	4.0E-3
25	3.4E-1	4.4E-3	3.4E-4	7.0E-3	3.9E-3
26	3.3E-1	4.3E-3	3.3E-4	6.8E-3	3.8E-3
27	3.2E-1	4.1E-3	3.1E-4	6.7E-3	3.7E-3
28	3.1E-1	4.0E-3	3.0E-4	6.5E-3	3.6E-3
29	3.1E-1	3.8E-3	2.9E-4	6.4E-3	3.5E-3
30	3.0E-1	3.7E-3	2.8E-4	6.2E-3	3.4E-3
31	2.9E-1	3.6E-3	2.7E-4	6.1E-3	3.4E-3
32	2.9E-1	3.5E-3	2.6E-4	5.9E-3	3.3E-3
33	2.8E-1	3.4E-3	2.6E-4	5.8E-3	3.2E-3
34	2.8E-1	3.3E-3	2.5E-4	5.7E-3	3.1E-3
35	2.7E-1	3.2E-3	2.4E-4	5.5E-3	3.0E-3
36	2.6E-1	3.1E-3	2.3E-4	5.4E-3	3.0E-3
37	2.6E-1	3.0E-3	2.3E-4	5.3E-3	2.9E-3
38	2.5E-1	2.9E-3	2.2E-4	5.2E-3	2.8E-3
39	2.5E-1	2.8E-3	2.1E-4	5.1E-3	2.8E-3
40	2.4E-1	2.7E-3	2.1E-4	5.0E-3	2.7E-3
41	2.4E-1	2.7E-3	2.0E-4	4.9E-3	2.6E-3
42	2.3E-1	2.6E-3	2.0E-4	4.8E-3	2.6E-3
43	2.3E-1	2.5E-3	1.9E-4	4.7E-3	2.5E-3
44	2.2E-1	2.4E-3	1.8E-4	4.6E-3	2.5E-3
45	2.2E-1	2.4E-3	1.8E-4	4.5E-3	2.4E-3
46	2.2E-1	2.3E-3	1.8E-4	4.4E-3	2.4E-3
47	2.1E-1	2.3E-3	1.7E-4	4.3E-3	2.3E-3
48	2.1E-1	2.2E-3	1.7E-4	4.2E-3	2.3E-3
49	2.0E-1	2.2E-3	1.6E-4	4.1E-3	2.2E-3
50	2.0E-1	2.1E-3	1.6E-4	4.0E-3	2.2E-3
51	2.0E-1	2.1E-3	1.5E-4	4.0E-3	2.1E-3
52	1.9E-1	2.0E-3	1.5E-4	3.9E-3	2.1E-3
53	1.9E-1	2.0E-3	1.5E-4	3.8E-3	2.1E-3
54	1.9E-1	1.9E-3	1.4E-4	3.7E-3	2.0E-3
55	1.8E-1	1.9E-3	1.4E-4	3.7E-3	2.0E-3
56	1.8E-1	1.8E-3	1.4E-4	3.6E-3	1.9E-3
57	1.8E-1	1.8E-3	1.3E-4	3.5E-3	1.9E-3
58	1.7E-1	1.8E-3	1.3E-4	3.5E-3	1.9E-3
59	1.7E-1	1.7E-3	1.3E-4	3.4E-3	1.8E-3
60	1.7E-1	1.7E-3	1.3E-4	3.3E-3	1.8E-3
61	1.6E-1	1.6E-3	1.2E-4	3.3E-3	1.8E-3
62	1.6E-1	1.6E-3	1.2E-4	3.2E-3	1.7E-3
63	1.6E-1	1.6E-3	1.2E-4	3.2E-3	1.7E-3
64	1.5E-1	1.5E-3	1.2E-4	3.1E-3	1.7E-3
65	1.5E-1	1.5E-3	1.1E-4	3.0E-3	1.6E-3
66	1.5E-1	1.5E-3	1.1E-4	3.0E-3	1.6E-3
67	1.5E-1	1.4E-3	1.1E-4	2.9E-3	1.6E-3
68	1.4E-1	1.4E-3	1.1E-4	2.9E-3	1.5E-3
69	1.4E-1	1.4E-3	1.0E-4	2.8E-3	1.5E-3
70	1.4E-1	1.4E-3	1.0E-4	2.8E-3	1.5E-3
71	1.4E-1	1.3E-3	1.0E-4	2.7E-3	1.5E-3
72	1.3E-1	1.3E-3	9.8E-5	2.7E-3	1.4E-3
73	1.3E-1	1.3E-3	9.6E-5	2.6E-3	1.4E-3
74	1.3E-1	1.3E-3	9.4E-5	2.6E-3	1.4E-3
75	1.3E-1	1.2E-3	9.2E-5	2.5E-3	1.4E-3
76	1.2E-1	1.2E-3	9.1E-5	2.5E-3	1.3E-3
77	1.2E-1	1.2E-3	8.9E-5	2.4E-3	1.3E-3
78	1.2E-1	1.2E-3	8.7E-5	2.4E-3	1.3E-3
79	1.2E-1	1.1E-3	8.5E-5	2.4E-3	1.3E-3
80	1.2E-1	1.1E-3	8.4E-5	2.3E-3	1.2E-3
81	1.1E-1	1.1E-3	8.2E-5	2.3E-3	1.2E-3
82	1.1E-1	1.1E-3	8.1E-5	2.2E-3	1.2E-3
83	1.1E-1	1.1E-3	7.9E-5	2.2E-3	1.2E-3
84	1.1E-1	1.0E-3	7.8E-5	2.2E-3	1.2E-3
85	1.1E-1	1.0E-3	7.6E-5	2.1E-3	1.1E-3
86	1.0E-1	1.0E-3	7.5E-5	2.1E-3	1.1E-3
87	1.0E-1	9.9E-4	7.4E-5	2.0E-3	1.1E-3
88	1.0E-1	9.7E-4	7.2E-5	2.0E-3	1.1E-3
89	9.9E-2	9.5E-4	7.1E-5	2.0E-3	1.1E-3
90	9.7E-2	9.3E-4	7.0E-5	1.9E-3	1.0E-3
