Radionuclide	H-3
Route of Intake	Inhalation
Material	Aerosols Type S, Carbon tritide, hafnium tritide, fA=1E-2
AMTD/AMAD, µm	0.01

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*
0.041667	8.7E-1	-	-	7.7E-2	6.8E-1
0.083333	8.7E-1	-	-	9.3E-2	6.7E-1
0.125	8.7E-1	-	-	1.1E-1	6.7E-1
0.25	8.6E-1	-	-	1.3E-1	6.5E-1
0.375	8.6E-1	-	-	1.5E-1	6.5E-1
0.5	8.5E-1	-	-	1.6E-1	6.4E-1
0.625	8.4E-1	-	-	1.7E-1	6.4E-1
0.75	8.4E-1	-	-	1.7E-1	6.3E-1
0.875	8.3E-1	-	-	1.7E-1	6.3E-1
1	8.2E-1	2.0E-4	2.7E-2	1.7E-1	6.2E-1
1.125	8.1E-1	-	-	1.7E-1	6.2E-1
1.25	8.0E-1	-	-	1.6E-1	6.2E-1
1.375	7.8E-1	-	-	1.6E-1	6.1E-1
1.5	7.7E-1	-	-	1.5E-1	6.1E-1
1.625	7.6E-1	-	-	1.4E-1	6.0E-1
1.75	7.5E-1	-	-	1.3E-1	6.0E-1
1.875	7.3E-1	-	-	1.3E-1	6.0E-1
2	7.2E-1	3.1E-4	9.3E-2	1.2E-1	5.9E-1
2.25	7.0E-1	-	-	1.0E-1	5.9E-1
2.5	6.8E-1	-	-	8.8E-2	5.8E-1
2.75	6.6E-1	-	-	7.7E-2	5.8E-1
3	6.5E-1	3.1E-4	7.4E-2	6.7E-2	5.7E-1
3.25	6.3E-1	-	-	6.0E-2	5.7E-1
3.5	6.2E-1	-	-	5.3E-2	5.6E-1
3.75	6.1E-1	-	-	4.8E-2	5.6E-1
4	6.0E-1	3.0E-4	4.3E-2	4.4E-2	5.5E-1
4.25	5.9E-1	-	-	4.0E-2	5.5E-1
4.5	5.9E-1	-	-	3.7E-2	5.4E-1
4.75	5.8E-1	-	-	3.5E-2	5.4E-1
5	5.8E-1	2.8E-4	2.7E-2	3.3E-2	5.4E-1
5.5	5.6E-1	-	-	2.9E-2	5.3E-1
6	5.5E-1	2.7E-4	2.0E-2	2.6E-2	5.2E-1
6.5	5.5E-1	-	-	2.4E-2	5.2E-1
7	5.4E-1	2.6E-4	1.6E-2	2.1E-2	5.1E-1
7.5	5.3E-1	-	-	2.0E-2	5.1E-1
8	5.3E-1	2.5E-4	1.3E-2	1.8E-2	5.0E-1
8.5	5.2E-1	-	-	1.6E-2	5.0E-1
9	5.1E-1	2.4E-4	1.1E-2	1.5E-2	4.9E-1
9.5	5.1E-1	-	-	1.4E-2	4.9E-1
10	5.1E-1	2.3E-4	8.8E-3	1.2E-2	4.9E-1
11	5.0E-1	2.2E-4	7.4E-3	1.1E-2	4.8E-1
12	4.9E-1	2.0E-4	6.2E-3	8.9E-3	4.8E-1
13	4.9E-1	1.9E-4	5.3E-3	7.6E-3	4.7E-1
14	4.8E-1	1.8E-4	4.5E-3	6.5E-3	4.7E-1
15	4.8E-1	1.7E-4	3.8E-3	5.6E-3	4.7E-1
16	4.7E-1	1.7E-4	3.3E-3	4.9E-3	4.6E-1
17	4.7E-1	1.6E-4	2.8E-3	4.3E-3	4.6E-1
18	4.7E-1	1.5E-4	2.5E-3	3.8E-3	4.6E-1
19	4.6E-1	1.4E-4	2.2E-3	3.4E-3	4.6E-1
20	4.6E-1	1.3E-4	2.0E-3	3.1E-3	4.5E-1
21	4.6E-1	1.3E-4	1.8E-3	2.8E-3	4.5E-1
22	4.6E-1	1.2E-4	1.6E-3	2.6E-3	4.5E-1
23	4.6E-1	1.1E-4	1.5E-3	2.4E-3	4.5E-1
24	4.5E-1	1.1E-4	1.4E-3	2.2E-3	4.5E-1
25	4.5E-1	1.0E-4	1.3E-3	2.1E-3	4.5E-1
26	4.5E-1	9.9E-5	1.2E-3	2.0E-3	4.5E-1
27	4.5E-1	9.5E-5	1.1E-3	1.9E-3	4.5E-1
28	4.5E-1	9.0E-5	1.1E-3	1.8E-3	4.4E-1
29	4.5E-1	8.6E-5	1.0E-3	1.8E-3	4.4E-1
30	4.5E-1	8.2E-5	1.0E-3	1.7E-3	4.4E-1
31	4.4E-1	7.9E-5	9.8E-4	1.7E-3	4.4E-1
32	4.4E-1	7.5E-5	9.5E-4	1.6E-3	4.4E-1
33	4.4E-1	7.2E-5	9.3E-4	1.6E-3	4.4E-1
34	4.4E-1	6.9E-5	9.2E-4	1.6E-3	4.4E-1
35	4.4E-1	6.7E-5	9.0E-4	1.6E-3	4.4E-1
36	4.4E-1	6.4E-5	8.9E-4	1.5E-3	4.4E-1
37	4.4E-1	6.2E-5	8.8E-4	1.5E-3	4.4E-1
38	4.4E-1	6.0E-5	8.7E-4	1.5E-3	4.3E-1
39	4.4E-1	5.7E-5	8.6E-4	1.5E-3	4.3E-1
40	4.4E-1	5.6E-5	8.5E-4	1.5E-3	4.3E-1
41	4.3E-1	5.4E-5	8.5E-4	1.5E-3	4.3E-1
42	4.3E-1	5.2E-5	8.4E-4	1.5E-3	4.3E-1
43	4.3E-1	5.0E-5	8.4E-4	1.5E-3	4.3E-1
44	4.3E-1	4.9E-5	8.3E-4	1.4E-3	4.3E-1
45	4.3E-1	4.8E-5	8.3E-4	1.4E-3	4.3E-1
46	4.3E-1	4.6E-5	8.2E-4	1.4E-3	4.3E-1
47	4.3E-1	4.5E-5	8.2E-4	1.4E-3	4.3E-1
48	4.3E-1	4.4E-5	8.2E-4	1.4E-3	4.2E-1
49	4.3E-1	4.3E-5	8.1E-4	1.4E-3	4.2E-1
50	4.3E-1	4.2E-5	8.1E-4	1.4E-3	4.2E-1
51	4.2E-1	4.1E-5	8.1E-4	1.4E-3	4.2E-1
52	4.2E-1	4.0E-5	8.0E-4	1.4E-3	4.2E-1
53	4.2E-1	3.9E-5	8.0E-4	1.4E-3	4.2E-1
54	4.2E-1	3.8E-5	8.0E-4	1.4E-3	4.2E-1
55	4.2E-1	3.8E-5	7.9E-4	1.4E-3	4.2E-1
56	4.2E-1	3.7E-5	7.9E-4	1.4E-3	4.2E-1
57	4.2E-1	3.6E-5	7.9E-4	1.4E-3	4.2E-1
58	4.2E-1	3.6E-5	7.9E-4	1.4E-3	4.2E-1
59	4.2E-1	3.5E-5	7.8E-4	1.4E-3	4.1E-1
60	4.2E-1	3.5E-5	7.8E-4	1.4E-3	4.1E-1
61	4.2E-1	3.4E-5	7.8E-4	1.4E-3	4.1E-1
62	4.1E-1	3.4E-5	7.8E-4	1.3E-3	4.1E-1
63	4.1E-1	3.3E-5	7.7E-4	1.3E-3	4.1E-1
64	4.1E-1	3.3E-5	7.7E-4	1.3E-3	4.1E-1
65	4.1E-1	3.2E-5	7.7E-4	1.3E-3	4.1E-1
66	4.1E-1	3.2E-5	7.7E-4	1.3E-3	4.1E-1
67	4.1E-1	3.2E-5	7.6E-4	1.3E-3	4.1E-1
68	4.1E-1	3.1E-5	7.6E-4	1.3E-3	4.1E-1
69	4.1E-1	3.1E-5	7.6E-4	1.3E-3	4.1E-1
70	4.1E-1	3.1E-5	7.6E-4	1.3E-3	4.1E-1
71	4.1E-1	3.0E-5	7.5E-4	1.3E-3	4.0E-1
72	4.1E-1	3.0E-5	7.5E-4	1.3E-3	4.0E-1
73	4.0E-1	3.0E-5	7.5E-4	1.3E-3	4.0E-1
74	4.0E-1	3.0E-5	7.5E-4	1.3E-3	4.0E-1
75	4.0E-1	2.9E-5	7.4E-4	1.3E-3	4.0E-1
76	4.0E-1	2.9E-5	7.4E-4	1.3E-3	4.0E-1
77	4.0E-1	2.9E-5	7.4E-4	1.3E-3	4.0E-1
78	4.0E-1	2.9E-5	7.4E-4	1.3E-3	4.0E-1
79	4.0E-1	2.9E-5	7.3E-4	1.3E-3	4.0E-1
80	4.0E-1	2.8E-5	7.3E-4	1.3E-3	4.0E-1
81	4.0E-1	2.8E-5	7.3E-4	1.3E-3	4.0E-1
82	4.0E-1	2.8E-5	7.3E-4	1.3E-3	4.0E-1
83	4.0E-1	2.8E-5	7.2E-4	1.3E-3	3.9E-1
84	4.0E-1	2.8E-5	7.2E-4	1.3E-3	3.9E-1
85	3.9E-1	2.8E-5	7.2E-4	1.2E-3	3.9E-1
86	3.9E-1	2.8E-5	7.2E-4	1.2E-3	3.9E-1
87	3.9E-1	2.7E-5	7.1E-4	1.2E-3	3.9E-1
88	3.9E-1	2.7E-5	7.1E-4	1.2E-3	3.9E-1
89	3.9E-1	2.7E-5	7.1E-4	1.2E-3	3.9E-1
90	3.9E-1	2.7E-5	7.1E-4	1.2E-3	3.9E-1
91	3.9E-1	2.7E-5	7.1E-4	1.2E-3	3.9E-1
92	3.9E-1	2.7E-5	7.0E-4	1.2E-3	3.9E-1
93	3.9E-1	2.7E-5	7.0E-4	1.2E-3	3.9E-1
94	3.9E-1	2.7E-5	7.0E-4	1.2E-3	3.9E-1
95	3.9E-1	2.7E-5	7.0E-4	1.2E-3	3.8E-1
96	3.9E-1	2.6E-5	6.9E-4	1.2E-3	3.8E-1
97	3.8E-1	2.6E-5	6.9E-4	1.2E-3	3.8E-1
98	3.8E-1	2.6E-5	6.9E-4	1.2E-3	3.8E-1
99	3.8E-1	2.6E-5	6.9E-4	1.2E-3	3.8E-1
100	3.8E-1	2.6E-5	6.8E-4	1.2E-3	3.8E-1
