Radionuclide	H-3
Route of Intake	Inhalation
Material	Aerosols Biogenic organic compounds, fA=0.99
AMTD/AMAD, µm	3

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*
0.041667	7.7E-1	-	-	7.4E-2	6.1E-3
0.083333	7.6E-1	-	-	4.5E-2	5.0E-3
0.125	7.5E-1	-	-	3.2E-2	5.4E-3
0.25	7.3E-1	-	-	2.3E-2	6.2E-3
0.375	7.1E-1	-	-	2.1E-2	6.8E-3
0.5	6.9E-1	-	-	2.0E-2	7.2E-3
0.625	6.8E-1	-	-	1.9E-2	7.5E-3
0.75	6.7E-1	-	-	1.8E-2	7.7E-3
0.875	6.6E-1	-	-	1.7E-2	7.9E-3
1	6.5E-1	8.7E-3	6.1E-4	1.7E-2	8.0E-3
1.125	6.5E-1	-	-	1.6E-2	8.1E-3
1.25	6.4E-1	-	-	1.6E-2	8.2E-3
1.375	6.4E-1	-	-	1.6E-2	8.2E-3
1.5	6.3E-1	-	-	1.5E-2	8.2E-3
1.625	6.3E-1	-	-	1.5E-2	8.2E-3
1.75	6.3E-1	-	-	1.5E-2	8.2E-3
1.875	6.2E-1	-	-	1.5E-2	8.2E-3
2	6.2E-1	1.1E-2	1.6E-3	1.5E-2	8.2E-3
2.25	6.1E-1	-	-	1.4E-2	8.1E-3
2.5	6.1E-1	-	-	1.4E-2	8.0E-3
2.75	6.0E-1	-	-	1.4E-2	8.0E-3
3	6.0E-1	1.1E-2	1.4E-3	1.3E-2	7.9E-3
3.25	5.9E-1	-	-	1.3E-2	7.8E-3
3.5	5.9E-1	-	-	1.3E-2	7.7E-3
3.75	5.8E-1	-	-	1.3E-2	7.7E-3
4	5.8E-1	1.1E-2	1.0E-3	1.3E-2	7.6E-3
4.25	5.7E-1	-	-	1.3E-2	7.5E-3
4.5	5.7E-1	-	-	1.3E-2	7.4E-3
4.75	5.6E-1	-	-	1.2E-2	7.4E-3
5	5.6E-1	1.0E-2	8.4E-4	1.2E-2	7.3E-3
5.5	5.5E-1	-	-	1.2E-2	7.2E-3
6	5.4E-1	9.5E-3	7.6E-4	1.2E-2	7.0E-3
6.5	5.3E-1	-	-	1.2E-2	6.9E-3
7	5.2E-1	9.1E-3	7.1E-4	1.1E-2	6.8E-3
7.5	5.2E-1	-	-	1.1E-2	6.6E-3
8	5.1E-1	8.7E-3	6.8E-4	1.1E-2	6.5E-3
8.5	5.0E-1	-	-	1.1E-2	6.4E-3
9	4.9E-1	8.3E-3	6.4E-4	1.1E-2	6.3E-3
9.5	4.9E-1	-	-	1.1E-2	6.2E-3
10	4.8E-1	7.9E-3	6.1E-4	1.0E-2	6.0E-3
11	4.7E-1	7.5E-3	5.8E-4	1.0E-2	5.8E-3
12	4.5E-1	7.2E-3	5.6E-4	9.7E-3	5.6E-3
