Radionuclide	Tm-162
Route of Intake	Injection
Material	Injection, fA=5E-4
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Alimentary Tract*	Skeleton*	Liver*
0.041667	1.4E-1	4.4E-3	4.6E-2	7.7E-3
0.083333	2.0E-2	4.2E-4	8.0E-3	8.7E-4
0.125	2.9E-3	5.5E-5	1.2E-3	1.2E-4
0.25	8.8E-6	1.6E-7	4.2E-6	3.9E-7
0.375	2.7E-8	5.0E-10	1.4E-8	1.3E-9
