  T/S      O-cavity       O-mucosa       Teeth-S        Teeth-V        Tongue         Tonsils        Oesophag-s     Oesophag-f     Oesophag-w     St-cont        St-mucosa      St-wall        SI-cont        SI-mucosa      SI-wall        SI-villi       RC-cont        RC-mucosa      RC-wall        LC-cont        LC-mucosa      LC-wall        RS-cont        RS-mucosa      RS-wall        ET1-sur        ET2-sur        ET2-bnd        ET2-seq        LN-ET          Bronchi        Bronchi-b      Bronchi-q      Brchiole       Brchiole-b     Brchiole-q     ALV            LN-Th          Lungs          Adrenals       Blood          C-bone-S       C-bone-V       T-bone-S       T-bone-V       C-marrow       T-marrow       R-marrow       Y-marrow       Brain          Breast         Eye-lens       GB-wall        GB-cont        Ht-wall        Kidneys        Liver          LN-Sys         Ovaries        Pancreas       P-gland        Prostate       S-glands       Skin           Spleen         Testes         Thymus         Thyroid        Ureters        UB-wall        UB-cont        Uterus         Adipose        Cartilage      Muscle         ET1-wall       ET2-wall       Lung-Tis       RT-air
O-mucosa   3.64864760E-13 2.13488207E-12 1.38839732E-12 2.49420072E-14 7.71834792E-13 6.25374662E-14 3.21596996E-16 3.21596996E-16 3.21596996E-16 1.96498452E-17 1.76344836E-17 1.76344836E-17 5.56577238E-18 4.63630913E-18 4.63630913E-18 4.63630913E-18 4.12455850E-18 3.93808557E-18 3.93808557E-18 3.31494911E-18 3.15271040E-18 3.15271040E-18 9.32047394E-19 8.07996555E-19 8.07996555E-19 2.44525091E-15 2.03455707E-14 2.03455707E-14 2.03455707E-14 4.54807638E-14 3.16484079E-16 3.16484079E-16 3.16484079E-16 8.75128019E-17 8.75128019E-17 8.75128019E-17 8.75128019E-17 3.60604269E-16 8.79678160E-17 1.65055452E-17 6.02223649E-16 1.29101275E-15 1.29101275E-15 4.71836709E-16 4.71836709E-16 5.70504360E-18 2.26332107E-16 2.80925006E-16 1.73062818E-16 3.92980552E-16 1.09229955E-16 9.54574074E-16 1.85714863E-17 1.81531266E-17 7.42823062E-17 1.02877448E-17 2.51409740E-17 8.96011428E-17 7.22014197E-19 1.29169977E-17 1.19664993E-15 0.00000000E+00 2.94922890E-15 6.52647772E-17 2.04776458E-17 0.00000000E+00 2.46908928E-16 6.53209755E-16 4.67984305E-18 1.01377083E-18 8.38001183E-19 7.34450914E-19 1.34643703E-16 8.23521629E-16 2.64057393E-16 2.03455707E-14 2.03455707E-14 9.51725753E-17 2.67018774E-16
Oesophagus 3.21152176E-16 3.21152176E-16 1.96164431E-16 1.96164431E-16 3.58686905E-16 2.51836950E-16 4.29558129E-12 8.66767084E-13 1.06360232E-12 3.87435754E-16 6.67785134E-16 6.67785134E-16 5.40466879E-17 4.28049105E-17 4.28049105E-17 4.28049105E-17 2.42289091E-17 2.48379123E-17 2.48379123E-17 2.10723010E-17 2.02557425E-17 2.02557425E-17 5.46645269E-18 4.49657921E-18 4.49657921E-18 8.88844774E-17 5.37457261E-15 5.37457261E-15 5.37457261E-15 1.07795068E-15 2.45802670E-14 2.45802670E-14 2.45802670E-14 1.09358958E-15 1.09358958E-15 1.09358958E-15 1.09358958E-15 2.05049445E-14 1.07798389E-15 3.30432930E-16 3.22996256E-15 4.19319885E-16 4.19319885E-16 1.67474242E-16 1.67474242E-16 1.95172180E-17 2.54510753E-16 4.69692097E-16 1.13562880E-16 5.17593454E-17 2.41975877E-16 5.98027657E-17 2.34310752E-16 2.38505961E-16 5.60163455E-15 1.26426876E-16 5.35880290E-16 3.19866019E-15 3.94252519E-18 1.33554720E-16 9.91687430E-17 0.00000000E+00 3.12300579E-16 5.93883273E-17 3.25333040E-16 0.00000000E+00 1.53667094E-15 6.20757493E-15 4.08508871E-17 4.18061572E-18 4.60316134E-18 3.97659745E-18 1.37771910E-16 4.03570329E-16 1.78520409E-16 5.37457261E-15 5.37457261E-15 1.87668418E-15 1.36781417E-15
St-stem    1.83825078E-17 1.83825078E-17 1.81675896E-17 1.81675896E-17 1.80833308E-17 1.44266457E-17 6.70501254E-16 6.70501254E-16 6.70501254E-16 1.34589749E-13 4.03594008E-12 2.38087964E-13 1.01570702E-15 1.31161641E-15 1.31161641E-15 1.31161641E-15 1.28831689E-16 1.28790350E-16 1.28790350E-16 2.17442799E-16 2.14474541E-16 2.14474541E-16 3.05231872E-17 2.61543415E-17 2.61543415E-17 1.58481475E-17 1.50092720E-17 1.50092720E-17 1.50092720E-17 2.04891122E-17 1.05997378E-16 1.05997378E-16 1.05997378E-16 3.51323584E-16 3.51323584E-16 3.51323584E-16 3.51323584E-16 8.74869636E-17 3.45691696E-16 9.29950038E-16 2.94554271E-15 6.12110259E-17 6.12110259E-17 7.67000773E-17 7.67000773E-17 1.97544081E-17 9.77438576E-17 1.76036235E-16 4.82986265E-17 5.56708864E-18 1.58643949E-16 1.29079065E-17 1.68939844E-15 8.49531805E-16 8.23477929E-16 6.97879115E-16 1.26366964E-15 1.96540732E-15 2.24069286E-17 6.03388104E-15 7.80119542E-18 0.00000000E+00 1.51315041E-17 6.23457329E-17 3.72141913E-15 0.00000000E+00 6.96576307E-17 3.53806516E-17 3.02935166E-16 2.49057136E-17 2.70160846E-17 2.44003020E-17 1.72510628E-16 1.22994248E-16 1.15180850E-16 1.50092720E-17 1.50092720E-17 3.43136621E-16 3.45673666E-16
SI-stem    5.23857432E-18 5.23857432E-18 5.10182135E-18 5.10182135E-18 4.97057371E-18 3.96871417E-18 4.34291335E-17 4.34291335E-17 4.34291335E-17 4.92645526E-16 1.31311584E-15 1.31311584E-15 2.66911450E-14 4.44605311E-13 5.77100709E-14 1.46137352E-13 9.12846239E-16 1.47320240E-15 1.47320240E-15 1.36308307E-15 2.00898497E-15 2.00898497E-15 1.16395663E-15 1.05210257E-15 1.05210257E-15 4.89559016E-18 4.10909729E-18 4.10909729E-18 4.10909729E-18 5.44363716E-18 2.28726907E-17 2.28726907E-17 2.28726907E-17 4.12175643E-17 4.12175643E-17 4.12175643E-17 4.12175643E-17 1.96742812E-17 4.17348029E-17 5.80738759E-16 3.05338205E-15 8.21865628E-17 8.21865628E-17 1.30163130E-16 1.30163130E-16 2.05279648E-17 1.74504142E-16 2.84912565E-16 9.77028261E-17 1.53277986E-18 3.39303189E-17 4.17714017E-18 1.56715139E-15 7.40025998E-16 5.97198877E-17 6.71187381E-16 3.02737587E-16 3.37243543E-15 1.14964394E-15 2.63477114E-15 2.12142021E-18 0.00000000E+00 4.07206944E-18 5.55930736E-17 2.33423018E-16 0.00000000E+00 1.65252724E-17 8.96978405E-18 2.12743266E-15 1.24223829E-15 8.87640431E-16 7.31511123E-16 2.82892763E-16 1.77519657E-16 1.39829550E-16 4.10909729E-18 4.10909729E-18 4.05965309E-17 4.06719195E-17
RC-stem    4.41962317E-18 4.41962317E-18 4.15475882E-18 4.15475882E-18 4.26668371E-18 3.42928716E-18 2.43801260E-17 2.43801260E-17 2.43801260E-17 9.30163979E-17 1.28415789E-16 1.28415789E-16 6.30234690E-16 1.47365245E-15 1.47365245E-15 1.47365245E-15 2.33052693E-14 9.34537369E-13 2.59618833E-13 4.05288569E-16 7.52678547E-16 7.52678547E-16 1.73573584E-16 1.59976532E-16 1.59976532E-16 4.04363286E-18 3.40943850E-18 3.40943850E-18 3.40943850E-18 4.68056758E-18 1.64327062E-17 1.64327062E-17 1.64327062E-17 2.76700412E-17 2.76700412E-17 2.76700412E-17 2.76700412E-17 1.41667115E-17 2.77469585E-17 1.78973607E-16 2.84075761E-15 7.56983859E-17 7.56983859E-17 1.10816102E-16 1.10816102E-16 1.84877886E-17 1.33680716E-16 2.11134466E-16 7.81291598E-17 1.33925320E-18 2.29932579E-17 3.52714765E-18 2.58191313E-16 2.61098387E-16 3.09662400E-17 8.73587650E-16 2.17728087E-16 2.28548549E-15 1.75870789E-16 6.03174350E-16 1.75506759E-18 0.00000000E+00 3.51919720E-18 5.90553699E-17 5.34029920E-17 0.00000000E+00 1.32930631E-17 7.58177270E-18 7.47951931E-16 2.34692251E-16 2.68723670E-16 1.74024163E-16 2.28194415E-16 1.28631091E-16 2.27953386E-16 3.40943850E-18 3.40943850E-18 2.72954291E-17 2.73230156E-17
LC-stem    3.38873184E-18 3.38873184E-18 3.30225580E-18 3.30225580E-18 3.09030280E-18 2.48019305E-18 2.05049028E-17 2.05049028E-17 2.05049028E-17 1.63857126E-16 2.15149396E-16 2.15149396E-16 8.38748147E-16 2.00879424E-15 2.00879424E-15 2.00879424E-15 4.70037926E-16 7.47494975E-16 7.47494975E-16 2.85333209E-14 9.60890740E-13 2.61213234E-13 7.05854752E-16 6.09341353E-16 6.09341353E-16 3.57127875E-18 2.49043031E-18 2.49043031E-18 2.49043031E-18 3.17144652E-18 1.23826308E-17 1.23826308E-17 1.23826308E-17 2.14834790E-17 2.14834790E-17 2.14834790E-17 2.14834790E-17 1.05310338E-17 2.22809733E-17 1.05309138E-16 2.93718522E-15 7.73380935E-17 7.73380935E-17 1.08824355E-16 1.08824355E-16 1.89350680E-17 1.36359968E-16 2.08325966E-16 8.29050122E-17 9.55146966E-19 1.88041345E-17 2.85216213E-18 1.30608048E-16 1.33340775E-16 3.05449713E-17 2.23562724E-16 7.43251945E-17 2.00992656E-15 1.92332071E-16 2.55920635E-16 1.25453934E-18 0.00000000E+00 2.54785525E-18 5.80162896E-17 9.51750646E-17 0.00000000E+00 8.99788852E-18 5.17591917E-18 7.59138644E-16 3.19376083E-16 3.55304650E-16 2.35994679E-16 2.37578103E-16 1.24819357E-16 1.94449858E-16 2.49043031E-18 2.49043031E-18 2.11799330E-17 2.12113601E-17
RS-stem    8.38147987E-19 8.38147987E-19 1.00699363E-18 1.00699363E-18 8.27451736E-19 6.37987659E-19 4.67409912E-18 4.67409912E-18 4.67409912E-18 2.15725779E-17 2.62859184E-17 2.62859184E-17 9.96289556E-16 1.05333962E-15 1.05333962E-15 1.05333962E-15 1.58363032E-16 1.60987017E-16 1.60987017E-16 2.76868496E-16 6.11261839E-16 6.11261839E-16 6.71289039E-14 1.59065034E-12 5.25388703E-13 9.93250123E-19 6.54043267E-19 6.54043267E-19 6.54043267E-19 8.46736688E-19 3.43181344E-18 3.43181344E-18 3.43181344E-18 5.55687165E-18 5.55687165E-18 5.55687165E-18 5.54891092E-18 2.84749552E-18 5.69024188E-18 2.55883212E-17 2.87043183E-15 9.09764400E-17 9.09764400E-17 1.17355046E-16 1.17355046E-16 3.75361844E-17 2.08912744E-16 3.06392819E-16 1.37294532E-16 2.88271460E-19 4.28683371E-18 8.01924971E-19 2.70570161E-17 2.72852221E-17 6.40582591E-18 4.58421526E-17 1.91238103E-17 2.47692974E-15 6.09204475E-15 4.18329369E-17 3.61290909E-19 0.00000000E+00 7.73517228E-19 5.65994380E-17 1.72761412E-17 0.00000000E+00 2.33067732E-18 1.37228536E-18 2.11310291E-15 6.17142118E-15 2.26149580E-15 9.20353500E-15 2.99780967E-16 1.53571755E-16 2.05311458E-16 6.54043267E-19 6.54043267E-19 5.47903983E-18 5.48124381E-18
ET1-bas    2.44137607E-15 2.44137607E-15 3.26640984E-15 3.26640984E-15 1.81244979E-15 1.25506547E-15 8.49662640E-17 8.49662640E-17 8.49662640E-17 1.80571701E-17 1.47502689E-17 1.47502689E-17 4.43909467E-18 4.57929732E-18 4.57929732E-18 4.57929732E-18 4.11161202E-18 3.57305400E-18 3.57305400E-18 2.61610268E-18 4.11457996E-18 4.11457996E-18 1.13439374E-18 8.01569623E-19 8.01569623E-19 7.22315230E-11 2.18646588E-15 2.18646588E-15 2.18646588E-15 5.71111424E-16 9.06633333E-17 9.06633333E-17 9.06633333E-17 5.14115800E-17 5.14115800E-17 5.14115800E-17 5.14115800E-17 9.83985531E-17 4.80845398E-17 1.11697785E-17 3.62366801E-16 7.16771263E-16 7.16771263E-16 1.99819931E-16 1.99819931E-16 4.45466861E-18 8.54327087E-17 1.00657179E-16 6.78197115E-17 4.41426446E-16 9.56863233E-17 3.86178431E-15 1.53406952E-17 1.34496492E-17 4.62827871E-17 7.80423878E-18 1.87147300E-17 3.56147067E-17 2.93822992E-19 1.11258943E-17 7.17920760E-16 0.00000000E+00 5.19242583E-16 1.60852682E-16 1.36297040E-17 0.00000000E+00 1.10858505E-16 1.73149631E-16 3.67222686E-18 1.07999463E-18 1.28158549E-18 8.20029657E-19 6.47515493E-16 2.33237472E-16 6.61151994E-17 4.00591005E-12 2.18646588E-15 5.27320471E-17 7.03840297E-17
ET2-bas    2.04186609E-14 2.04186609E-14 2.03718067E-15 2.03718067E-15 1.23967492E-14 8.27895588E-15 5.35699891E-15 5.35699891E-15 5.35699891E-15 1.71525215E-17 1.41190248E-17 1.41190248E-17 4.57512210E-18 3.82885302E-18 3.82885302E-18 3.82885302E-18 3.71376822E-18 2.98601933E-18 2.98601933E-18 2.22459353E-18 2.14606117E-18 2.14606117E-18 5.49498544E-19 4.64323439E-19 4.64323439E-19 2.23140301E-15 2.25753828E-12 3.90016003E-12 3.50332259E-12 6.02141652E-14 8.14265413E-15 8.14265413E-15 8.14265413E-15 9.35366683E-17 9.35366683E-17 9.35366683E-17 9.35366683E-17 1.18623999E-14 9.27145275E-17 1.47266879E-17 3.97717440E-16 5.05890598E-16 5.05890598E-16 3.11452580E-16 3.11452580E-16 5.01106993E-18 1.79035167E-16 2.65264145E-16 1.13617622E-16 6.66679416E-16 8.47002092E-17 9.06664795E-16 1.45500386E-17 1.38668899E-17 7.10216292E-17 9.02742162E-18 2.14656904E-17 1.27773432E-16 5.71146176E-19 1.00445350E-17 2.91755035E-15 0.00000000E+00 2.52696336E-15 5.75893302E-17 2.09861614E-17 0.00000000E+00 2.81258669E-16 1.10287127E-15 3.38960094E-18 6.21370460E-19 6.17687595E-19 6.37936895E-19 4.02585179E-16 5.37754049E-15 1.48347440E-16 2.18646588E-15 4.00591005E-12 3.61832445E-16 2.36134435E-14
LN-ET      4.56798840E-14 4.56798840E-14 2.10136829E-15 2.10136829E-15 2.15965377E-14 2.85861671E-15 1.07754480E-15 1.07754480E-15 1.07754480E-15 2.06977788E-17 1.81763968E-17 1.81975904E-17 4.59933332E-18 4.10768545E-18 4.10768545E-18 4.10768545E-18 5.00164258E-18 5.81615747E-18 5.81615747E-18 3.86911084E-18 2.28366736E-18 2.28366736E-18 9.71530138E-19 3.03620548E-19 8.46734535E-19 5.97523011E-16 6.02189543E-14 6.02189543E-14 6.02189543E-14 4.08362803E-12 2.10438504E-15 2.10438504E-15 2.10438504E-15 1.45307347E-16 1.45307347E-16 1.45307347E-16 1.45307347E-16 1.87177386E-15 1.36283818E-16 1.79541376E-17 8.52789037E-17 2.39145130E-16 2.39145130E-16 1.97711533E-16 1.97711533E-16 7.87570976E-18 1.46152560E-16 2.15719589E-16 8.04691237E-17 2.81563189E-16 1.26497983E-16 3.58095748E-16 2.08185151E-17 1.55689715E-17 1.08141923E-16 1.17460332E-17 3.31489962E-17 1.65618898E-16 4.64838086E-19 1.05925824E-17 7.34191242E-16 0.00000000E+00 8.73168646E-15 6.82381985E-17 2.60344026E-17 0.00000000E+00 4.34883630E-16 1.91826747E-15 4.75904180E-18 9.21614071E-19 1.22919062E-18 8.87107169E-19 2.78763156E-16 5.92034079E-15 5.78485981E-16 6.02189543E-14 6.02189543E-14 2.10668517E-16 6.90666952E-16
