  T/S      O-cavity       O-mucosa       Teeth-S        Teeth-V        Tongue         Tonsils        Oesophag-s     Oesophag-f     Oesophag-w     St-cont        St-mucosa      St-wall        SI-cont        SI-mucosa      SI-wall        SI-villi       RC-cont        RC-mucosa      RC-wall        LC-cont        LC-mucosa      LC-wall        RS-cont        RS-mucosa      RS-wall        ET1-sur        ET2-sur        ET2-bnd        ET2-seq        LN-ET          Bronchi        Bronchi-b      Bronchi-q      Brchiole       Brchiole-b     Brchiole-q     ALV            LN-Th          Lungs          Adrenals       Blood          C-bone-S       C-bone-V       T-bone-S       T-bone-V       C-marrow       T-marrow       R-marrow       Y-marrow       Brain          Breast         Eye-lens       GB-wall        GB-cont        Ht-wall        Kidneys        Liver          LN-Sys         Ovaries        Pancreas       P-gland        Prostate       S-glands       Skin           Spleen         Testes         Thymus         Thyroid        Ureters        UB-wall        UB-cont        Uterus         Adipose        Cartilage      Muscle         ET1-wall       ET2-wall       Lung-Tis       RT-air
O-mucosa   2.22440357E-13 1.79557633E-12 1.02737744E-12 1.59792257E-14 5.97650280E-13 3.63780878E-14 2.88212142E-16 2.88212142E-16 2.88212142E-16 1.27041851E-17 1.06270232E-17 1.06270232E-17 2.86024786E-18 2.33214849E-18 2.33214849E-18 2.33214849E-18 1.56940406E-18 1.52777386E-18 1.52777386E-18 1.22520691E-18 1.04522344E-18 1.04522344E-18 1.86836289E-19 1.89075846E-19 1.89075846E-19 2.15205921E-15 1.24298029E-14 1.24298029E-14 1.24298029E-14 2.57668234E-14 2.77393334E-16 2.77393334E-16 2.77393334E-16 7.13834476E-17 7.13834476E-17 7.13834476E-17 7.13834476E-17 3.22367151E-16 7.13309786E-17 9.82670362E-18 4.63521951E-16 7.74562955E-16 7.74562955E-16 3.25364223E-16 3.25364223E-16 3.76446191E-18 1.64642219E-16 2.08703821E-16 1.21646369E-16 3.46090801E-16 9.14044832E-17 8.14011380E-16 1.10489670E-17 1.13322964E-17 5.98857178E-17 5.25031518E-18 1.70343680E-17 7.83338044E-17 1.61294457E-19 6.81070205E-18 1.14555176E-15 0.00000000E+00 2.53313900E-15 5.32690972E-17 1.34667560E-17 0.00000000E+00 2.16164245E-16 5.82605209E-16 1.97137045E-18 1.54320886E-19 1.67262980E-19 1.38676288E-19 9.49415435E-17 5.11073138E-16 1.66101663E-16 1.24298029E-14 1.24298029E-14 7.82481287E-17 1.81523869E-16
Oesophagus 2.91924542E-16 2.91924542E-16 1.64644618E-16 1.64644618E-16 3.27099680E-16 2.26513233E-16 3.24424101E-12 5.15315371E-13 8.86569459E-13 3.74149742E-16 4.94121824E-16 4.94121824E-16 4.75582402E-17 3.61272336E-17 3.61272336E-17 3.61272336E-17 1.66539913E-17 1.70724007E-17 1.70724007E-17 1.47638713E-17 1.42005889E-17 1.42005889E-17 2.51903321E-18 2.25433917E-18 2.25433917E-18 6.47114294E-17 3.11715881E-15 3.11715881E-15 3.11715881E-15 1.00114877E-15 1.42701178E-14 1.42701178E-14 1.42701178E-14 9.19328933E-16 9.19328933E-16 9.19328933E-16 9.19328933E-16 1.22440626E-14 9.14379914E-16 3.19727575E-16 2.53864598E-15 2.86258959E-16 2.86258959E-16 1.48149963E-16 1.48149963E-16 1.68180730E-17 2.24175931E-16 4.17557327E-16 9.94254097E-17 3.76531710E-17 2.18277846E-16 4.16732189E-17 2.27494595E-16 2.29386658E-16 3.55043194E-15 1.17167471E-16 4.30359067E-16 1.89456998E-15 1.85227660E-18 1.24198142E-16 8.13239306E-17 0.00000000E+00 2.74127610E-16 4.91973565E-17 3.15822101E-16 0.00000000E+00 1.44802842E-15 4.50994629E-15 3.41417331E-17 1.79721507E-18 1.94947066E-18 1.85557100E-18 1.01053157E-16 2.77913564E-16 1.34375060E-16 3.11715881E-15 3.11715881E-15 1.36466797E-15 1.07299654E-15
St-stem    1.18546023E-17 1.18546023E-17 1.12332609E-17 1.12332609E-17 1.17564308E-17 9.03181712E-18 4.98091886E-16 4.98091886E-16 4.98091886E-16 8.52501606E-14 4.47578164E-12 2.01105553E-13 8.73394765E-16 9.21376143E-16 9.21376143E-16 9.21376143E-16 1.14391259E-16 1.15103406E-16 1.15103406E-16 2.03318412E-16 2.00334526E-16 2.00334526E-16 2.11321168E-17 1.74404153E-17 1.74404153E-17 9.85157715E-18 9.38854814E-18 9.38854814E-18 9.38854814E-18 1.37683367E-17 9.72585518E-17 9.72585518E-17 9.72585518E-17 2.80603269E-16 2.80603269E-16 2.80603269E-16 2.80603269E-16 7.81073459E-17 2.80214305E-16 9.15216960E-16 2.37482065E-15 5.50179660E-17 5.50179660E-17 7.02105460E-17 7.02105460E-17 1.55252192E-17 9.07137055E-17 1.64102163E-16 4.29643500E-17 2.46790467E-18 1.35632010E-16 7.39152937E-18 1.31560876E-15 8.31937050E-16 6.44982650E-16 6.86985389E-16 9.42137282E-16 1.20685118E-15 1.48322119E-17 4.04301955E-15 4.01950382E-18 0.00000000E+00 9.20187041E-18 5.18238365E-17 2.69055837E-15 0.00000000E+00 5.92818053E-17 2.68163002E-17 2.93026003E-16 1.63915717E-17 1.81678031E-17 1.59007439E-17 1.26482949E-16 1.11833886E-16 9.00763359E-17 9.38854814E-18 9.38854814E-18 2.74461425E-16 2.76172620E-16
SI-stem    2.52558600E-18 2.52558600E-18 2.41525066E-18 2.41525066E-18 2.45612584E-18 1.80495101E-18 3.73199012E-17 3.73199012E-17 3.73199012E-17 4.40277187E-16 9.24957459E-16 9.24957459E-16 1.67274487E-14 5.30696548E-13 4.88489289E-14 1.02615846E-13 8.08922312E-16 1.10975036E-15 1.10975036E-15 1.15186098E-15 1.49547143E-15 1.49547143E-15 9.58381212E-16 8.32542153E-16 8.32542153E-16 2.41161934E-18 1.90384881E-18 1.90384881E-18 1.90384881E-18 2.78590751E-18 1.69444402E-17 1.69444402E-17 1.69444402E-17 3.31625503E-17 3.31625503E-17 3.31625503E-17 3.31625503E-17 1.43012592E-17 3.36065954E-17 4.50295485E-16 2.45670800E-15 7.65258059E-17 7.65258059E-17 1.25285568E-16 1.25285568E-16 1.52935644E-17 1.66575838E-16 2.72399013E-16 9.19967735E-17 4.93402289E-19 2.39666092E-17 1.87138959E-18 1.05867078E-15 5.99672366E-16 5.04835734E-17 6.04230134E-16 2.48975181E-16 2.03213200E-15 8.85129533E-16 1.82804797E-15 8.17603365E-19 0.00000000E+00 1.87648420E-18 4.57257940E-17 2.19578483E-16 0.00000000E+00 1.13186480E-17 5.21341664E-18 1.66735604E-15 9.14093415E-16 7.68780318E-16 6.64891498E-16 2.02239171E-16 1.68798595E-16 1.23629737E-16 1.90384881E-18 1.90384881E-18 3.26219759E-17 3.27067506E-17
RC-stem    1.75391488E-18 1.75391488E-18 1.63613430E-18 1.63613430E-18 1.75484325E-18 1.29269216E-18 1.75639715E-17 1.75639715E-17 1.75639715E-17 7.99268298E-17 1.14385133E-16 1.14385133E-16 5.89045622E-16 1.10779628E-15 1.10779628E-15 1.10779628E-15 1.48962183E-14 9.91590715E-13 2.20363174E-13 3.71927715E-16 5.65616729E-16 5.65616729E-16 1.63085073E-16 1.49187550E-16 1.49187550E-16 1.69218955E-18 1.28322882E-18 1.28322882E-18 1.28322882E-18 1.86451078E-18 1.00472586E-17 1.00472586E-17 1.00472586E-17 1.90473393E-17 1.90473393E-17 1.90473393E-17 1.90473393E-17 8.59921351E-18 1.90696285E-17 1.66508960E-16 2.30772351E-15 6.90898208E-17 6.90898208E-17 1.05246767E-16 1.05246767E-16 1.34107726E-17 1.25852709E-16 2.01801382E-16 7.18989049E-17 3.23293200E-19 1.44248671E-17 1.41872771E-18 2.47245260E-16 2.50665418E-16 2.17558643E-17 6.71511509E-16 1.88079661E-16 1.37811936E-15 1.65261716E-16 5.25065222E-16 5.44589042E-19 0.00000000E+00 1.25059307E-18 4.83367517E-17 4.13506827E-17 0.00000000E+00 7.51366216E-18 3.58414920E-18 7.34899439E-16 2.16608279E-16 2.52636876E-16 1.62505270E-16 1.65214321E-16 1.20116628E-16 1.71467836E-16 1.28322882E-18 1.28322882E-18 1.87466653E-17 1.87879658E-17
LC-stem    1.23517121E-18 1.23517121E-18 1.22184091E-18 1.22184091E-18 1.17091034E-18 8.54809332E-19 1.41736774E-17 1.41736774E-17 1.41736774E-17 1.49755174E-16 1.99292231E-16 1.99292231E-16 7.75304630E-16 1.49294745E-15 1.49294745E-15 1.49294745E-15 4.01794058E-16 5.62246279E-16 5.62246279E-16 1.82278095E-14 1.01960672E-12 2.21331037E-13 5.39755591E-16 4.50806649E-16 4.50806649E-16 1.43599590E-18 9.00325017E-19 9.00325017E-19 9.00325017E-19 1.26918397E-18 7.40578207E-18 7.40578207E-18 7.40578207E-18 1.43399695E-17 1.43399695E-17 1.43399695E-17 1.43399695E-17 6.11283674E-18 1.43130137E-17 9.23433170E-17 2.35611292E-15 7.11384117E-17 7.11384117E-17 1.03718457E-16 1.03718457E-16 1.36609993E-17 1.28688975E-16 1.99045878E-16 7.74914121E-17 2.44924347E-19 1.09349335E-17 1.12945619E-18 1.18254689E-16 1.19547680E-16 2.11368554E-17 2.13045724E-16 6.11625233E-17 1.24774645E-15 1.83761287E-16 2.46150894E-16 3.79618114E-19 0.00000000E+00 8.67991573E-19 4.77736811E-17 8.15176186E-17 0.00000000E+00 4.82001140E-18 2.32591651E-18 7.49888407E-16 2.99724733E-16 3.37323027E-16 2.26788092E-16 1.73547104E-16 1.18114177E-16 1.54457829E-16 9.00325017E-19 9.00325017E-19 1.41091579E-17 1.41432570E-17
RS-stem    2.21840332E-19 2.21840332E-19 2.25449107E-19 2.25449107E-19 1.83429486E-19 1.55479157E-19 2.16317901E-18 2.16317901E-18 2.16317901E-18 1.39902063E-17 1.79444895E-17 1.79444895E-17 8.42472587E-16 8.36487364E-16 8.36487364E-16 8.36487364E-16 1.50186480E-16 1.51822464E-16 1.51822464E-16 2.60619409E-16 4.54172658E-16 4.54172658E-16 3.89007829E-14 1.68796709E-12 4.52314859E-13 2.55158537E-19 1.83951195E-19 1.83951195E-19 1.83951195E-19 2.37828708E-19 1.40132968E-18 1.40132968E-18 1.40132968E-18 2.62145433E-18 2.62145433E-18 2.62145433E-18 2.61728615E-18 1.14550397E-18 2.64503293E-18 1.73478189E-17 2.31622828E-15 8.70219571E-17 8.70219571E-17 1.10602654E-16 1.10602654E-16 3.07499953E-17 1.91835820E-16 2.75446467E-16 1.27872767E-16 4.62838613E-20 1.82684328E-18 1.98113387E-19 1.87069080E-17 1.89131050E-17 2.94150582E-18 3.50499610E-17 1.17280332E-17 1.48492095E-15 4.78399579E-15 3.15574738E-17 7.42842221E-20 0.00000000E+00 1.80664124E-19 4.78168080E-17 1.04440867E-17 0.00000000E+00 8.27881535E-19 4.30018512E-19 1.40765946E-15 4.03016558E-15 1.86101713E-15 6.67286891E-15 2.25375062E-16 1.44881826E-16 1.76222258E-16 1.83951195E-19 1.83951195E-19 2.57714101E-18 2.58152069E-18
ET1-bas    2.13408649E-15 2.13408649E-15 2.77209982E-15 2.77209982E-15 1.57814462E-15 1.10054194E-15 5.95107241E-17 5.95107241E-17 5.95107241E-17 8.27692463E-18 8.97332551E-18 8.97332551E-18 2.48535890E-18 2.11567931E-18 2.11567931E-18 2.11567931E-18 1.94156426E-18 1.57288851E-18 1.57288851E-18 1.00249995E-18 1.12532960E-18 1.12532960E-18 1.50342971E-19 2.76154166E-19 2.76154166E-19 6.33122702E-11 1.77629222E-15 1.77629222E-15 1.77629222E-15 4.71173218E-16 6.37085818E-17 6.37085818E-17 6.37085818E-17 3.20598414E-17 3.20598414E-17 3.20598414E-17 3.20598414E-17 6.90765517E-17 3.04324966E-17 6.31593428E-18 3.03507332E-16 4.20775840E-16 4.20775840E-16 1.51596422E-16 1.51596422E-16 2.23884024E-18 6.58113003E-17 7.84613752E-17 5.15195057E-17 3.63760422E-16 7.31805618E-17 3.35412332E-15 8.71851182E-18 8.89614138E-18 3.09545036E-17 3.77280432E-18 1.09036176E-17 2.61628504E-17 7.92574649E-20 5.70244898E-18 6.46148682E-16 0.00000000E+00 4.29163049E-16 1.07676682E-16 8.48527238E-18 0.00000000E+00 7.85674136E-17 1.21596596E-16 1.62694496E-18 2.89682060E-19 3.93694915E-19 1.77266955E-19 3.74802963E-16 1.41703774E-16 4.24150752E-17 5.25690876E-12 1.77629222E-15 3.31228648E-17 4.76097814E-17
ET2-bas    1.24236885E-14 1.24236885E-14 1.84367556E-15 1.84367556E-15 8.55409384E-15 6.95850071E-15 3.09893610E-15 3.09893610E-15 3.09893610E-15 9.85703561E-18 8.09616765E-18 8.09616765E-18 2.21585522E-18 1.70855584E-18 1.70855584E-18 1.70855584E-18 1.19263696E-18 1.08921797E-18 1.08921797E-18 8.68807099E-19 7.73187304E-19 7.73187304E-19 1.86528115E-19 1.31257218E-19 1.31257218E-19 1.78485152E-15 1.96226139E-12 5.27513491E-12 4.58036971E-12 3.37124857E-14 4.62891124E-15 4.62891124E-15 4.62891124E-15 7.68141057E-17 7.68141057E-17 7.68141057E-17 7.68141057E-17 6.66551870E-15 7.48300277E-17 8.46133854E-18 3.31356199E-16 3.48184709E-16 3.48184709E-16 2.59087641E-16 2.59087641E-16 3.37478602E-18 1.51656997E-16 2.29693511E-16 9.61193677E-17 6.02715774E-16 6.74476881E-17 7.99395439E-16 8.31630112E-18 8.09258955E-18 5.47754367E-17 4.97039334E-18 1.36948558E-17 1.16765947E-16 1.22162431E-19 4.80007680E-18 2.68793468E-15 0.00000000E+00 2.31448796E-15 4.72539444E-17 1.21071071E-17 0.00000000E+00 2.47054439E-16 1.00820794E-15 1.41964051E-18 1.22787006E-19 1.56057697E-19 1.20389643E-19 2.44940571E-16 2.98631219E-15 1.08721899E-16 1.77629222E-15 5.25690876E-12 2.28575334E-16 2.07053556E-14
LN-ET      2.58803323E-14 2.58803323E-14 1.85281807E-15 1.85281807E-15 1.37868512E-14 2.69599812E-15 1.01410488E-15 1.01410488E-15 1.01410488E-15 1.70574818E-17 1.40824406E-17 1.41062494E-17 2.96158337E-18 2.57638708E-18 2.57638708E-18 2.57638708E-18 1.84389565E-18 2.28090749E-18 2.28090749E-18 7.22338300E-19 4.22408550E-19 4.22408550E-19 4.13076320E-19 4.28112282E-21 2.37828700E-19 4.83019896E-16 3.38114961E-14 3.38114961E-14 3.38114961E-14 3.37989040E-12 1.44666250E-15 1.44666250E-15 1.44666250E-15 1.20218816E-16 1.20218816E-16 1.20218816E-16 1.20218816E-16 1.54611024E-15 1.18583743E-16 1.34612879E-17 9.00207642E-17 1.90264907E-16 1.90264907E-16 1.68025618E-16 1.68025618E-16 3.37383581E-18 1.28799501E-16 2.06609004E-16 7.25255305E-17 2.39458241E-16 1.11338703E-16 2.83174939E-16 1.27212226E-17 1.26780162E-17 8.49194942E-17 6.46935684E-18 1.97643305E-17 1.52894624E-16 1.13661711E-19 7.52949098E-18 6.97827248E-16 0.00000000E+00 6.03663652E-15 6.03906314E-17 1.94675797E-17 0.00000000E+00 4.10726413E-16 1.78887958E-15 2.21817177E-18 1.99178915E-19 2.60208458E-19 1.91869776E-19 1.74708903E-16 3.30982656E-15 3.43528508E-16 3.38114961E-14 3.38114961E-14 1.64460318E-16 4.28182396E-16
