  T/S      O-cavity       O-mucosa       Teeth-S        Teeth-V        Tongue         Tonsils        Oesophag-s     Oesophag-f     Oesophag-w     St-cont        St-mucosa      St-wall        SI-cont        SI-mucosa      SI-wall        SI-villi       RC-cont        RC-mucosa      RC-wall        LC-cont        LC-mucosa      LC-wall        RS-cont        RS-mucosa      RS-wall        ET1-sur        ET2-sur        ET2-bnd        ET2-seq        LN-ET          Bronchi        Bronchi-b      Bronchi-q      Brchiole       Brchiole-b     Brchiole-q     ALV            LN-Th          Lungs          Adrenals       Blood          C-bone-S       C-bone-V       T-bone-S       T-bone-V       C-marrow       T-marrow       R-marrow       Y-marrow       Brain          Breast         Eye-lens       GB-wall        GB-cont        Ht-wall        Kidneys        Liver          LN-Sys         Ovaries        Pancreas       P-gland        Prostate       S-glands       Skin           Spleen         Testes         Thymus         Thyroid        Ureters        UB-wall        UB-cont        Uterus         Adipose        Cartilage      Muscle         ET1-wall       ET2-wall       Lung-Tis       RT-air
O-mucosa   1.33006837E-18 7.71766832E-10 9.07303153E-19 6.33078998E-19 1.17988910E-18 5.67343667E-19 2.08125146E-20 2.08125146E-20 2.08125146E-20 1.37457558E-21 1.24068270E-21 1.24068270E-21 4.01461279E-22 3.34577529E-22 3.34577529E-22 3.34577529E-22 3.09187970E-22 2.96268876E-22 2.96268876E-22 2.51421611E-22 2.39954138E-22 2.39954138E-22 7.38239425E-23 6.43355704E-23 6.43355704E-23 1.58242297E-19 3.11684726E-19 3.11684726E-19 3.11684726E-19 4.68189560E-19 2.05296568E-20 2.05296568E-20 2.05296568E-20 5.76965894E-21 5.76965894E-21 5.76965894E-21 5.76965894E-21 2.33184893E-20 5.84697269E-21 1.16180619E-21 1.26161531E-13 1.60558456E-20 1.60558456E-20 1.66058632E-20 1.66058632E-20 3.99995600E-22 9.19456503E-21 1.22759155E-20 6.45200582E-21 2.56051502E-20 7.16003949E-21 6.25365295E-20 1.30809283E-21 1.28399129E-21 4.94958792E-21 7.42294014E-22 1.72484774E-21 5.82874079E-21 5.41159147E-23 9.24598374E-22 7.62965022E-20 0.00000000E+00 1.65518183E-19 4.17987464E-21 1.41541397E-21 0.00000000E+00 1.60910457E-20 4.22724008E-20 3.47643422E-22 8.04132552E-23 6.63621522E-23 5.91733435E-23 4.72153318E-21 1.20283980E-20 4.97750496E-21 3.11684726E-19 3.11684726E-19 6.26171473E-21 8.59040467E-21
Oesophagus 2.06682638E-20 2.06682638E-20 1.28845833E-20 1.28845833E-20 2.30519722E-20 1.63096096E-20 1.84973975E-18 1.27422665E-18 4.01131616E-10 2.45514968E-20 2.20014180E-20 2.20014180E-20 3.52999288E-21 2.82335523E-21 2.82335523E-21 2.82335523E-21 1.66722107E-21 1.71616970E-21 1.71616970E-21 1.45276944E-21 1.38596439E-21 1.38596439E-21 3.97266274E-22 3.25266857E-22 3.25266857E-22 6.03287569E-21 5.34473197E-20 5.34473197E-20 5.34473197E-20 6.67514918E-20 2.53262873E-19 2.53262873E-19 2.53262873E-19 5.01982307E-20 5.01982307E-20 5.01982307E-20 5.01982307E-20 2.60694977E-19 5.08795171E-20 2.09499962E-20 8.02263253E-13 1.21682471E-20 1.21682471E-20 1.02645119E-20 1.02645119E-20 1.28163131E-21 1.54519659E-20 2.83866756E-20 6.94252657E-21 3.51533133E-21 1.56532470E-20 4.09513680E-21 1.48873150E-20 1.52007688E-20 9.80431297E-20 8.14044667E-21 2.26246387E-20 3.61639761E-20 2.90871367E-22 8.58367827E-21 6.58494392E-21 0.00000000E+00 2.02648459E-20 3.90306158E-21 2.06224330E-20 0.00000000E+00 9.73061539E-20 2.03406911E-19 2.69992378E-21 3.08274479E-22 3.40739701E-22 2.90847387E-22 5.03172374E-21 1.10067235E-20 6.81902002E-21 5.34473197E-20 5.34473197E-20 5.69653740E-20 5.22516493E-20
St-stem    1.27748829E-21 1.27748829E-21 1.26815550E-21 1.26815550E-21 1.25730905E-21 1.01043945E-21 2.21431258E-20 2.21431258E-20 2.21431258E-20 2.97033207E-19 3.64057372E-09 1.00274240E-10 5.03556196E-20 3.60281411E-20 3.60281411E-20 3.60281411E-20 8.39554494E-21 8.39105519E-21 8.39105519E-21 1.39854640E-20 1.38248331E-20 1.38248331E-20 2.09748447E-21 1.80294374E-21 1.80294374E-21 1.10583235E-21 1.04976980E-21 1.04976980E-21 1.04976980E-21 1.41369040E-21 6.85331420E-21 6.85331420E-21 6.85331420E-21 1.50633704E-20 1.50633704E-20 1.50633704E-20 1.50633704E-20 5.70221375E-21 1.52851482E-20 5.84465683E-20 8.02263248E-13 3.95663044E-21 3.95663044E-21 4.95143647E-21 4.95143647E-21 1.32282810E-21 6.26926434E-21 1.12479414E-20 3.13634035E-21 4.09097767E-22 1.04104301E-20 9.09878001E-22 5.80611365E-20 5.24851846E-20 3.21426023E-20 4.39747080E-20 4.12976464E-20 2.67030666E-20 1.54952593E-21 1.30928635E-19 5.64375981E-22 0.00000000E+00 1.06125667E-21 4.10357691E-21 1.13369704E-19 0.00000000E+00 4.59945748E-21 2.39367125E-21 1.92694107E-20 1.72716231E-21 1.87206946E-21 1.69422320E-21 6.32430294E-21 7.65634031E-21 5.24018221E-21 1.04976980E-21 1.04976980E-21 1.47895864E-20 1.48477225E-20
SI-stem    3.82206718E-22 3.82206718E-22 3.71581533E-22 3.71581533E-22 3.60808256E-22 2.92275327E-22 2.85601642E-21 2.85601642E-21 2.85601642E-21 2.68616909E-20 3.60916670E-20 3.60916670E-20 1.22683464E-19 5.04756406E-10 2.29242820E-11 1.70060727E-19 4.76072675E-20 5.01671949E-20 5.01671949E-20 6.35415448E-20 6.56629613E-20 6.56629613E-20 4.97474485E-20 3.95122499E-20 3.95122499E-20 3.55686826E-22 3.00458007E-22 3.00458007E-22 3.00458007E-22 3.94208209E-22 1.55123650E-21 1.55123650E-21 1.55123650E-21 2.74843328E-21 2.74843328E-21 2.74843328E-21 2.74843328E-21 1.34195986E-21 2.77781082E-21 2.18973697E-20 8.71226692E-13 5.24041291E-21 5.24041291E-21 8.23712242E-21 8.23712242E-21 1.39168932E-21 1.09001026E-20 1.76970886E-20 6.17062736E-21 1.16354006E-22 2.32372115E-21 3.07713381E-22 3.20466224E-20 3.12005648E-20 3.93885814E-21 3.65261062E-20 1.39919850E-20 4.01891633E-20 4.08748706E-20 6.67555938E-20 1.59736324E-22 0.00000000E+00 2.98645942E-22 3.67863196E-21 1.49056167E-20 0.00000000E+00 1.14010142E-21 6.35387803E-22 8.15344413E-20 3.70458505E-20 4.36161142E-20 3.84979895E-20 8.72455934E-21 1.10344031E-20 7.87639107E-21 3.00458007E-22 3.00458007E-22 2.70795176E-21 2.71262863E-21
RC-stem    3.28820319E-22 3.28820319E-22 3.09467842E-22 3.09467842E-22 3.17059740E-22 2.56245468E-22 1.66108219E-21 1.66108219E-21 1.66108219E-21 6.11028364E-21 8.37105063E-21 8.37105063E-21 3.73365406E-20 5.00447059E-20 5.00447059E-20 5.00447059E-20 3.33961537E-19 7.29192627E-10 9.55611604E-11 2.40604898E-20 2.58580019E-20 2.58580019E-20 1.11610026E-20 1.03043520E-20 1.03043520E-20 2.97662818E-22 2.54372842E-22 2.54372842E-22 2.54372842E-22 3.48145486E-22 1.15290699E-21 1.15290699E-21 1.15290699E-21 1.89969907E-21 1.89969907E-21 1.89969907E-21 1.89969907E-21 9.94019629E-22 1.90771647E-21 1.15348628E-20 8.46794916E-13 4.88076645E-21 4.88076645E-21 7.09522999E-21 7.09522999E-21 1.25560423E-21 8.56720277E-21 1.34874264E-20 5.03450875E-21 1.04574309E-22 1.60393072E-21 2.62331327E-22 1.65125201E-20 1.66833886E-20 2.12104336E-21 3.17834685E-20 1.22624631E-20 2.67238906E-20 1.13011005E-20 3.06170247E-20 1.35074348E-22 0.00000000E+00 2.64919032E-22 3.90602824E-21 3.58333244E-21 0.00000000E+00 9.43329890E-22 5.55215454E-22 4.71986628E-20 1.51195295E-20 1.72445229E-20 1.11994462E-20 7.82077105E-21 8.25496327E-21 8.61858021E-21 2.54372842E-22 2.54372842E-22 1.87477402E-21 1.87633348E-21
LC-stem    2.54369945E-22 2.54369945E-22 2.47699666E-22 2.47699666E-22 2.31024841E-22 1.86855122E-22 1.40946073E-21 1.40946073E-21 1.40946073E-21 1.06115238E-20 1.38673373E-20 1.38673373E-20 4.82038919E-20 6.56170141E-20 6.56170141E-20 6.56170141E-20 2.38327250E-20 2.57642893E-20 2.57642893E-20 4.02577197E-19 7.48929024E-10 9.55611604E-11 2.57348446E-20 2.01707527E-20 2.01707527E-20 2.65953556E-22 1.89425050E-22 1.89425050E-22 1.89425050E-22 2.35792240E-22 8.77452746E-22 8.77452746E-22 8.77452746E-22 1.48962454E-21 1.48962454E-21 1.48962454E-21 1.48962454E-21 7.47253250E-22 1.54491703E-21 6.88227831E-21 8.46794915E-13 4.96153438E-21 4.96153438E-21 6.95166150E-21 6.95166150E-21 1.29335353E-21 8.73888058E-21 1.33155973E-20 5.33545784E-21 7.43122446E-23 1.33202049E-21 2.13591067E-22 8.46810079E-21 8.66404119E-21 2.09756105E-21 1.42934107E-20 4.93100413E-21 3.04963669E-20 1.23121083E-20 1.63409052E-20 9.60318875E-23 0.00000000E+00 1.93673931E-22 3.82798050E-21 6.26667220E-21 0.00000000E+00 6.45788632E-22 3.82761955E-22 4.78686644E-20 2.04373462E-20 2.26804893E-20 1.50770869E-20 8.39796171E-21 7.98801690E-21 8.71794357E-21 1.89425050E-22 1.89425050E-22 1.46921467E-21 1.47108077E-21
RS-stem    6.50848870E-23 6.50848870E-23 7.98963900E-23 7.98963900E-23 6.65706062E-23 5.00728631E-23 3.43245227E-22 3.43245227E-22 3.43245227E-22 1.50255182E-21 1.80762417E-21 1.80762417E-21 4.55555998E-20 3.96219489E-20 3.96219489E-20 3.96219489E-20 1.01575977E-20 1.03366368E-20 1.03366368E-20 1.70608077E-20 2.03416751E-20 2.03416751E-20 3.96206879E-19 1.24408507E-09 1.97880045E-10 7.77651697E-23 5.08875877E-23 5.08875877E-23 5.08875877E-23 6.55297338E-23 2.57554398E-22 2.57554398E-22 2.57554398E-22 4.04646966E-22 4.04646966E-22 4.04646966E-22 4.04643986E-22 2.12263968E-22 4.16318162E-22 1.75921783E-21 8.46794913E-13 5.79149714E-21 5.79149714E-21 7.04722316E-21 7.04722316E-21 2.49605717E-21 1.15601701E-20 1.61999619E-20 8.03441819E-21 2.27915975E-23 3.15504103E-22 6.23899263E-23 1.85915899E-21 1.87151046E-21 4.69758502E-22 3.08816320E-21 1.33995890E-21 2.97284394E-20 2.27712530E-19 2.82756314E-21 2.81544835E-23 0.00000000E+00 6.15409039E-23 3.73331426E-21 1.21858980E-21 0.00000000E+00 1.77429288E-22 1.03909951E-22 4.34222315E-20 1.04186602E-19 9.62583748E-20 2.71304035E-19 1.03992425E-20 8.97364674E-21 1.03022171E-20 5.08875877E-23 5.08875877E-23 3.99816300E-22 3.99811040E-22
ET1-bas    1.58394244E-19 1.58394244E-19 2.13344270E-19 2.13344270E-19 1.17892263E-19 8.16692746E-20 5.76195890E-21 5.76195890E-21 5.76195890E-21 1.32886390E-21 1.02362478E-21 1.02362478E-21 3.16006904E-22 3.55650546E-22 3.55650546E-22 3.55650546E-22 3.08050379E-22 2.69137089E-22 2.69137089E-22 1.90874450E-22 3.16531498E-22 3.16531498E-22 9.48758349E-23 6.05015970E-23 6.05015970E-23 4.91187897E-10 1.00758578E-19 1.00758578E-19 1.00758578E-19 3.76267573E-20 6.16840353E-21 6.16840353E-21 6.16840353E-21 3.56519041E-21 3.56519041E-21 3.56519041E-21 3.56519041E-21 6.73364331E-21 3.32833466E-21 8.00282590E-22 1.26161526E-13 1.43737166E-20 1.43737166E-20 1.11194978E-20 1.11194978E-20 3.16038649E-22 4.77303269E-21 6.00187499E-21 3.78265945E-21 2.91777405E-20 5.89010117E-21 2.49670052E-19 1.07911749E-21 9.34234000E-22 3.20240605E-21 5.66205391E-22 1.31349099E-21 2.43628879E-21 2.40508301E-23 8.06912274E-22 4.65501881E-20 0.00000000E+00 3.40381242E-20 5.20808935E-21 9.60831721E-22 0.00000000E+00 7.58626919E-21 1.18190315E-20 2.77603416E-22 7.80416929E-23 9.24663984E-23 6.07675396E-23 5.77359654E-21 6.34049992E-21 2.13653153E-21 6.05341892E-09 1.00758578E-19 3.65241596E-21 4.43936886E-21
ET2-bas    3.12016580E-19 3.12016580E-19 1.31010299E-19 1.31010299E-19 3.47438495E-19 4.16508273E-19 5.37943866E-20 5.37943866E-20 5.37943866E-20 1.22036461E-21 9.96842810E-22 9.96842810E-22 3.39853103E-22 2.76008320E-22 2.76008320E-22 2.76008320E-22 2.80536564E-22 2.24947420E-22 2.24947420E-22 1.67657287E-22 1.62846862E-22 1.62846862E-22 4.42823787E-23 3.66800215E-23 3.66800215E-23 1.04115570E-19 1.26038439E-12 6.12870820E-09 6.03279092E-09 6.01116672E-19 4.34654946E-20 4.34654946E-20 4.34654946E-20 6.24722216E-21 6.24722216E-21 6.24722216E-21 6.24722216E-21 5.72422989E-20 6.13509655E-21 1.03539797E-21 1.26161526E-13 1.72984070E-20 1.72984070E-20 1.72360027E-20 1.72360027E-20 3.40310127E-22 1.04609897E-20 1.59691273E-20 6.43943658E-21 4.20252523E-20 5.60678528E-21 5.87178976E-20 1.03442991E-21 9.66108062E-22 4.77378281E-21 6.49040955E-22 1.50296485E-21 8.10286159E-21 4.51389094E-23 7.32132825E-22 1.87189274E-19 0.00000000E+00 1.60269180E-19 3.80395652E-21 1.46933941E-21 0.00000000E+00 1.83511064E-20 7.04451639E-20 2.48918314E-22 4.85403439E-23 4.74045208E-23 4.89488408E-23 5.29568899E-21 2.19688990E-20 5.79416262E-21 1.00758578E-19 6.05341892E-09 7.48861696E-21 1.10234886E-14
LN-ET      4.71020615E-19 4.71020615E-19 1.35977619E-19 1.35977619E-19 4.52312887E-19 1.80980784E-19 6.62989253E-20 6.62989253E-20 6.62989253E-20 1.35650854E-21 1.21345316E-21 1.21345402E-21 3.08310426E-22 2.80691882E-22 2.80691882E-22 2.80691882E-22 3.81244940E-22 4.25660725E-22 4.25660725E-22 2.95020957E-22 1.69948847E-22 1.69948847E-22 6.59629081E-23 2.69088219E-23 6.55297338E-23 3.96031039E-20 6.04002354E-19 6.04002354E-19 6.04002354E-19 1.36471387E-09 7.52907188E-20 7.52907188E-20 7.52907188E-20 9.55685850E-21 9.55685850E-21 9.55685850E-21 9.55685850E-21 9.60301941E-20 8.92243229E-21 1.26244024E-21 2.29589371E-13 1.25331544E-20 1.25331544E-20 1.28345332E-20 1.28345332E-20 5.55032537E-22 9.38410566E-21 1.36961558E-20 5.23704214E-21 1.83889610E-20 8.04864920E-21 2.38624542E-20 1.43424500E-21 1.05438241E-21 7.30901987E-21 8.12185985E-22 2.28531535E-21 1.07061007E-20 4.05681897E-23 7.28854612E-22 4.68880659E-20 0.00000000E+00 2.38286722E-19 4.45907965E-21 1.78946193E-21 0.00000000E+00 2.79025974E-20 1.21654521E-19 3.58371921E-22 7.12700088E-23 1.04381583E-22 6.95485469E-23 4.95096692E-21 2.59697711E-20 7.97791018E-21 6.04002354E-19 6.04002354E-19 1.17472934E-20 1.54155893E-20
