  T/S      O-cavity       O-mucosa       Teeth-S        Teeth-V        Tongue         Tonsils        Oesophag-s     Oesophag-f     Oesophag-w     St-cont        St-mucosa      St-wall        SI-cont        SI-mucosa      SI-wall        SI-villi       RC-cont        RC-mucosa      RC-wall        LC-cont        LC-mucosa      LC-wall        RS-cont        RS-mucosa      RS-wall        ET1-sur        ET2-sur        ET2-bnd        ET2-seq        LN-ET          Bronchi        Bronchi-b      Bronchi-q      Brchiole       Brchiole-b     Brchiole-q     ALV            LN-Th          Lungs          Adrenals       Blood          C-bone-S       C-bone-V       T-bone-S       T-bone-V       C-marrow       T-marrow       R-marrow       Y-marrow       Brain          Breast         Eye-lens       GB-wall        GB-cont        Ht-wall        Kidneys        Liver          LN-Sys         Ovaries        Pancreas       P-gland        Prostate       S-glands       Skin           Spleen         Testes         Thymus         Thyroid        Ureters        UB-wall        UB-cont        Uterus         Adipose        Cartilage      Muscle         ET1-wall       ET2-wall       Lung-Tis       RT-air
O-mucosa   7.10243904E-14 3.14363287E-13 7.85406332E-14 2.94804464E-14 1.43220922E-13 9.43506781E-15 4.45299850E-16 4.45299850E-16 4.45299850E-16 3.05635190E-17 2.97891152E-17 2.97891152E-17 1.11771564E-17 6.41171358E-18 6.41174231E-18 6.41171358E-18 1.18658663E-17 8.68748065E-18 8.68748782E-18 1.47237453E-17 1.26786679E-17 1.26787805E-17 8.39938797E-19 7.43283138E-19 7.43283138E-19 4.31268851E-15 1.08091404E-14 1.08091404E-14 1.08091404E-14 8.22479281E-15 2.00093510E-16 2.00093510E-16 2.00093510E-16 1.20170875E-16 1.20170875E-16 1.20170875E-16 1.20170701E-16 3.52341583E-16 1.16577569E-16 1.84448907E-17 3.42468021E-16 5.12901612E-16 5.12901612E-16 4.46186795E-16 4.46186795E-16 8.07027635E-18 2.74751637E-16 3.75079421E-16 1.94703434E-16 1.00964971E-15 1.04465984E-16 2.35985167E-15 2.40086361E-17 2.40301636E-17 9.31277415E-17 1.25184364E-17 3.62615965E-17 1.52665717E-16 0.00000000E+00 1.79265611E-17 3.58767680E-15 2.09303677E-19 3.15171493E-15 1.26898428E-16 2.87334772E-17 2.01624698E-19 3.37300906E-16 7.35631619E-16 4.38134644E-18 5.74907211E-19 6.82366958E-19 0.00000000E+00 1.53280773E-16 4.47059110E-16 2.11687030E-16 1.08091404E-14 1.08091404E-14 1.22680487E-16 2.14536935E-16
Oesophagus 4.39592978E-16 4.39592978E-16 2.57896082E-16 2.57896082E-16 5.21662011E-16 2.75814304E-16 2.03038572E-13 6.60699132E-14 2.10726148E-13 1.37185215E-15 1.52509244E-15 1.52509244E-15 2.99271038E-16 1.59466029E-16 1.59466029E-16 1.59466029E-16 1.56126279E-16 1.24237930E-16 1.24237930E-16 2.50861509E-16 2.15021850E-16 2.15021850E-16 1.73338853E-17 1.16876131E-17 1.16876131E-17 1.01263299E-16 2.46233087E-15 2.46233087E-15 2.46233087E-15 4.29402986E-15 4.27337634E-15 4.27337634E-15 4.27337634E-15 1.91208473E-15 1.91208473E-15 1.91208473E-15 1.91208473E-15 1.17106751E-14 1.96557210E-15 8.12588293E-16 1.32379843E-15 4.68861262E-16 4.68861262E-16 3.21341810E-16 3.21341810E-16 4.65432084E-17 5.11065845E-16 1.00546922E-15 2.24049129E-16 7.31818052E-17 3.40353492E-16 8.40545338E-17 5.72524253E-16 5.30350236E-16 4.93884776E-15 3.74670564E-16 1.00676629E-15 1.70407926E-15 0.00000000E+00 6.50129530E-16 1.32015141E-16 4.39680713E-18 5.50181698E-16 1.14876183E-16 9.00821172E-16 1.16972570E-18 4.17763593E-15 9.19766813E-15 1.19316063E-16 9.32398461E-18 9.21189474E-18 0.00000000E+00 2.96074385E-16 4.24219315E-16 2.08290422E-16 2.46233087E-15 2.46233087E-15 1.98718289E-15 1.94006241E-15
St-stem    3.31417036E-17 3.31417036E-17 3.31596525E-17 3.31596525E-17 3.55769647E-17 1.72810443E-17 1.54404809E-15 1.54404809E-15 1.54404809E-15 1.63826266E-14 1.71420844E-12 6.03580072E-14 2.23956769E-15 1.09927111E-15 1.09927111E-15 1.09927111E-15 7.94567454E-16 5.54305604E-16 5.54305604E-16 3.99510824E-15 3.14979318E-15 3.14979318E-15 8.80545910E-17 5.45186414E-17 5.45186414E-17 2.77974090E-17 3.12915297E-17 3.12915297E-17 3.12915297E-17 5.38568320E-17 6.78388472E-16 6.78388472E-16 6.78388472E-16 8.13158311E-16 8.13158311E-16 8.13158311E-16 8.13158311E-16 3.19236797E-16 8.07184253E-16 1.78653551E-15 1.23375052E-15 1.44905932E-16 1.44905932E-16 1.66721072E-16 1.66721072E-16 4.94247144E-17 1.95805714E-16 3.83252892E-16 9.41449617E-17 7.54108161E-18 7.79664050E-16 1.50644355E-17 1.39201400E-15 1.27639879E-15 2.33163568E-15 1.08301373E-15 1.63976265E-15 1.81054818E-15 0.00000000E+00 4.59854169E-15 1.20155720E-17 2.06635512E-17 3.04466143E-17 1.26989715E-16 3.04109272E-15 4.50462363E-18 2.23538610E-16 1.11698040E-16 5.14853756E-16 3.96946711E-17 4.39413647E-17 0.00000000E+00 4.24216799E-16 1.72051559E-16 1.68946032E-16 3.12915297E-17 3.12915297E-17 8.08948976E-16 8.04534572E-16
SI-stem    6.96023198E-18 6.96023198E-18 7.07961952E-18 7.07961952E-18 7.38540498E-18 3.69200269E-18 1.63814220E-16 1.63814220E-16 1.63814220E-16 1.05389076E-15 1.10395360E-15 1.10395360E-15 5.62340104E-15 2.20682056E-13 1.49752967E-14 1.01898838E-14 1.80229426E-15 2.08063370E-15 2.08063370E-15 2.04101835E-15 2.48486561E-15 2.48486561E-15 1.69307672E-15 1.27309617E-15 1.27309617E-15 6.27201473E-18 6.31262148E-18 6.31262148E-18 6.31262148E-18 1.08288363E-17 9.87029144E-17 9.87029144E-17 9.87029144E-17 1.19902743E-16 1.19902743E-16 1.19902743E-16 1.19902743E-16 5.71489738E-17 1.20807634E-16 8.10407015E-16 9.73393446E-16 1.97248484E-16 1.97248484E-16 2.23629532E-16 2.23629532E-16 2.68952023E-17 3.18732790E-16 5.62812709E-16 1.69984452E-16 1.73146654E-18 1.10617348E-16 3.49022894E-18 9.57466426E-16 9.69249127E-16 1.98964396E-16 1.25699754E-15 4.58646600E-16 1.56995701E-15 0.00000000E+00 2.40577258E-15 2.51560915E-18 4.20273144E-16 6.61275644E-18 1.24401818E-16 6.21952133E-16 5.87354299E-17 3.91589482E-17 2.12332159E-17 3.60690558E-15 1.28590713E-15 1.47263774E-15 0.00000000E+00 5.98349008E-16 2.76018890E-16 2.64388944E-16 6.31262148E-18 6.31262148E-18 1.19260244E-16 1.18612964E-16
RC-stem    9.67629306E-18 9.67629306E-18 1.02087782E-17 1.02087782E-17 1.00464293E-17 5.11170055E-18 1.25417560E-16 1.25417560E-16 1.25417560E-16 4.14058414E-16 5.52678384E-16 5.52678384E-16 2.11908566E-15 2.07499377E-15 2.07499377E-15 2.07499377E-15 1.54566132E-14 3.52235452E-13 5.93529294E-14 9.87872957E-16 7.05760055E-16 7.05760055E-16 2.09304686E-16 1.88594470E-16 1.88594470E-16 9.16924622E-18 8.36623898E-18 8.36623898E-18 8.36623898E-18 1.39275179E-17 9.68689768E-17 9.68689768E-17 9.68689768E-17 1.20497083E-16 1.20497083E-16 1.20497083E-16 1.20497083E-16 5.98848351E-17 1.19324468E-16 5.99082491E-16 9.84596932E-16 1.50092048E-16 1.50092048E-16 1.77385376E-16 1.77385376E-16 2.96025109E-17 2.18835838E-16 3.88083138E-16 1.17887273E-16 2.31657218E-18 1.35868679E-16 4.99711034E-18 3.29321517E-15 3.61386248E-15 1.52359760E-16 1.56209961E-15 1.27891473E-15 9.14489319E-16 0.00000000E+00 2.11953727E-15 3.51161930E-18 1.11672578E-16 8.36600102E-18 1.33609843E-16 1.43570535E-16 2.13098113E-17 4.74216800E-17 2.49282763E-17 1.64464475E-15 2.23248025E-16 2.45395355E-16 0.00000000E+00 4.90604897E-16 2.00671298E-16 2.60503057E-16 8.36623898E-18 8.36623898E-18 1.19766616E-16 1.19189946E-16
LC-stem    1.40135842E-17 1.40135842E-17 1.42181548E-17 1.42181548E-17 1.50301323E-17 7.39935834E-18 2.15757184E-16 2.15757184E-16 2.15757184E-16 2.88741646E-15 3.14653536E-15 3.14653536E-15 3.67053314E-15 2.48367018E-15 2.48367018E-15 2.48367018E-15 8.82387348E-16 7.04971014E-16 7.04971014E-16 1.72108574E-14 3.76262732E-13 6.01446170E-14 7.15423792E-16 3.19036487E-16 3.19036487E-16 1.26075756E-17 1.25535173E-17 1.25535173E-17 1.25535173E-17 2.07328042E-17 2.03711682E-16 2.03711682E-16 2.03711682E-16 2.37306874E-16 2.37306874E-16 2.37306874E-16 2.37306874E-16 9.34405058E-17 2.34133512E-16 8.47032771E-16 9.56379576E-16 1.14146839E-16 1.14146839E-16 1.79967560E-16 1.79967560E-16 4.44665227E-17 1.82074796E-16 3.36723098E-16 9.58787737E-17 3.49413299E-18 2.63657707E-16 7.35685325E-18 5.57078179E-16 5.34658690E-16 3.70568078E-16 1.27500940E-15 4.19151011E-16 1.12951643E-15 0.00000000E+00 1.70622762E-15 4.91935441E-18 5.62906537E-17 1.30273392E-17 1.52619060E-16 1.80151978E-15 1.22400163E-17 6.87864697E-17 3.99135436E-17 8.64806125E-16 1.12785987E-16 1.23263792E-16 0.00000000E+00 4.96700431E-16 1.85048521E-16 2.17318699E-16 1.25535173E-17 1.25535173E-17 2.36243440E-16 2.34847681E-16
RS-stem    8.07499904E-19 8.07499904E-19 7.76315334E-19 7.76315334E-19 9.29583447E-19 4.25009380E-19 1.14979563E-17 1.14979563E-17 1.14979563E-17 4.97309778E-17 5.34527324E-17 5.34527324E-17 5.12856954E-16 1.26897528E-15 1.26897528E-15 1.26897528E-15 1.40790946E-16 1.91258973E-16 1.91258973E-16 1.43002800E-16 3.16790535E-16 3.16790535E-16 1.88795564E-14 6.28206727E-13 1.25796940E-13 8.40387855E-19 6.28788063E-19 6.28788063E-19 6.28788063E-19 1.34453710E-18 9.13835786E-18 9.13835786E-18 9.13835786E-18 1.17902775E-17 1.17902775E-17 1.17902775E-17 1.17902775E-17 5.43515522E-18 1.13472346E-17 5.35094978E-17 7.65735149E-16 3.05201761E-16 3.05201761E-16 3.01386639E-16 3.01386639E-16 2.92292745E-17 4.38721492E-16 6.80342075E-16 2.74934603E-16 1.83070854E-19 1.05982352E-17 5.04894805E-19 6.16457680E-17 6.27743326E-17 1.43283190E-17 1.01087791E-16 3.82106601E-17 1.49426258E-15 0.00000000E+00 9.29453966E-17 3.30074183E-19 4.94777386E-15 7.32739909E-19 1.31061579E-16 3.69215528E-17 2.83182978E-16 3.63263559E-18 2.37822645E-18 1.28160218E-15 5.78700696E-15 4.87522771E-15 0.00000000E+00 5.48125776E-16 3.62018411E-16 3.59033455E-16 6.28788063E-19 6.28788063E-19 1.17060838E-17 1.16573471E-17
ET1-bas    4.24009376E-15 4.24009376E-15 5.54719458E-15 5.54719458E-15 3.33126991E-15 1.63279042E-15 9.58744050E-17 9.58744050E-17 9.58744050E-17 2.31547453E-17 2.42898852E-17 2.42898852E-17 8.60780970E-18 4.69041942E-18 4.69041942E-18 4.69041942E-18 1.04785578E-17 8.26089911E-18 8.26089911E-18 1.48851750E-17 1.21717341E-17 1.21717341E-17 8.28116514E-19 4.52109406E-19 4.52109406E-19 4.59765536E-12 7.76651048E-15 7.76651048E-15 7.76651048E-15 6.69300377E-16 8.46186090E-17 8.46186090E-17 8.46186090E-17 5.62104095E-17 5.62104095E-17 5.62104095E-17 5.62104095E-17 9.09916154E-17 5.59108816E-17 1.19159299E-17 1.16648593E-16 4.28371801E-16 4.28371801E-16 1.90957618E-16 1.90957618E-16 5.02146596E-18 1.26547925E-16 1.56970266E-16 9.69199229E-17 9.05630880E-16 1.09411512E-16 1.00506004E-14 1.90689637E-17 1.79290641E-17 5.06998968E-17 7.82746876E-18 2.77608831E-17 4.45064559E-17 0.00000000E+00 1.50197271E-17 2.39270163E-15 5.61173796E-19 6.86064136E-16 2.20054179E-16 1.58215834E-17 1.93024616E-19 1.21785519E-16 1.60799689E-16 3.23626060E-18 9.71474589E-19 7.08067287E-19 0.00000000E+00 1.64730773E-16 4.64435990E-16 5.85270464E-17 2.54422161E-12 7.76651048E-15 5.71044622E-17 1.23897427E-16
ET2-bas    1.06120140E-14 1.06120140E-14 4.43331531E-15 4.43331531E-15 1.00534721E-14 1.48165376E-14 2.44897354E-15 2.44897354E-15 2.44897354E-15 2.88391045E-17 2.81738689E-17 2.81738689E-17 9.52446868E-18 5.46364203E-18 5.46364203E-18 5.46364203E-18 9.56936117E-18 7.54143867E-18 7.54143867E-18 1.26085040E-17 1.10421345E-17 1.10421345E-17 8.77913288E-19 6.81945716E-19 6.81945716E-19 7.80168425E-15 1.58769383E-13 2.69001134E-12 1.56679487E-12 2.87335463E-14 5.03477699E-16 5.03477699E-16 5.03477699E-16 1.56052936E-16 1.56052936E-16 1.56052936E-16 1.56052936E-16 1.17772515E-15 1.52481430E-16 2.17027986E-17 1.46389490E-16 5.68208221E-16 5.68208221E-16 3.26649017E-16 3.26649017E-16 7.53069351E-18 2.73715235E-16 4.08425052E-16 1.79278050E-16 2.00901708E-15 7.84546024E-17 4.37453429E-15 2.10806857E-17 2.17412998E-17 1.14878946E-16 1.31619601E-17 3.62168932E-17 2.07100555E-16 0.00000000E+00 1.73566137E-17 1.90752593E-14 2.08773554E-19 3.07657020E-15 1.33537814E-16 3.18598275E-17 1.98203073E-19 6.78273427E-16 2.34182661E-15 4.37063701E-18 4.58422856E-19 4.09576127E-19 0.00000000E+00 2.06341109E-16 6.30545740E-16 2.14784670E-16 7.76651048E-15 2.54422161E-12 1.66897668E-16 2.05446319E-15
LN-ET      8.20686522E-15 8.20686522E-15 2.54937943E-15 2.54937943E-15 9.52737211E-15 2.81569685E-15 4.36787441E-15 4.36787441E-15 4.36787441E-15 5.09280232E-17 4.95159258E-17 4.95166560E-17 1.70356937E-17 1.02404499E-17 1.08288363E-17 1.02404499E-17 1.69346769E-17 1.41640259E-17 1.41642419E-17 1.98172756E-17 2.14192890E-17 2.14194703E-17 5.96352380E-19 1.41785658E-18 1.34453710E-18 7.00747944E-16 2.93119028E-14 2.93119028E-14 2.93119028E-14 8.46050759E-13 1.28713842E-15 1.28713842E-15 1.28713842E-15 3.19646209E-16 3.19646209E-16 3.19646209E-16 3.19646201E-16 3.19976851E-15 3.02587623E-16 3.69843977E-17 3.12592526E-16 3.81140224E-16 3.81140224E-16 3.58128602E-16 3.58128602E-16 1.21276210E-17 2.80067479E-16 4.64868245E-16 1.73511298E-16 4.37414439E-16 1.27571458E-16 5.51200839E-16 3.51577211E-17 3.72600478E-17 2.20238260E-16 2.19727560E-17 6.30910298E-17 4.36917333E-16 0.00000000E+00 3.21331660E-17 1.16002323E-15 4.68387507E-19 5.51745258E-15 1.67996565E-16 5.94458361E-17 1.06425557E-19 1.48146440E-15 5.76775533E-15 7.40644613E-18 8.47548454E-19 9.77472007E-19 0.00000000E+00 2.04892970E-16 1.08104925E-15 3.15390133E-16 2.93119028E-14 2.93119028E-14 3.49891067E-16 5.82921677E-16
