  T/S      O-cavity       O-mucosa       Teeth-S        Teeth-V        Tongue         Tonsils        Oesophag-s     Oesophag-f     Oesophag-w     St-cont        St-mucosa      St-wall        SI-cont        SI-mucosa      SI-wall        SI-villi       RC-cont        RC-mucosa      RC-wall        LC-cont        LC-mucosa      LC-wall        RS-cont        RS-mucosa      RS-wall        ET1-sur        ET2-sur        ET2-bnd        ET2-seq        LN-ET          Bronchi        Bronchi-b      Bronchi-q      Brchiole       Brchiole-b     Brchiole-q     ALV            LN-Th          Lungs          Adrenals       Blood          C-bone-S       C-bone-V       T-bone-S       T-bone-V       C-marrow       T-marrow       R-marrow       Y-marrow       Brain          Breast         Eye-lens       GB-wall        GB-cont        Ht-wall        Kidneys        Liver          LN-Sys         Ovaries        Pancreas       P-gland        Prostate       S-glands       Skin           Spleen         Testes         Thymus         Thyroid        Ureters        UB-wall        UB-cont        Uterus         Adipose        Cartilage      Muscle         ET1-wall       ET2-wall       Lung-Tis       RT-air
O-mucosa   6.26310529E-15 1.04371721E-13 3.75608123E-17 3.84813043E-17 1.91485480E-14 9.75185780E-16 9.80548814E-19 9.80548814E-19 9.80548814E-19 7.41578444E-24 9.09117804E-24 9.09117804E-24 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.68088760E-24 1.68088760E-24 0.00000000E+00 0.00000000E+00 0.00000000E+00 3.03911818E-17 3.65976406E-16 3.65976406E-16 3.65976406E-16 7.90786596E-16 6.38543670E-19 6.38543670E-19 6.38543670E-19 1.28358080E-21 1.28358080E-21 1.28358080E-21 1.28358080E-21 4.58451546E-19 7.81879561E-22 2.35722689E-24 1.93453776E-17 3.74629417E-18 3.74629417E-18 2.20571788E-18 2.20571788E-18 2.51656194E-24 9.41019474E-19 1.05341640E-18 7.66302165E-19 4.39279610E-20 2.34268342E-19 7.13981095E-19 5.71677762E-24 7.26748183E-24 4.13255343E-22 0.00000000E+00 1.07447929E-22 1.42324144E-19 0.00000000E+00 3.52760274E-26 2.30466034E-19 0.00000000E+00 1.39178815E-16 5.33842979E-19 6.61506971E-24 0.00000000E+00 2.68372813E-20 1.59472141E-19 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.46888911E-18 6.57996255E-18 2.42454154E-18 3.65976406E-16 3.65976406E-16 2.18219525E-20 3.21470042E-18
Oesophagus 9.18389228E-19 9.18389228E-19 5.50726438E-22 5.50726438E-22 8.59283729E-19 1.01228322E-19 5.60288110E-15 5.60288110E-15 5.58891821E-14 3.26979696E-18 1.19837554E-17 1.19837554E-17 3.77476840E-21 4.59651091E-21 4.59651091E-21 4.59651091E-21 4.29157128E-24 7.57699183E-24 7.57699183E-24 1.02632952E-23 8.53354612E-24 8.53354612E-24 0.00000000E+00 0.00000000E+00 0.00000000E+00 2.21219300E-22 7.48581774E-17 7.48581774E-17 7.48581774E-17 3.96959320E-17 4.91608638E-16 4.91608638E-16 4.91608638E-16 1.29035149E-17 1.29035149E-17 1.29035149E-17 1.29035149E-17 4.45474148E-16 1.16912484E-17 7.81694993E-19 1.21462675E-16 1.72060794E-18 1.72060794E-18 5.32336209E-19 5.32336209E-19 8.36913839E-23 9.45719077E-19 1.89852668E-18 3.68247656E-19 2.05346551E-22 1.06294745E-20 3.79911324E-23 3.24805419E-20 2.86656491E-20 8.45710322E-17 1.40735312E-20 5.55013741E-18 4.47523492E-17 0.00000000E+00 6.77722096E-21 6.54814317E-23 0.00000000E+00 5.09350947E-19 3.44971658E-20 3.90364587E-19 0.00000000E+00 2.01158453E-17 1.93250926E-16 4.56258004E-22 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.44358410E-18 4.42893196E-18 1.40992518E-18 7.48581774E-17 7.48581774E-17 2.91796902E-17 1.84062975E-17
St-stem    1.90251451E-23 1.90251451E-23 1.24079704E-24 1.24079704E-24 5.20668862E-24 1.29329502E-24 1.27485258E-17 1.27485258E-17 1.27485258E-17 3.33971207E-16 4.59295167E-13 1.42298636E-14 1.77357011E-17 1.87484110E-17 1.87484110E-17 1.87484110E-17 1.72933680E-21 2.07198376E-21 2.07198376E-21 1.93504203E-20 2.66749498E-20 2.66749498E-20 7.02542774E-24 3.85520580E-24 3.85520580E-24 8.47645350E-23 2.52219091E-24 2.52219091E-24 2.52219091E-24 6.42153199E-24 1.14048194E-20 1.14048194E-20 1.14048194E-20 3.83747855E-18 3.83747855E-18 3.83747855E-18 3.83747855E-18 4.28535228E-21 3.59198984E-18 1.64178901E-17 1.17668359E-16 4.24601119E-20 4.24601119E-20 1.16496811E-19 1.16496811E-19 6.76065505E-23 2.29530494E-19 4.46418295E-19 9.46736149E-20 0.00000000E+00 2.67012839E-20 4.76415293E-23 1.45212353E-17 4.24753453E-18 1.01336958E-17 3.22015508E-18 1.52917914E-17 2.22356173E-17 3.06557934E-24 9.82489712E-17 1.92984637E-25 0.00000000E+00 5.24654898E-24 1.06519111E-19 7.87579541E-17 0.00000000E+00 1.13541254E-22 1.73202723E-23 1.71578493E-19 6.21841194E-24 6.89140616E-24 2.26421818E-24 1.97276847E-18 7.81589195E-19 1.03435951E-18 2.52219091E-24 2.52219091E-24 3.71000227E-18 3.76273975E-18
SI-stem    5.72806781E-25 5.72806781E-25 7.95323283E-26 7.95323283E-26 3.45333679E-25 1.75538941E-25 4.24830453E-21 4.24830453E-21 4.24830453E-21 5.37487511E-18 1.87709791E-17 1.87709791E-17 1.55989046E-16 6.40982828E-14 3.27249130E-15 3.70892711E-16 1.26914441E-17 2.34431288E-17 2.34431288E-17 2.23171929E-17 3.50299414E-17 3.50299414E-17 1.94824996E-17 1.47606242E-17 1.47606242E-17 7.09542474E-24 4.01990234E-26 4.01990234E-26 4.01990234E-26 1.99191878E-25 2.16420390E-23 2.16420390E-23 2.16420390E-23 5.42427624E-22 5.42427624E-22 5.42427624E-22 5.42427624E-22 1.49645819E-23 7.13659053E-22 8.79445790E-18 1.27326158E-16 7.74326306E-20 7.74326306E-20 1.88413725E-19 1.88413725E-19 4.74933598E-23 6.21817704E-19 1.19512907E-18 2.53057127E-19 3.45533504E-27 7.90755762E-23 9.33776713E-24 1.59730136E-17 1.01502951E-17 9.39067003E-22 1.13954075E-17 2.29999265E-18 4.87861829E-17 2.15063901E-17 4.35894644E-17 0.00000000E+00 0.00000000E+00 8.32180493E-26 4.55423489E-20 1.76780387E-18 0.00000000E+00 4.50129489E-24 6.13003949E-25 6.11020955E-17 1.18960006E-17 9.56120233E-18 8.67387145E-18 4.01527431E-18 8.45757509E-19 1.13401159E-18 4.01990234E-26 4.01990234E-26 5.24906832E-22 5.32065251E-22
RC-stem    1.62338606E-25 1.62338606E-25 1.94578804E-26 1.94578804E-26 0.00000000E+00 1.72129693E-25 8.54079177E-24 8.54079177E-24 8.54079177E-24 5.40547694E-22 2.24131187E-21 2.24131187E-21 6.32489125E-18 2.33738914E-17 2.33738914E-17 2.33738914E-17 5.09868561E-16 1.21291343E-13 1.32622272E-14 3.98368903E-18 7.99425860E-18 7.99425860E-18 1.73876737E-21 1.56829669E-21 1.56829669E-21 1.53873161E-24 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.79453807E-25 1.83642367E-24 1.83642367E-24 1.83642367E-24 1.04700810E-23 1.04700810E-23 1.04700810E-23 1.04700810E-23 1.17643284E-24 8.27779756E-24 3.09740466E-21 1.22227543E-16 8.18423234E-20 8.18423234E-20 4.06386705E-20 4.06386705E-20 5.91951327E-23 4.91183006E-20 7.61585889E-20 3.23929774E-20 0.00000000E+00 1.36226695E-23 1.51648699E-24 1.69715600E-20 1.51798799E-20 9.54578742E-24 1.14807384E-17 8.46553633E-19 2.64219807E-17 2.67683375E-21 5.16701472E-18 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.90516862E-19 1.64832865E-23 0.00000000E+00 1.23999694E-24 3.18086978E-25 3.67364325E-18 1.16653044E-19 1.23196025E-19 2.31813347E-21 2.69523527E-18 1.97391905E-19 2.83704819E-18 0.00000000E+00 0.00000000E+00 1.01799726E-23 1.02845454E-23
LC-stem    1.80725938E-25 1.80725938E-25 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 9.67118911E-24 9.67118911E-24 9.67118911E-24 8.46854772E-21 2.65157232E-20 2.65157232E-20 9.55551436E-18 3.49174751E-17 3.49174751E-17 3.49174751E-17 4.39784872E-18 7.96530730E-18 7.96530730E-18 6.93766513E-16 1.24786784E-13 1.32573963E-14 9.80948055E-18 6.79041746E-18 6.79041746E-18 1.49620212E-24 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 5.99250144E-25 5.99250144E-25 5.99250144E-25 6.95868346E-24 6.95868346E-24 6.95868346E-24 6.95868346E-24 5.20787573E-25 6.41012550E-24 2.63527389E-22 1.23065709E-16 1.00979028E-19 1.00979028E-19 5.05519072E-20 5.05519072E-20 8.52151380E-23 5.19598972E-20 8.89296074E-20 3.53395056E-20 0.00000000E+00 1.88373681E-23 1.64987189E-24 5.93199006E-22 5.87294576E-22 1.08916043E-23 3.05761949E-20 1.92951092E-22 2.90155502E-17 4.21949313E-21 9.90920759E-21 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.35906032E-19 7.89823133E-22 0.00000000E+00 1.64649073E-25 0.00000000E+00 3.06299643E-18 7.25465544E-19 5.82983981E-19 1.14029941E-20 2.89229767E-18 1.55933192E-19 2.47495657E-18 0.00000000E+00 0.00000000E+00 6.74128558E-24 6.82669699E-24
RS-stem    0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 2.83064451E-24 6.63258474E-24 6.63258474E-24 1.58748144E-17 1.47088714E-17 1.47088714E-17 1.47088714E-17 1.21037827E-21 2.07872476E-21 2.07872476E-21 2.44424581E-18 6.84354096E-18 6.84354096E-18 6.73087121E-16 2.06797936E-13 2.73494968E-14 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 3.37276010E-25 3.37276010E-25 3.37276010E-25 3.37276010E-25 0.00000000E+00 0.00000000E+00 1.66827252E-24 1.22859138E-16 7.52452704E-20 7.52452704E-20 2.08988025E-19 2.08988025E-19 1.63940678E-23 8.34316616E-19 1.66288192E-18 3.63039628E-19 0.00000000E+00 0.00000000E+00 0.00000000E+00 6.90463226E-25 7.62015614E-25 4.00655182E-25 1.09994979E-23 2.56773485E-24 3.53923940E-17 1.58110013E-16 1.14644662E-23 0.00000000E+00 0.00000000E+00 0.00000000E+00 3.98041662E-20 7.44632615E-25 0.00000000E+00 0.00000000E+00 0.00000000E+00 3.20083143E-17 5.91721880E-17 3.13596352E-17 2.35184470E-16 4.03408002E-18 3.34920104E-19 1.72638870E-18 0.00000000E+00 0.00000000E+00 3.25586909E-25 3.30527311E-25
ET1-bas    2.71942442E-17 2.71942442E-17 4.85408358E-19 4.85408358E-19 1.09846798E-18 1.55885349E-19 1.01725047E-22 1.01725047E-22 1.01725047E-22 1.12223897E-24 1.99541308E-23 1.99541308E-23 6.20799440E-24 5.07619496E-25 5.07619496E-25 5.07619496E-25 5.83094975E-25 0.00000000E+00 0.00000000E+00 0.00000000E+00 5.16938123E-25 5.16938123E-25 0.00000000E+00 0.00000000E+00 0.00000000E+00 2.88182119E-14 4.95683149E-17 4.95683149E-17 4.95683149E-17 6.63521474E-21 1.00806221E-22 1.00806221E-22 1.00806221E-22 6.11188967E-22 6.11188967E-22 6.11188967E-22 6.11188967E-22 1.45127400E-22 6.37405036E-22 5.84503958E-24 1.79619217E-17 3.72654485E-18 3.72654485E-18 7.59294021E-19 7.59294021E-19 0.00000000E+00 1.99555457E-19 2.52051709E-19 1.79514779E-19 1.00879098E-19 1.21274128E-18 4.29929156E-17 2.16012273E-23 8.65169189E-22 1.68071099E-21 0.00000000E+00 6.97060982E-23 4.99988703E-20 0.00000000E+00 6.05082677E-24 7.09005220E-20 0.00000000E+00 6.69301261E-21 4.35283890E-18 0.00000000E+00 0.00000000E+00 2.28625929E-21 2.45798800E-22 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 8.18781252E-18 2.19523191E-18 8.22448796E-19 8.83094683E-13 4.95683149E-17 5.92887910E-22 4.33735414E-19
ET2-bas    3.35978098E-16 3.35978098E-16 1.59472588E-19 1.59472588E-19 2.97941512E-16 5.21542594E-16 7.41587966E-17 7.41587966E-17 7.41587966E-17 5.38191434E-26 3.25726576E-24 3.25726576E-24 2.58118670E-24 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 5.00300803E-17 8.94813847E-15 1.02938115E-12 1.52103554E-14 1.23495673E-15 6.44154661E-17 6.44154661E-17 6.44154661E-17 1.21042406E-21 1.21042406E-21 1.21042406E-21 1.21042406E-21 9.74023176E-17 1.48233310E-21 1.80839763E-24 1.79307908E-17 2.92204251E-18 2.92204251E-18 1.01095808E-18 1.01095808E-18 1.90937959E-24 5.21724380E-19 7.84764308E-19 3.21019505E-19 1.12144616E-18 1.80172934E-20 2.24619491E-18 1.67777276E-24 1.87348657E-24 7.40804855E-22 2.18664121E-27 3.71175753E-24 1.50033556E-18 0.00000000E+00 0.00000000E+00 3.57075993E-18 0.00000000E+00 4.34676248E-17 8.37320000E-20 1.43227891E-25 0.00000000E+00 9.84312979E-20 6.32567731E-18 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 4.53727916E-18 4.27983448E-17 2.54992109E-18 4.95683149E-17 8.83094683E-13 2.14545652E-18 7.89749398E-17
LN-ET      8.01459665E-16 8.01459665E-16 2.16834628E-19 2.16834628E-19 4.72057151E-16 2.88081750E-17 4.29293995E-17 4.29293995E-17 4.29293995E-17 0.00000000E+00 2.17720296E-23 2.17720296E-23 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 8.00759645E-21 1.36433529E-15 1.36433529E-15 1.36433529E-15 2.01177930E-13 8.46856457E-17 8.46856457E-17 8.46856457E-17 7.37464938E-21 7.37464938E-21 7.37464938E-21 7.37464938E-21 1.16361887E-16 2.35432769E-21 2.64241196E-23 2.21501268E-17 1.15234002E-18 1.15234002E-18 2.69270091E-19 2.69270091E-19 2.83948915E-24 2.23344930E-19 4.45498144E-19 1.23278684E-19 2.31590435E-21 3.22200805E-19 2.17357877E-21 0.00000000E+00 1.34317970E-24 3.57844610E-21 0.00000000E+00 2.66507452E-23 1.78034797E-18 0.00000000E+00 0.00000000E+00 8.56367453E-21 0.00000000E+00 2.28296914E-16 4.41417516E-19 1.34137872E-24 0.00000000E+00 1.77605983E-19 7.51211986E-18 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 3.05471695E-18 5.65188313E-17 6.51993728E-18 1.36433529E-15 1.36433529E-15 2.83826943E-18 1.27702798E-17
