  T/S      O-cavity       O-mucosa       Teeth-S        Teeth-V        Tongue         Tonsils        Oesophag-s     Oesophag-f     Oesophag-w     St-cont        St-mucosa      St-wall        SI-cont        SI-mucosa      SI-wall        SI-villi       RC-cont        RC-mucosa      RC-wall        LC-cont        LC-mucosa      LC-wall        RS-cont        RS-mucosa      RS-wall        ET1-sur        ET2-sur        ET2-bnd        ET2-seq        LN-ET          Bronchi        Bronchi-b      Bronchi-q      Brchiole       Brchiole-b     Brchiole-q     ALV            LN-Th          Lungs          Adrenals       Blood          C-bone-S       C-bone-V       T-bone-S       T-bone-V       C-marrow       T-marrow       R-marrow       Y-marrow       Brain          Breast         Eye-lens       GB-wall        GB-cont        Ht-wall        Kidneys        Liver          LN-Sys         Ovaries        Pancreas       P-gland        Prostate       S-glands       Skin           Spleen         Testes         Thymus         Thyroid        Ureters        UB-wall        UB-cont        Uterus         Adipose        Cartilage      Muscle         ET1-wall       ET2-wall       Lung-Tis       RT-air
O-mucosa   1.36110945E-13 3.55081897E-13 1.86659713E-13 6.35083015E-14 1.66554439E-13 5.68427639E-14 2.08758826E-15 2.08758826E-15 2.08758826E-15 1.35365089E-16 1.22670082E-16 1.22670082E-16 3.95199937E-17 3.29524192E-17 3.29524192E-17 3.29524192E-17 3.01933009E-17 2.89535804E-17 2.89535804E-17 2.42411376E-17 2.30112281E-17 2.30112281E-17 7.02244731E-18 6.15863892E-18 6.15863892E-18 1.58838578E-14 3.12538364E-14 3.12538364E-14 3.12538364E-14 4.67588365E-14 2.05874540E-15 2.05874540E-15 2.05874540E-15 5.78688955E-16 5.78688955E-16 5.78688955E-16 5.78688955E-16 2.34014169E-15 5.84276502E-16 1.14303744E-16 6.88092843E-16 1.61033513E-15 1.61033513E-15 1.66660518E-15 1.66660518E-15 3.94698820E-17 9.21828281E-16 1.23031748E-15 6.46584285E-16 2.56972283E-15 7.17885376E-16 6.27019906E-15 1.28848205E-16 1.26216721E-16 4.93050332E-16 7.26809382E-17 1.71507314E-16 5.84036621E-16 5.30414372E-18 9.05180736E-17 7.68317904E-15 0.00000000E+00 1.66259726E-14 4.19339478E-16 1.39707760E-16 0.00000000E+00 1.61438255E-15 4.24325031E-15 3.35665058E-17 7.71279330E-18 6.46305464E-18 5.63546161E-18 4.72861736E-16 1.20506121E-15 4.98403288E-16 3.12538364E-14 3.12538364E-14 6.27984757E-16 8.61516593E-16
Oesophagus 2.07699546E-15 2.07699546E-15 1.29160807E-15 1.29160807E-15 2.31676595E-15 1.63596110E-15 5.28453927E-13 1.32539689E-13 1.99120660E-13 2.46843632E-15 2.21234284E-15 2.21234284E-15 3.53268755E-16 2.82177055E-16 2.82177055E-16 2.82177055E-16 1.65102773E-16 1.69960712E-16 1.69960712E-16 1.43947693E-16 1.37623309E-16 1.37623309E-16 3.90068394E-17 3.19216877E-17 3.19216877E-17 5.99607316E-16 5.34584697E-15 5.34584697E-15 5.34584697E-15 6.71078851E-15 2.53623681E-14 2.53623681E-14 2.53623681E-14 5.05204025E-15 5.05204025E-15 5.05204025E-15 5.05204025E-15 2.61339109E-14 5.11714389E-15 2.10981992E-15 2.56449379E-15 1.22168379E-15 1.22168379E-15 1.03186121E-15 1.03186121E-15 1.28959170E-16 1.55322970E-15 2.85403039E-15 6.96938749E-16 3.50356139E-16 1.57222108E-15 4.07137842E-16 1.49819281E-15 1.52854606E-15 9.83778332E-15 8.17330675E-16 2.27677165E-15 3.62345315E-15 2.84339799E-17 8.60998986E-16 6.58137871E-16 0.00000000E+00 2.03155314E-15 3.89762870E-16 2.07679355E-15 0.00000000E+00 9.78311766E-15 2.04249967E-14 2.69360942E-16 3.01143030E-17 3.32736505E-17 2.84553287E-17 5.04199366E-16 1.10435331E-15 6.84095812E-16 5.34584697E-15 5.34584697E-15 5.72888704E-15 5.25711156E-15
St-stem    1.26636563E-16 1.26636563E-16 1.25313731E-16 1.25313731E-16 1.24403336E-16 9.97180973E-17 2.22353501E-15 2.22353501E-15 2.22353501E-15 3.32921074E-14 7.48845685E-13 5.60756679E-14 5.05926840E-15 3.62088459E-15 3.62088459E-15 3.62088459E-15 8.40256427E-16 8.40734026E-16 8.40734026E-16 1.40483872E-15 1.38678056E-15 1.38678056E-15 2.07733188E-16 1.78789540E-16 1.78789540E-16 1.09303063E-16 1.03757342E-16 1.03757342E-16 1.03757342E-16 1.40142569E-16 6.87036365E-16 6.87036365E-16 6.87036365E-16 1.51257033E-15 1.51257033E-15 1.51257033E-15 1.51257033E-15 5.70995773E-16 1.53433297E-15 5.88127879E-15 2.15085262E-15 3.97185648E-16 3.97185648E-16 4.96089620E-16 4.96089620E-16 1.31616395E-16 6.28439054E-16 1.12901199E-15 3.13469180E-16 3.98999186E-17 1.04189971E-15 8.95292026E-17 5.84483145E-15 5.28389708E-15 3.23034816E-15 4.42764990E-15 4.15030720E-15 2.67941591E-15 1.53845190E-16 1.31512698E-14 5.53134739E-17 0.00000000E+00 1.05058253E-16 4.10159710E-16 1.13919057E-14 0.00000000E+00 4.58430083E-16 2.37514587E-16 1.93765686E-15 1.70933097E-16 1.85125620E-16 1.67664529E-16 6.33811258E-16 7.68392358E-16 5.24770736E-16 1.03757342E-16 1.03757342E-16 1.48503490E-15 1.49089614E-15
SI-stem    3.73697232E-17 3.73697232E-17 3.63360087E-17 3.63360087E-17 3.54341298E-17 2.85281696E-17 2.85295798E-16 2.85295798E-16 2.85295798E-16 2.70064057E-15 3.62510129E-15 3.62510129E-15 1.26860879E-14 9.86336396E-14 1.72064197E-14 2.30434534E-14 4.78714695E-15 5.04252155E-15 5.04252155E-15 6.39017690E-15 6.60038940E-15 6.60038940E-15 5.00247103E-15 3.97428058E-15 3.97428058E-15 3.48511391E-17 2.93196128E-17 2.93196128E-17 2.93196128E-17 3.85984311E-17 1.54110900E-16 1.54110900E-16 1.54110900E-16 2.73956008E-16 2.73956008E-16 2.73956008E-16 2.73956008E-16 1.32946292E-16 2.77091112E-16 2.19955690E-15 1.65239016E-15 5.26018751E-16 5.26018751E-16 8.28788730E-16 8.28788730E-16 1.38286645E-16 1.09606605E-15 1.78013009E-15 6.19962074E-16 1.12680914E-17 2.30351871E-16 2.99974504E-17 3.22223067E-15 3.13630589E-15 3.93514218E-16 3.67377114E-15 1.40506901E-15 4.03040553E-15 4.10944609E-15 6.70743980E-15 1.55211941E-17 0.00000000E+00 2.91587721E-17 3.67416042E-16 1.49659446E-15 0.00000000E+00 1.12854268E-16 6.26043358E-17 8.19676219E-15 3.72462160E-15 4.38781786E-15 3.87457601E-15 8.74910157E-16 1.10993542E-15 7.91018426E-16 2.93196128E-17 2.93196128E-17 2.69914799E-16 2.70380190E-16
RC-stem    3.20241803E-17 3.20241803E-17 3.02693190E-17 3.02693190E-17 3.09583867E-17 2.48836820E-17 1.65064763E-16 1.65064763E-16 1.65064763E-16 6.11167232E-16 8.38173457E-16 8.38173457E-16 3.75483862E-15 5.03020375E-15 5.03020375E-15 5.03020375E-15 3.33768684E-14 1.97898391E-13 6.01864489E-14 2.41845269E-15 2.59806003E-15 2.59806003E-15 1.12130487E-15 1.03401702E-15 1.03401702E-15 2.91902270E-17 2.48791799E-17 2.48791799E-17 2.48791799E-17 3.39368817E-17 1.13645388E-16 1.13645388E-16 1.13645388E-16 1.88599752E-16 1.88599752E-16 1.88599752E-16 1.88599752E-16 9.83268192E-17 1.88728014E-16 1.15766487E-15 1.47602590E-15 4.89417027E-16 4.89417027E-16 7.13433840E-16 7.13433840E-16 1.24866304E-16 8.61010426E-16 1.35753398E-15 5.06042902E-16 1.00980320E-17 1.58729342E-16 2.56128793E-17 1.65937755E-15 1.67715905E-15 2.10873863E-16 3.19574728E-15 1.23118060E-15 2.68157697E-15 1.13532949E-15 3.07595419E-15 1.30781471E-17 0.00000000E+00 2.56951295E-17 3.90164468E-16 3.57526553E-16 0.00000000E+00 9.28345537E-17 5.41423314E-17 4.74937262E-15 1.51781235E-15 1.73199590E-15 1.12476865E-15 7.83786533E-16 8.28172803E-16 8.65068063E-16 2.48791799E-17 2.48791799E-17 1.86105175E-16 1.86260278E-16
LC-stem    2.45941321E-17 2.45941321E-17 2.40837365E-17 2.40837365E-17 2.24689805E-17 1.81306212E-17 1.39566665E-16 1.39566665E-16 1.39566665E-16 1.06379528E-15 1.39134734E-15 1.39134734E-15 4.84832343E-15 6.59220240E-15 6.59220240E-15 6.59220240E-15 2.39368930E-15 2.58920543E-15 2.58920543E-15 4.02211113E-14 2.07757306E-13 6.45226232E-14 2.58522546E-15 2.02690309E-15 2.02690309E-15 2.57722838E-17 1.82541315E-17 1.82541315E-17 1.82541315E-17 2.30192328E-17 8.64353606E-17 8.64353606E-17 8.64353606E-17 1.47598141E-16 1.47598141E-16 1.47598141E-16 1.47598141E-16 7.36267102E-17 1.52644282E-16 6.89356383E-16 1.40557009E-15 4.97746704E-16 4.97746704E-16 6.98443086E-16 6.98443086E-16 1.28165908E-16 8.78363023E-16 1.33943179E-15 5.36421075E-16 7.19874941E-18 1.31028680E-16 2.09176234E-17 8.49002427E-16 8.68346668E-16 2.07821177E-16 1.43707159E-15 4.92447136E-16 3.05820367E-15 1.23730385E-15 1.64234492E-15 9.31884113E-18 0.00000000E+00 1.88031934E-17 3.81935308E-16 6.26634341E-16 0.00000000E+00 6.34481247E-17 3.72197904E-17 4.82056234E-15 2.05341126E-15 2.28074558E-15 1.51512893E-15 8.42307008E-16 8.03020649E-16 8.74679956E-16 1.82541315E-17 1.82541315E-17 1.45557592E-16 1.45750968E-16
RS-stem    6.32592235E-18 6.32592235E-18 7.61913469E-18 7.61913469E-18 6.34658348E-18 4.84277514E-18 3.34073456E-17 3.34073456E-17 3.34073456E-17 1.48125586E-16 1.79284185E-16 1.79284185E-16 4.58297516E-15 3.98607349E-15 3.98607349E-15 3.98607349E-15 1.02067185E-15 1.03861384E-15 1.03861384E-15 1.71316582E-15 2.04537104E-15 2.04537104E-15 3.91075519E-14 3.38821287E-13 1.14553329E-13 7.44672194E-18 4.92735927E-18 4.92735927E-18 4.92735927E-18 6.24347009E-18 2.49494354E-17 2.49494354E-17 2.49494354E-17 3.97664161E-17 3.97664161E-17 3.97664161E-17 3.97664347E-17 2.07120894E-17 4.07295057E-17 1.74696226E-16 1.23004802E-15 5.83172404E-16 5.83172404E-16 7.09479501E-16 7.09479501E-16 2.48583896E-16 1.16510943E-15 1.63041325E-15 8.08075467E-16 2.17072942E-18 3.08125918E-17 6.02632286E-18 1.84342013E-16 1.85619007E-16 4.60722214E-17 3.07741148E-16 1.32391954E-16 2.97915188E-15 2.28914548E-14 2.81008158E-16 2.73161225E-18 0.00000000E+00 5.86903941E-18 3.73291222E-16 1.20157235E-16 0.00000000E+00 1.72336052E-17 1.00487110E-17 4.36525887E-15 1.04735497E-14 9.68526098E-15 2.72621586E-14 1.04494468E-15 9.01551763E-16 1.03354479E-15 4.92735927E-18 4.92735927E-18 3.92799925E-17 3.92861365E-17
ET1-bas    1.59049912E-14 1.59049912E-14 2.14345513E-14 2.14345513E-14 1.18303015E-14 8.19920347E-15 5.76231711E-16 5.76231711E-16 5.76231711E-16 1.28063172E-16 1.01108822E-16 1.01108822E-16 3.05576046E-17 3.42364403E-17 3.42364403E-17 3.42364403E-17 2.94254099E-17 2.63120276E-17 2.63120276E-17 1.88183746E-17 3.01417445E-17 3.01417445E-17 8.46479567E-18 5.82559741E-18 5.82559741E-18 1.24417203E-11 1.01753260E-14 1.01753260E-14 1.01753260E-14 3.77402735E-15 6.11498366E-16 6.11498366E-16 6.11498366E-16 3.53293288E-16 3.53293288E-16 3.53293288E-16 3.53293288E-16 6.70684401E-16 3.28019585E-16 7.79964705E-17 1.61462497E-16 1.43175065E-15 1.43175065E-15 1.10986342E-15 1.10986342E-15 3.09552071E-17 4.75472353E-16 6.00754858E-16 3.78817437E-16 2.91300190E-15 5.90533797E-16 2.50494667E-14 1.06826862E-16 9.30912609E-17 3.15623799E-16 5.56386647E-17 1.28655415E-16 2.44046267E-16 2.52316537E-18 7.83314446E-17 4.67347294E-15 0.00000000E+00 3.41411474E-15 5.20008991E-16 9.53348743E-17 0.00000000E+00 7.50652029E-16 1.17354736E-15 2.62936657E-17 7.83877009E-18 8.99354378E-18 5.96640783E-18 5.79078102E-16 6.29753607E-16 2.12096883E-16 9.86726922E-13 1.01753260E-14 3.61938932E-16 4.41669682E-16
ET2-bas    3.12741718E-14 3.12741718E-14 1.31800194E-14 1.31800194E-14 3.49103034E-14 4.18415274E-14 5.37691786E-15 5.37691786E-15 5.37691786E-15 1.19539020E-16 9.85472527E-17 9.85472527E-17 3.28717761E-17 2.73606706E-17 2.73606706E-17 2.73606706E-17 2.71951404E-17 2.20459952E-17 2.20459952E-17 1.62355975E-17 1.59983786E-17 1.59983786E-17 4.26046765E-18 3.62292919E-18 3.62292919E-18 1.04489609E-14 5.18727095E-13 1.03237156E-12 6.86224075E-13 6.01362549E-14 4.34961622E-15 4.34961622E-15 4.34961622E-15 6.22284373E-16 6.22284373E-16 6.22284373E-16 6.22284373E-16 5.72401400E-15 6.12581500E-16 1.02108800E-16 2.28827933E-16 1.73051987E-15 1.73051987E-15 1.73140599E-15 1.73140599E-15 3.41732954E-17 1.05561104E-15 1.60579411E-15 6.46140849E-16 4.22609325E-15 5.61475301E-16 5.89885672E-15 1.01368013E-16 9.64103555E-17 4.74110303E-16 6.36494323E-17 1.48834368E-16 8.17623053E-16 4.31569180E-18 7.18799282E-17 1.88452176E-14 0.00000000E+00 1.61048836E-14 3.82172842E-16 1.45619190E-16 0.00000000E+00 1.84152035E-15 7.07821819E-15 2.42106707E-17 4.73035783E-18 4.66105043E-18 4.64984401E-18 5.31627808E-16 2.19905639E-15 5.79450421E-16 1.01753260E-14 9.86726922E-13 7.46732606E-16 5.79844541E-15
LN-ET      4.70408967E-14 4.70408967E-14 1.36349435E-14 1.36349435E-14 4.53735167E-14 1.82239423E-14 6.70415975E-15 6.70415975E-15 6.70415975E-15 1.35155836E-16 1.23648188E-16 1.23650640E-16 3.31254692E-17 2.76336213E-17 2.76336213E-17 2.76336213E-17 3.57714262E-17 4.02342957E-17 4.02342957E-17 2.73920665E-17 1.69477758E-17 1.69477758E-17 6.38625778E-18 3.20022550E-18 6.24347008E-18 3.97277022E-15 6.04907187E-14 6.04907187E-14 6.04907187E-14 1.04606584E-12 7.50974770E-15 7.50974770E-15 7.50974770E-15 9.49543671E-16 9.49543671E-16 9.49543671E-16 9.49543671E-16 9.64423946E-15 8.92591176E-16 1.24369372E-16 2.01833885E-16 1.25282193E-15 1.25282193E-15 1.30058972E-15 1.30058972E-15 5.51634578E-17 9.49652122E-16 1.37918465E-15 5.27476155E-16 1.83868130E-15 8.15338855E-16 2.38640094E-15 1.43659144E-16 1.07905487E-16 7.18990634E-16 8.12925368E-17 2.26665185E-16 1.07199842E-15 4.14852679E-18 7.41530676E-17 4.71455996E-15 0.00000000E+00 2.39420694E-14 4.48531243E-16 1.77659256E-16 0.00000000E+00 2.80762184E-15 1.22784129E-14 3.47854120E-17 6.94092107E-18 9.08255583E-18 6.65303270E-18 5.02778476E-16 2.60411894E-15 7.98301482E-16 6.04907187E-14 6.04907187E-14 1.16810427E-15 1.53609821E-15
