  T/S      O-cavity       O-mucosa       Teeth-S        Teeth-V        Tongue         Tonsils        Oesophag-s     Oesophag-f     Oesophag-w     St-cont        St-mucosa      St-wall        SI-cont        SI-mucosa      SI-wall        SI-villi       RC-cont        RC-mucosa      RC-wall        LC-cont        LC-mucosa      LC-wall        RS-cont        RS-mucosa      RS-wall        ET1-sur        ET2-sur        ET2-bnd        ET2-seq        LN-ET          Bronchi        Bronchi-b      Bronchi-q      Brchiole       Brchiole-b     Brchiole-q     ALV            LN-Th          Lungs          Adrenals       Blood          C-bone-S       C-bone-V       T-bone-S       T-bone-V       C-marrow       T-marrow       R-marrow       Y-marrow       Brain          Breast         Eye-lens       GB-wall        GB-cont        Ht-wall        Kidneys        Liver          LN-Sys         Ovaries        Pancreas       P-gland        Prostate       S-glands       Skin           Spleen         Testes         Thymus         Thyroid        Ureters        UB-wall        UB-cont        Uterus         Adipose        Cartilage      Muscle         ET1-wall       ET2-wall       Lung-Tis       RT-air
O-mucosa   3.63360255E-13 1.48225424E-12 1.38906784E-12 5.80178812E-14 6.89773090E-13 2.78900963E-15 1.61522113E-16 1.61522113E-16 1.61522113E-16 1.56162925E-17 1.53363844E-17 1.53363844E-17 5.70836462E-18 3.95977591E-18 3.96231722E-18 3.95977591E-18 6.88316097E-18 5.87504309E-18 5.87767037E-18 8.81398089E-18 7.36349688E-18 7.38213736E-18 9.69018075E-19 7.90197143E-19 7.90197143E-19 1.56625992E-15 1.41836322E-14 1.41836322E-14 1.41836322E-14 7.28015090E-15 8.22035424E-17 8.22035424E-17 8.22035424E-17 5.19009189E-17 5.19009189E-17 5.19009189E-17 5.19528042E-17 1.40390524E-16 5.10700544E-17 1.03501944E-17 6.08002405E-16 3.80640697E-16 3.80640697E-16 2.60364274E-16 2.60364274E-16 3.77868779E-18 1.56530550E-16 1.98508346E-16 1.17367619E-16 3.73227572E-16 4.37382523E-17 8.73022230E-16 1.22597969E-17 1.25328240E-17 4.13886764E-17 6.88343929E-18 1.82436055E-17 5.77610826E-17 0.00000000E+00 9.91907708E-18 1.16722567E-15 3.14119408E-19 1.09962319E-15 4.95147278E-17 1.47511110E-17 1.16820200E-19 1.37059124E-16 2.81509821E-16 2.94885226E-18 5.57408204E-19 5.97148931E-19 0.00000000E+00 9.91053245E-17 2.48424577E-16 1.64367212E-16 1.41836322E-14 1.41836322E-14 5.29008535E-17 1.75834383E-16
Oesophagus 1.62527366E-16 1.62527366E-16 1.08178883E-16 1.08178883E-16 1.87836072E-16 1.09588866E-16 3.98854313E-12 8.04433842E-13 8.87051976E-13 4.39776721E-16 1.00876838E-15 1.00876838E-15 1.05872632E-16 5.90985706E-17 5.90985706E-17 5.90985706E-17 6.16338168E-17 5.04259890E-17 5.04259890E-17 9.38749563E-17 8.16195864E-17 8.16195864E-17 9.24115886E-18 6.54257875E-18 6.54257875E-18 4.77527933E-17 4.06605793E-15 4.06605793E-15 4.06605793E-15 1.48415991E-15 4.23434418E-15 4.23434418E-15 4.23434418E-15 6.98845886E-16 6.98845886E-16 6.98845886E-16 6.98845886E-16 1.98289773E-14 7.01200552E-16 2.77181124E-16 2.73086911E-15 2.72720112E-16 2.72720112E-16 1.16750219E-16 1.16750219E-16 2.03370303E-17 1.88719422E-16 3.68533112E-16 8.39715207E-17 3.48439876E-17 1.31975550E-16 3.91554136E-17 1.99191472E-16 1.86939635E-16 3.53887098E-15 1.35067181E-16 3.73042200E-16 2.64394447E-15 0.00000000E+00 2.20033948E-16 5.80683074E-17 3.14249173E-18 1.99434456E-16 4.54809125E-17 3.00126260E-16 9.62163828E-19 1.26113009E-15 7.41984562E-15 4.68488107E-17 5.40579756E-18 5.53820120E-18 0.00000000E+00 2.64728201E-16 2.38581103E-16 9.07171338E-17 4.06605793E-15 4.06605793E-15 8.09671688E-16 7.63560930E-16
St-stem    1.59534043E-17 1.59534043E-17 1.62770655E-17 1.62770655E-17 1.70588028E-17 9.28413630E-18 1.01314162E-15 1.01314162E-15 1.01314162E-15 1.34317568E-13 4.03534924E-12 2.10849053E-13 7.53277612E-16 4.55109035E-16 4.55109035E-16 4.55109035E-16 2.63874248E-16 1.90029052E-16 1.90029052E-16 1.36267482E-15 1.47503490E-15 1.47503490E-15 3.85543194E-17 2.53649864E-17 2.53649864E-17 1.34533368E-17 1.53555810E-17 1.53555810E-17 1.53555810E-17 2.45840276E-17 2.31604794E-16 2.31604794E-16 2.31604794E-16 3.05595710E-16 3.05595710E-16 3.05595710E-16 3.05595710E-16 1.18479537E-16 2.99680291E-16 5.60955409E-16 2.51397055E-15 5.46020198E-17 5.46020198E-17 6.04593242E-17 6.04593242E-17 2.07999719E-17 7.14605048E-17 1.36475314E-16 3.49500087E-17 4.49698265E-18 2.72843574E-16 8.42547108E-18 4.53753747E-16 4.20272790E-16 1.19539323E-15 3.57790621E-16 6.98339319E-16 3.80697530E-15 0.00000000E+00 1.95477325E-15 6.69827314E-18 1.09858488E-17 1.49289963E-17 4.83755607E-17 9.28092327E-16 3.16368495E-18 8.83365659E-17 4.67998912E-17 1.78531305E-16 1.95251228E-17 2.13981165E-17 0.00000000E+00 3.04788366E-16 6.23506857E-17 6.56492424E-17 1.53555810E-17 1.53555810E-17 3.03349585E-16 3.02121772E-16
SI-stem    4.10039594E-18 4.10039594E-18 4.27408486E-18 4.27408486E-18 4.33877042E-18 2.42471389E-18 5.97840887E-17 5.97840887E-17 5.97840887E-17 3.63424112E-16 4.53335230E-16 4.53335230E-16 2.45716718E-14 4.12589108E-13 5.03431698E-14 1.35487892E-13 6.42499016E-16 9.81699222E-16 9.81699222E-16 6.45849623E-16 1.26692508E-15 1.26692508E-15 5.92817108E-16 5.14736145E-16 5.14736145E-16 3.85184544E-18 3.75775417E-18 3.75775417E-18 3.75775417E-18 5.94694649E-18 4.01455024E-17 4.01455024E-17 4.01455024E-17 4.78320893E-17 4.78320893E-17 4.78320893E-17 4.78320893E-17 2.46526798E-17 4.80514286E-17 2.76517579E-16 2.60173228E-15 7.27903455E-17 7.27903455E-17 8.08968692E-17 8.08968692E-17 1.25311635E-17 1.12939822E-16 1.97127127E-16 6.18906114E-17 1.35378160E-18 4.78249830E-17 2.35472020E-18 3.57565841E-16 3.52639541E-16 7.51641125E-17 4.11759542E-16 1.67897139E-16 2.27562714E-15 0.00000000E+00 1.35147720E-15 1.75746386E-18 1.47685301E-16 3.86351227E-18 4.77383337E-17 2.21989299E-16 2.74226700E-17 1.79191271E-17 1.05917054E-17 1.67341000E-15 4.91519314E-16 5.13632454E-16 0.00000000E+00 4.23084248E-16 9.85446393E-17 1.05263070E-16 3.75775417E-18 3.75775417E-18 4.75914781E-17 4.73316525E-17
RC-stem    5.79749909E-18 5.79749909E-18 5.85843237E-18 5.85843237E-18 5.94548870E-18 3.19551549E-18 5.02456087E-17 5.02456087E-17 5.02456087E-17 1.48311445E-16 1.89368964E-16 1.89368964E-16 7.90333698E-16 9.79598957E-16 9.79598957E-16 9.79598957E-16 2.02724559E-14 8.25023750E-13 2.33254409E-13 3.50207577E-16 4.52464428E-16 4.52464428E-16 8.38164488E-17 7.68118292E-17 7.68118292E-17 5.39609179E-18 5.10648581E-18 5.10648581E-18 5.10648581E-18 7.87023829E-18 4.07329617E-17 4.07329617E-17 4.07329617E-17 4.99190407E-17 4.99190407E-17 4.99190407E-17 4.99190407E-17 2.67546944E-17 4.93566298E-17 2.12119003E-16 2.61847865E-15 5.63969937E-17 5.63969937E-17 6.52636665E-17 6.52636665E-17 1.36820536E-17 8.08155675E-17 1.41448317E-16 4.46712263E-17 1.74986370E-18 5.99862655E-17 3.44681547E-18 1.54439200E-15 1.44553922E-15 6.18478961E-17 5.13551034E-16 5.16877226E-16 1.36843979E-15 0.00000000E+00 7.41028265E-16 2.46952733E-18 4.85607891E-17 5.13859610E-18 5.07421767E-17 6.01163651E-17 1.21155630E-17 2.19386491E-17 1.29324789E-17 5.14405475E-16 8.84911294E-17 9.60550794E-17 0.00000000E+00 3.45809838E-16 7.37834717E-17 1.15462540E-16 5.10648581E-18 5.10648581E-18 4.96307923E-17 4.93949775E-17
LC-stem    7.93198330E-18 7.93198330E-18 7.81291588E-18 7.81291588E-18 8.21269904E-18 4.58919410E-18 8.18232052E-17 8.18232052E-17 8.18232052E-17 8.88472824E-16 1.47765307E-15 1.47765307E-15 1.15127720E-15 1.26463070E-15 1.26463070E-15 1.26463070E-15 4.51571513E-16 4.52826160E-16 4.52826160E-16 2.52675409E-14 8.83616736E-13 2.35034360E-13 5.15114770E-16 1.61642216E-16 1.61642216E-16 7.30646542E-18 7.11245484E-18 7.11245484E-18 7.11245484E-18 1.08183031E-17 7.84029219E-17 7.84029219E-17 7.84029219E-17 8.85090606E-17 8.85090606E-17 8.85090606E-17 8.85090606E-17 3.92644291E-17 8.69166424E-17 2.82222524E-16 2.65058198E-15 4.47406828E-17 4.47406828E-17 8.27718994E-17 8.27718994E-17 1.87905371E-17 8.00094639E-17 1.46865438E-16 4.11026568E-17 2.37133024E-18 1.05069897E-16 4.82467108E-18 1.96201779E-16 1.90655624E-16 1.37087157E-16 4.08264022E-16 1.51755167E-16 1.47924622E-15 0.00000000E+00 5.46629625E-16 3.28893403E-18 2.63490038E-17 7.49679394E-18 5.61004373E-17 6.06411492E-16 7.21998476E-18 3.10264728E-17 1.89108846E-17 2.87510239E-16 4.81189162E-17 5.19155889E-17 0.00000000E+00 3.63948861E-16 8.24306942E-17 9.01617745E-17 7.11245484E-18 7.11245484E-18 8.82031789E-17 8.76335518E-17
RS-stem    7.77958223E-19 7.77958223E-19 7.30558617E-19 7.30558617E-19 7.26565834E-19 4.77271018E-19 6.60048800E-18 6.60048800E-18 6.60048800E-18 2.37103566E-17 2.50073096E-17 2.50073096E-17 1.97080057E-16 5.14009632E-16 5.14009632E-16 5.14009632E-16 5.96874763E-17 7.73937879E-17 7.73937879E-17 5.84600134E-17 1.60572904E-16 1.60572904E-16 6.14896354E-14 1.46599703E-12 4.88962864E-13 7.57990118E-19 5.83262990E-19 5.83262990E-19 5.83262990E-19 1.02821949E-18 5.54194289E-18 5.54194289E-18 5.54194289E-18 6.67071773E-18 6.67071773E-18 6.67071773E-18 6.67071773E-18 3.66001499E-18 6.44236616E-18 2.60926677E-17 2.47659921E-15 1.07273267E-16 1.07273267E-16 1.07236343E-16 1.07236343E-16 1.35833356E-17 1.51563483E-16 2.34207233E-16 9.66670683E-17 2.22945823E-19 6.85453453E-18 4.28832136E-19 2.92719131E-17 2.87291750E-17 8.38616260E-18 4.46513611E-17 1.91323544E-17 3.45388911E-15 0.00000000E+00 4.12184972E-17 3.64880037E-19 1.55869517E-15 6.49181947E-19 5.04432952E-17 1.83716879E-17 1.12106376E-16 2.58471696E-18 1.66445862E-18 4.07774190E-16 1.98913883E-15 1.44787844E-15 0.00000000E+00 3.96954993E-16 1.26937615E-16 1.60272905E-16 5.83262990E-19 5.83262990E-19 6.63483508E-18 6.60157157E-18
ET1-bas    1.56170658E-15 1.56170658E-15 2.16363596E-15 2.16363596E-15 1.23856903E-15 5.81173530E-16 4.49783084E-17 4.49783084E-17 4.49783084E-17 1.19930345E-17 1.22434206E-17 1.22434206E-17 5.43146183E-18 3.18417983E-18 3.18417983E-18 3.18417983E-18 6.24287246E-18 5.03637149E-18 5.03637149E-18 7.76578352E-18 6.44347092E-18 6.44347092E-18 1.03517348E-18 5.88083621E-19 5.88083621E-19 6.24229853E-11 2.07083411E-14 2.07083411E-14 2.07083411E-14 2.86403209E-16 3.97994407E-17 3.97994407E-17 3.97994407E-17 2.78556010E-17 2.78556010E-17 2.78556010E-17 2.78556010E-17 4.73012579E-17 2.62790880E-17 6.39328728E-18 4.23378194E-16 7.29701093E-16 7.29701093E-16 9.91265832E-17 9.91265832E-17 3.03237105E-18 6.70417235E-17 7.82685819E-17 5.13165544E-17 3.40533181E-16 4.57252107E-17 3.38395919E-15 1.07866008E-17 9.31687397E-18 2.51981285E-17 5.31037286E-18 1.46969834E-17 2.07816641E-17 0.00000000E+00 7.43844670E-18 7.64283014E-16 3.44077773E-19 2.87549232E-16 3.58255699E-16 9.53353708E-18 1.89128287E-19 5.88733215E-17 7.65618774E-17 2.43136751E-18 4.02149314E-19 6.51672840E-19 0.00000000E+00 3.32627091E-16 1.94870898E-15 2.17266682E-17 3.45676240E-12 2.07083411E-14 2.82189580E-17 2.08848223E-16
ET2-bas    1.42524442E-14 1.42524442E-14 1.67716436E-15 1.67716436E-15 8.59019939E-15 5.72127079E-15 4.06563652E-15 4.06563652E-15 4.06563652E-15 1.51869750E-17 1.51877717E-17 1.51877717E-17 5.64444713E-18 3.60118342E-18 3.60118342E-18 3.60118342E-18 5.83176622E-18 5.09336045E-18 5.09336045E-18 7.70006359E-18 6.66847821E-18 6.66847821E-18 8.86454317E-19 6.22657925E-19 6.22657925E-19 2.07672126E-14 1.94529912E-12 3.36539543E-12 3.02255805E-12 1.91787374E-13 1.40637549E-15 1.40637549E-15 1.40637549E-15 6.49927515E-17 6.49927515E-17 6.49927515E-17 6.49927515E-17 7.22879301E-16 6.30548855E-17 1.09690461E-17 4.51348558E-16 4.25453458E-16 4.25453458E-16 1.72950362E-16 1.72950362E-16 3.76092600E-18 1.28515888E-16 1.81123704E-16 9.06258524E-17 9.59903664E-16 3.58598207E-17 1.41604680E-15 1.13459573E-17 1.22464791E-17 4.98554944E-17 7.59204844E-18 1.71480517E-17 7.59292575E-17 0.00000000E+00 9.02975660E-18 3.67030652E-14 3.61547329E-19 1.03815114E-15 5.18503234E-17 1.69810014E-17 1.08801788E-19 2.42267113E-16 7.44722677E-16 2.88589462E-18 4.76648189E-19 5.85792649E-19 0.00000000E+00 3.84070245E-16 1.22845404E-15 1.35240252E-16 2.07083411E-14 3.45676240E-12 1.07005857E-16 2.02886418E-14
LN-ET      7.16671102E-15 7.16671102E-15 9.78768961E-16 9.78768961E-16 5.15986772E-15 9.57164761E-16 1.49015361E-15 1.49015361E-15 1.49015361E-15 2.52900952E-17 2.25707888E-17 2.26315219E-17 7.07197924E-18 4.69241451E-18 5.94694649E-18 4.69241451E-18 1.01294296E-17 7.52191467E-18 7.53704287E-18 1.26117983E-17 1.01641919E-17 1.01870767E-17 8.09954753E-19 5.77798269E-19 1.02821316E-18 2.98155725E-16 1.91450789E-13 1.91450789E-13 1.91450789E-13 3.29145914E-12 2.98315353E-15 2.98315353E-15 2.98315353E-15 1.19013373E-16 1.19013373E-16 1.19013373E-16 1.19210067E-16 2.07154904E-15 1.16827563E-16 1.97954657E-17 4.72670570E-16 1.35652224E-16 1.35652224E-16 3.32923473E-16 3.32923473E-16 4.14153289E-18 1.57926388E-16 2.39686050E-16 1.20862588E-16 1.79139872E-16 5.29117506E-17 2.31269070E-16 1.73692806E-17 1.65894962E-17 8.92321324E-17 1.20480157E-17 2.72840162E-17 1.49369798E-16 0.00000000E+00 1.42677384E-17 4.21351662E-16 6.10284306E-19 1.66643296E-15 6.09623584E-17 2.73121448E-17 1.58872437E-19 5.12491118E-16 1.73364305E-15 4.18638587E-18 8.98949783E-19 8.01661479E-19 0.00000000E+00 3.64437386E-16 1.59520016E-15 2.92762578E-16 1.91450789E-13 1.91450789E-13 2.08945747E-16 1.82203138E-15
