  T/S      O-cavity       O-mucosa       Teeth-S        Teeth-V        Tongue         Tonsils        Oesophag-s     Oesophag-f     Oesophag-w     St-cont        St-mucosa      St-wall        SI-cont        SI-mucosa      SI-wall        SI-villi       RC-cont        RC-mucosa      RC-wall        LC-cont        LC-mucosa      LC-wall        RS-cont        RS-mucosa      RS-wall        ET1-sur        ET2-sur        ET2-bnd        ET2-seq        LN-ET          Bronchi        Bronchi-b      Bronchi-q      Brchiole       Brchiole-b     Brchiole-q     ALV            LN-Th          Lungs          Adrenals       Blood          C-bone-S       C-bone-V       T-bone-S       T-bone-V       C-marrow       T-marrow       R-marrow       Y-marrow       Brain          Breast         Eye-lens       GB-wall        GB-cont        Ht-wall        Kidneys        Liver          LN-Sys         Ovaries        Pancreas       P-gland        Prostate       S-glands       Skin           Spleen         Testes         Thymus         Thyroid        Ureters        UB-wall        UB-cont        Uterus         Adipose        Cartilage      Muscle         ET1-wall       ET2-wall       Lung-Tis       RT-air
O-mucosa   1.00639427E-13 9.38492407E-13 7.47282900E-13 1.54067053E-14 4.05108003E-13 1.62346393E-15 8.51952125E-17 8.51952125E-17 8.51952125E-17 5.98312215E-18 5.89470346E-18 5.89470346E-18 2.04837049E-18 1.20091605E-18 1.20163527E-18 1.20091605E-18 2.28935694E-18 1.71944146E-18 1.71968687E-18 2.77842722E-18 2.42044564E-18 2.42352355E-18 1.87085259E-19 1.52696351E-19 1.52696351E-19 8.18880056E-16 4.06914176E-15 4.06914176E-15 4.06914176E-15 2.44409599E-15 3.94644581E-17 3.94644581E-17 3.94644581E-17 2.37104598E-17 2.37104598E-17 2.37104598E-17 2.37066484E-17 6.94161183E-17 2.32456730E-17 3.63082202E-18 3.39770812E-16 1.37120252E-16 1.37120252E-16 1.03617747E-16 1.03617747E-16 1.50215284E-18 6.31290212E-17 8.42309790E-17 4.62409954E-17 2.02894991E-16 2.01536424E-17 4.60685546E-16 4.72564784E-18 4.62303538E-18 1.85220221E-17 2.35844537E-18 7.11002416E-18 2.96249760E-17 0.00000000E+00 3.53213206E-18 6.76232715E-16 5.24942569E-20 5.92043509E-16 2.45633700E-17 5.56709899E-18 4.80659516E-20 6.70546228E-17 1.45149189E-16 8.66793902E-19 1.16124185E-19 1.27216289E-19 0.00000000E+00 3.74156211E-17 1.01251131E-16 5.83593790E-17 4.06914176E-15 4.06914176E-15 2.41989943E-17 5.92410837E-17
Oesophagus 8.54007327E-17 8.54007327E-17 5.18683045E-17 5.18683045E-17 9.98801347E-17 5.51457496E-17 2.31518592E-12 2.21547260E-13 5.91147719E-13 2.55932359E-16 3.92241632E-16 3.92241632E-16 6.07423069E-17 3.22296322E-17 3.22296322E-17 3.22296322E-17 3.22854131E-17 2.55870004E-17 2.55870004E-17 5.25242169E-17 4.49390718E-17 4.49390718E-17 3.37951561E-18 2.25435909E-18 2.25435909E-18 1.97935812E-17 1.11534423E-15 1.11534423E-15 1.11534423E-15 7.46006797E-16 1.32363915E-15 1.32363915E-15 1.32363915E-15 3.75856123E-16 3.75856123E-16 3.75856123E-16 3.75856123E-16 5.41250489E-15 3.82230128E-16 1.62648762E-16 1.59933002E-15 1.11439833E-16 1.11439833E-16 6.29619202E-17 6.29619202E-17 9.58401284E-18 9.93186211E-17 1.95601095E-16 4.40541505E-17 1.43208481E-17 6.97064456E-17 1.63521702E-17 1.16889713E-16 1.08694947E-16 1.27940691E-15 7.62006787E-17 2.02545836E-16 7.38563842E-16 0.00000000E+00 1.31491288E-16 2.65974210E-17 8.82036110E-19 1.04678933E-16 2.27221340E-17 1.79397040E-16 2.18376954E-19 7.27633053E-16 2.52351798E-15 2.46261476E-17 1.77947006E-18 1.77622085E-18 0.00000000E+00 9.11228615E-17 9.84692780E-17 4.42392125E-17 1.11534423E-15 1.11534423E-15 4.05553620E-16 3.91667494E-16
St-stem    6.55536911E-18 6.55536911E-18 6.44592137E-18 6.44592137E-18 7.13896002E-18 3.36146753E-18 3.97067932E-16 3.97067932E-16 3.97067932E-16 4.89230793E-14 4.37089836E-12 1.42537369E-13 4.29393217E-16 2.29365192E-16 2.29365192E-16 2.29365192E-16 1.55479864E-16 1.10005484E-16 1.10005484E-16 7.44403481E-16 6.75849240E-16 6.75849240E-16 1.79241217E-17 1.09926008E-17 1.09926008E-17 5.39942725E-18 6.23665225E-18 6.23665225E-18 6.23665225E-18 1.09094881E-17 1.35378228E-16 1.35378228E-16 1.35378228E-16 1.64520333E-16 1.64520333E-16 1.64520333E-16 1.64520333E-16 6.65350854E-17 1.63099853E-16 3.40027072E-16 1.53740735E-15 2.96025267E-17 2.96025267E-17 3.34803963E-17 3.34803963E-17 1.02573218E-17 3.96996878E-17 7.75464228E-17 1.90425703E-17 1.45568418E-18 1.50869108E-16 2.90366241E-18 2.76624474E-16 2.55498374E-16 5.21291753E-16 2.16970821E-16 3.43620918E-16 1.03359243E-15 0.00000000E+00 9.34727196E-16 2.29596731E-18 3.96137038E-18 6.05367050E-18 2.47331381E-17 5.53950265E-16 8.66248176E-19 4.70180130E-17 2.30517207E-17 1.05984788E-16 7.93399283E-18 8.75238362E-18 0.00000000E+00 1.14453116E-16 3.46380484E-17 3.39445369E-17 6.23665225E-18 6.23665225E-18 1.63588976E-16 1.62714777E-16
SI-stem    1.34139360E-18 1.34139360E-18 1.35830144E-18 1.35830144E-18 1.44086713E-18 7.10097901E-19 3.31289020E-17 3.31289020E-17 3.31289020E-17 2.05738201E-16 2.30022388E-16 2.30022388E-16 7.99744746E-15 4.88049411E-13 3.42147043E-14 5.89018190E-14 3.48358730E-16 4.43944897E-16 4.43944897E-16 3.76208487E-16 5.50658316E-16 5.50658316E-16 3.20277084E-16 2.53342684E-16 2.53342684E-16 1.23469092E-18 1.23349793E-18 1.23349793E-18 1.23349793E-18 2.12346435E-18 2.03254442E-17 2.03254442E-17 2.03254442E-17 2.45835223E-17 2.45835223E-17 2.45835223E-17 2.45835223E-17 1.16983648E-17 2.47646740E-17 1.58373603E-16 1.59577273E-15 4.02608758E-17 4.02608758E-17 4.56025289E-17 4.56025289E-17 5.41537670E-18 6.46488640E-17 1.14020425E-16 3.45175318E-17 3.35641937E-19 2.26108674E-17 6.74066774E-19 1.97233492E-16 1.96825904E-16 4.10933367E-17 2.41150615E-16 9.48424989E-17 6.69440108E-16 0.00000000E+00 5.64624708E-16 4.82628820E-19 8.52816063E-17 1.27323840E-18 2.43285198E-17 1.22539814E-16 1.18565540E-17 7.96170906E-18 4.24043627E-18 7.57180362E-16 2.54556911E-16 2.81415688E-16 0.00000000E+00 1.58988130E-16 5.61801114E-17 5.38455924E-17 1.23349793E-18 1.23349793E-18 2.44517108E-17 2.43203048E-17
RC-stem    1.87121769E-18 1.87121769E-18 1.93936293E-18 1.93936293E-18 1.95043056E-18 9.66896234E-19 2.61209298E-17 2.61209298E-17 2.61209298E-17 8.48839788E-17 1.10072466E-16 1.10072466E-16 4.11948232E-16 4.43218560E-16 4.43218560E-16 4.43218560E-16 5.83705640E-15 8.19553104E-13 1.61360450E-13 1.88476452E-16 1.78429257E-16 1.78429257E-16 4.33674628E-17 3.89429723E-17 3.89429723E-17 1.78322552E-18 1.61686681E-18 1.61686681E-18 1.61686681E-18 2.68509228E-18 1.99056661E-17 1.99056661E-17 1.99056661E-17 2.48753382E-17 2.48753382E-17 2.48753382E-17 2.48753382E-17 1.21418094E-17 2.45236247E-17 1.24228080E-16 1.60877109E-15 3.04529087E-17 3.04529087E-17 3.59083996E-17 3.59083996E-17 5.98660984E-18 4.48244160E-17 7.96580840E-17 2.40729570E-17 4.53984423E-19 2.77607221E-17 9.69867740E-19 7.02752169E-16 7.23508918E-16 3.18203986E-17 2.98685989E-16 2.66907342E-16 4.03861222E-16 0.00000000E+00 4.19060134E-16 6.91003032E-19 2.29190504E-17 1.64009242E-18 2.57216511E-17 2.98297204E-17 4.17226622E-18 9.52487653E-18 4.91494400E-18 3.13735060E-16 4.62606330E-17 5.09627774E-17 0.00000000E+00 1.30264295E-16 4.11413123E-17 5.48273827E-17 1.61686681E-18 1.61686681E-18 2.47178597E-17 2.46043085E-17
LC-stem    2.73705082E-18 2.73705082E-18 2.73928705E-18 2.73928705E-18 2.89883799E-18 1.41124076E-18 4.53351873E-17 4.53351873E-17 4.53351873E-17 5.29338424E-16 6.77162488E-16 6.77162488E-16 6.64030616E-16 5.50174015E-16 5.50174015E-16 5.50174015E-16 1.98602865E-16 1.78450848E-16 1.78450848E-16 7.04788102E-15 8.77955419E-13 1.62005646E-13 1.86924226E-16 6.95644633E-17 6.95644633E-17 2.46013240E-18 2.44123236E-18 2.44123236E-18 2.44123236E-18 4.08221944E-18 4.15516954E-17 4.15516954E-17 4.15516954E-17 4.79697185E-17 4.79697185E-17 4.79697185E-17 4.79697185E-17 1.93418694E-17 4.72897138E-17 1.68609239E-16 1.61953253E-15 2.33114296E-17 2.33114296E-17 3.84502372E-17 3.84502372E-17 9.03120067E-18 3.88584467E-17 7.19189328E-17 2.02663229E-17 6.77244359E-19 5.30242601E-17 1.42519744E-18 1.16235365E-16 1.11829291E-16 7.68276480E-17 2.46100591E-16 8.66223488E-17 4.51900727E-16 0.00000000E+00 3.33435387E-16 9.42614353E-19 1.13472245E-17 2.54708526E-18 2.87572037E-17 3.40649210E-16 2.36043098E-18 1.42292286E-17 8.06441861E-18 1.73562494E-16 2.31706118E-17 2.53717982E-17 0.00000000E+00 1.33696939E-16 3.93662344E-17 4.40404801E-17 2.44123236E-18 2.44123236E-18 4.77667512E-17 4.74737222E-17
RS-stem    1.65784700E-19 1.65784700E-19 1.64682121E-19 1.64682121E-19 1.79284580E-19 8.43606307E-20 2.20627294E-18 2.20627294E-18 2.20627294E-18 9.97207255E-18 1.06610582E-17 1.06610582E-17 1.01146359E-16 2.52930229E-16 2.52930229E-16 2.52930229E-16 2.89658099E-17 3.92684213E-17 3.92684213E-17 2.86629598E-17 6.90568043E-17 6.90568043E-17 1.44344148E-14 1.45514550E-12 3.47889246E-13 1.65256626E-19 1.26551619E-19 1.26551619E-19 1.26551619E-19 2.62878206E-19 1.76725499E-18 1.76725499E-18 1.76725499E-18 2.26607274E-18 2.26607274E-18 2.26607274E-18 2.26607274E-18 1.07052516E-18 2.13092970E-18 1.05118625E-17 1.54696473E-15 6.05154633E-17 6.05154633E-17 6.14582388E-17 6.14582388E-17 5.65880212E-18 8.78341428E-17 1.35898602E-16 5.54673815E-17 3.64458284E-20 2.07683092E-18 9.00650744E-20 1.24185077E-17 1.24302110E-17 2.81879555E-18 2.05415141E-17 7.54598943E-18 9.16244321E-16 0.00000000E+00 1.89865393E-17 6.36157145E-20 8.91119070E-16 1.40785489E-19 2.53250745E-17 7.21943021E-18 5.88201791E-17 7.28964079E-19 4.34617777E-19 2.45227871E-16 1.06950722E-15 8.75540524E-16 0.00000000E+00 1.47183568E-16 7.33765634E-17 7.68389656E-17 1.26551619E-19 1.26551619E-19 2.25055517E-18 2.24103808E-18
ET1-bas    8.04368250E-16 8.04368250E-16 1.08175966E-15 1.08175966E-15 6.43529658E-16 3.12913796E-16 1.85026647E-17 1.85026647E-17 1.85026647E-17 4.58995669E-18 4.52758031E-18 4.52758031E-18 1.60861279E-18 9.31440841E-19 9.31440841E-19 9.31440841E-19 2.05730387E-18 1.53848395E-18 1.53848395E-18 2.77460315E-18 2.26741911E-18 2.26741911E-18 1.93350874E-19 1.14919904E-19 1.14919904E-19 6.35114230E-11 5.41019945E-15 5.41019945E-15 5.41019945E-15 1.31589700E-16 1.61349031E-17 1.61349031E-17 1.61349031E-17 1.08047270E-17 1.08047270E-17 1.08047270E-17 1.08047270E-17 1.76614756E-17 1.06202290E-17 2.25931947E-18 2.67164151E-16 1.95337560E-16 1.95337560E-16 4.16209271E-17 4.16209271E-17 9.14240011E-19 2.75938149E-17 3.28088322E-17 2.08779350E-17 1.75627040E-16 2.01709063E-17 1.75545430E-15 3.72582431E-18 3.46363910E-18 9.80882513E-18 1.48928727E-18 5.45223596E-18 8.72253827E-18 0.00000000E+00 2.80409036E-18 4.35834098E-16 7.24192270E-20 1.34419181E-16 1.00874097E-16 3.04218896E-18 4.73556084E-20 2.32757848E-17 3.10430902E-17 6.64021593E-19 1.00018543E-19 1.30886076E-19 0.00000000E+00 9.04275592E-17 4.62337019E-16 1.07771975E-17 4.34102324E-12 5.41019945E-15 1.09730682E-17 5.80993702E-17
ET2-bas    4.06480117E-15 4.06480117E-15 8.85879242E-16 8.85879242E-16 2.84392922E-15 2.68322565E-15 1.11481305E-15 1.11481305E-15 1.11481305E-15 5.77378397E-18 5.62147633E-18 5.62147633E-18 1.81943721E-18 1.10054660E-18 1.10054660E-18 1.10054660E-18 1.78283596E-18 1.48773308E-18 1.48773308E-18 2.47483929E-18 2.15721719E-18 2.15721719E-18 1.76065138E-19 1.26406850E-19 1.26406850E-19 5.42155646E-15 1.88947308E-12 4.44257040E-12 3.64429970E-12 4.74169795E-14 3.67910146E-16 3.67910146E-16 3.67910146E-16 3.11345619E-17 3.11345619E-17 3.11345619E-17 3.11345619E-17 2.44352925E-16 3.02849286E-17 4.18015237E-18 2.82705272E-16 1.52308957E-16 1.52308957E-16 7.41567633E-17 7.41567633E-17 1.40387544E-18 5.85772776E-17 8.51923186E-17 3.93943071E-17 4.37609591E-16 1.52981743E-17 7.70703928E-16 4.12326551E-18 4.24548575E-18 2.30206146E-17 2.45279871E-18 6.98250421E-18 3.94619443E-17 0.00000000E+00 3.35940717E-18 8.99597059E-15 5.30062554E-20 5.68743834E-16 2.55281467E-17 6.38600556E-18 1.37291561E-20 1.28028854E-16 4.11098575E-16 8.36039773E-19 1.00260970E-19 8.97815940E-20 0.00000000E+00 1.07634751E-16 3.30216416E-16 5.12696130E-17 5.41019945E-15 4.34102324E-12 4.16858758E-17 2.08703764E-14
LN-ET      2.41472744E-15 2.41472744E-15 5.16737790E-16 5.16737790E-16 2.11525190E-15 5.39982783E-16 7.53841351E-16 7.53841351E-16 7.53841351E-16 1.10494829E-17 9.65661894E-18 9.67085391E-18 3.09336114E-18 1.92628304E-18 2.12346435E-18 1.92628304E-18 3.36953003E-18 2.62504505E-18 2.62865126E-18 4.08084914E-18 3.94925682E-18 3.95296226E-18 1.24954488E-19 2.26897543E-19 2.62878206E-19 1.39688774E-16 4.74031970E-14 4.74031970E-14 4.74031970E-14 2.12391722E-12 7.43727351E-16 7.43727351E-16 7.43727351E-16 6.28713139E-17 6.28713139E-17 6.28713139E-17 6.29300818E-17 6.59315788E-16 6.03836718E-17 7.39813538E-18 2.00828706E-16 7.26685100E-17 7.26685100E-17 1.08298335E-16 1.08298335E-16 2.28160258E-18 6.72555131E-17 1.04294943E-16 4.48103992E-17 8.84954341E-17 2.53251908E-17 1.11472395E-16 7.36043196E-18 7.52601400E-18 4.50492275E-17 4.20546141E-18 1.24614350E-17 7.88301749E-17 0.00000000E+00 5.98133978E-18 2.32012606E-16 7.69002791E-20 9.36017634E-16 3.03086963E-17 1.17204850E-17 2.63626978E-20 2.78572828E-16 9.84182739E-16 1.29786675E-18 1.84812780E-19 1.76402493E-19 0.00000000E+00 1.00834534E-16 4.39918361E-16 9.48727902E-17 4.74031970E-14 4.74031970E-14 8.42631242E-17 4.83918293E-16
