Radionuclide	Sb-120m
Route of Intake	Ingestion
Material	All chemical forms, fA=5E-2
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Thyroid*	Skeleton*	Liver*
0.041667	9.9E-1	-	-	9.9E-1	8.6E-6	2.0E-4	2.4E-4
0.083333	9.9E-1	-	-	9.8E-1	3.0E-5	5.3E-4	6.0E-4
0.125	9.8E-1	-	-	9.7E-1	5.4E-5	8.6E-4	9.2E-4
0.25	9.7E-1	-	-	9.3E-1	1.1E-4	1.6E-3	1.6E-3
0.375	9.4E-1	-	-	9.0E-1	1.5E-4	2.0E-3	2.0E-3
0.5	9.1E-1	-	-	8.7E-1	1.7E-4	2.2E-3	2.1E-3
0.625	8.7E-1	-	-	8.3E-1	1.8E-4	2.4E-3	2.2E-3
0.75	8.2E-1	-	-	7.8E-1	2.0E-4	2.5E-3	2.3E-3
0.875	7.6E-1	-	-	7.2E-1	2.1E-4	2.6E-3	2.3E-3
1	7.0E-1	6.7E-3	1.8E-1	6.6E-1	2.2E-4	2.7E-3	2.3E-3
1.125	6.3E-1	-	-	6.0E-1	2.2E-4	2.7E-3	2.3E-3
1.25	5.7E-1	-	-	5.3E-1	2.3E-4	2.7E-3	2.2E-3
1.375	5.1E-1	-	-	4.7E-1	2.4E-4	2.8E-3	2.2E-3
1.5	4.5E-1	-	-	4.2E-1	2.4E-4	2.8E-3	2.2E-3
1.625	4.0E-1	-	-	3.6E-1	2.5E-4	2.8E-3	2.1E-3
1.75	3.5E-1	-	-	3.2E-1	2.5E-4	2.8E-3	2.1E-3
1.875	3.0E-1	-	-	2.7E-1	2.5E-4	2.8E-3	2.1E-3
2	2.6E-1	2.9E-3	3.5E-1	2.3E-1	2.6E-4	2.8E-3	2.0E-3
2.25	2.0E-1	-	-	1.7E-1	2.6E-4	2.7E-3	1.9E-3
2.5	1.5E-1	-	-	1.2E-1	2.6E-4	2.7E-3	1.8E-3
2.75	1.1E-1	-	-	8.3E-2	2.6E-4	2.6E-3	1.7E-3
3	8.1E-2	2.1E-3	1.5E-1	5.8E-2	2.6E-4	2.5E-3	1.6E-3
3.25	6.2E-2	-	-	4.0E-2	2.6E-4	2.5E-3	1.6E-3
3.5	4.8E-2	-	-	2.7E-2	2.6E-4	2.4E-3	1.5E-3
3.75	3.8E-2	-	-	1.8E-2	2.5E-4	2.3E-3	1.4E-3
4	3.1E-2	1.5E-3	3.9E-2	1.2E-2	2.5E-4	2.2E-3	1.3E-3
4.25	2.6E-2	-	-	8.4E-3	2.4E-4	2.1E-3	1.2E-3
4.5	2.3E-2	-	-	5.7E-3	2.4E-4	2.0E-3	1.1E-3
4.75	2.0E-2	-	-	4.0E-3	2.3E-4	1.9E-3	1.1E-3
5	1.8E-2	1.1E-3	8.4E-3	2.8E-3	2.3E-4	1.8E-3	1.0E-3
5.5	1.6E-2	-	-	1.5E-3	2.1E-4	1.6E-3	8.8E-4
6	1.4E-2	8.4E-4	1.7E-3	8.9E-4	2.0E-4	1.5E-3	7.7E-4
6.5	1.2E-2	-	-	6.2E-4	1.9E-4	1.3E-3	6.8E-4
7	1.1E-2	6.3E-4	4.2E-4	4.8E-4	1.7E-4	1.2E-3	6.0E-4
7.5	1.0E-2	-	-	4.0E-4	1.6E-4	1.0E-3	5.3E-4
8	9.2E-3	4.8E-4	1.6E-4	3.4E-4	1.5E-4	9.2E-4	4.7E-4
8.5	8.4E-3	-	-	3.0E-4	1.4E-4	8.2E-4	4.1E-4
9	7.7E-3	3.6E-4	9.7E-5	2.7E-4	1.3E-4	7.2E-4	3.7E-4
9.5	7.1E-3	-	-	2.4E-4	1.2E-4	6.4E-4	3.3E-4
10	6.5E-3	2.8E-4	6.9E-5	2.1E-4	1.1E-4	5.7E-4	2.9E-4
11	5.5E-3	2.1E-4	5.2E-5	1.7E-4	8.8E-5	4.5E-4	2.3E-4
12	4.7E-3	1.7E-4	3.9E-5	1.4E-4	7.3E-5	3.5E-4	1.9E-4
13	4.0E-3	1.3E-4	3.0E-5	1.2E-4	6.0E-5	2.8E-4	1.5E-4
14	3.4E-3	1.0E-4	2.3E-5	9.5E-5	5.0E-5	2.2E-4	1.2E-4
15	2.9E-3	7.8E-5	1.8E-5	7.9E-5	4.1E-5	1.7E-4	1.0E-4
16	2.5E-3	6.2E-5	1.4E-5	6.6E-5	3.3E-5	1.4E-4	8.5E-5
17	2.2E-3	4.9E-5	1.1E-5	5.6E-5	2.7E-5	1.1E-4	7.1E-5
18	1.9E-3	3.9E-5	8.4E-6	4.7E-5	2.2E-5	8.8E-5	6.0E-5
19	1.6E-3	3.1E-5	6.6E-6	4.0E-5	1.8E-5	7.1E-5	5.0E-5
20	1.4E-3	2.5E-5	5.2E-6	3.4E-5	1.5E-5	5.7E-5	4.3E-5
21	1.2E-3	2.0E-5	4.1E-6	2.9E-5	1.2E-5	4.7E-5	3.7E-5
22	1.1E-3	1.6E-5	3.3E-6	2.5E-5	9.7E-6	3.8E-5	3.1E-5
23	9.3E-4	1.3E-5	2.6E-6	2.1E-5	7.9E-6	3.2E-5	2.7E-5
24	8.1E-4	1.1E-5	2.1E-6	1.9E-5	6.5E-6	2.6E-5	2.3E-5
25	7.1E-4	9.1E-6	1.7E-6	1.6E-5	5.3E-6	2.2E-5	2.0E-5
26	6.2E-4	7.6E-6	1.4E-6	1.4E-5	4.3E-6	1.8E-5	1.8E-5
27	5.4E-4	6.3E-6	1.2E-6	1.2E-5	3.5E-6	1.6E-5	1.5E-5
28	4.7E-4	5.3E-6	9.6E-7	1.0E-5	2.9E-6	1.3E-5	1.3E-5
29	4.1E-4	4.5E-6	7.9E-7	9.1E-6	2.4E-6	1.1E-5	1.2E-5
30	3.6E-4	3.8E-6	6.6E-7	7.9E-6	1.9E-6	9.6E-6	1.0E-5
31	3.2E-4	3.2E-6	5.5E-7	6.9E-6	1.6E-6	8.3E-6	9.0E-6
32	2.8E-4	2.7E-6	4.6E-7	6.0E-6	1.3E-6	7.1E-6	7.9E-6
33	2.4E-4	2.3E-6	3.9E-7	5.3E-6	1.1E-6	6.1E-6	7.0E-6
34	2.1E-4	2.0E-6	3.3E-7	4.6E-6	9.0E-7	5.3E-6	6.2E-6
35	1.9E-4	1.7E-6	2.8E-7	4.0E-6	7.5E-7	4.6E-6	5.4E-6
36	1.7E-4	1.5E-6	2.4E-7	3.5E-6	6.2E-7	4.0E-6	4.8E-6
37	1.4E-4	1.3E-6	2.1E-7	3.1E-6	5.2E-7	3.5E-6	4.2E-6
38	1.3E-4	1.1E-6	1.8E-7	2.7E-6	4.3E-7	3.1E-6	3.7E-6
39	1.1E-4	9.5E-7	1.5E-7	2.4E-6	3.7E-7	2.7E-6	3.3E-6
40	9.8E-5	8.3E-7	1.3E-7	2.1E-6	3.1E-7	2.3E-6	2.9E-6
41	8.6E-5	7.2E-7	1.1E-7	1.8E-6	2.6E-7	2.1E-6	2.6E-6
42	7.6E-5	6.3E-7	9.9E-8	1.6E-6	2.2E-7	1.8E-6	2.3E-6
43	6.6E-5	5.5E-7	8.6E-8	1.4E-6	1.9E-7	1.6E-6	2.0E-6
44	5.8E-5	4.8E-7	7.4E-8	1.2E-6	1.6E-7	1.4E-6	1.8E-6
45	5.1E-5	4.2E-7	6.5E-8	1.1E-6	1.4E-7	1.2E-6	1.6E-6
46	4.5E-5	3.6E-7	5.6E-8	9.5E-7	1.2E-7	1.1E-6	1.4E-6
47	4.0E-5	3.2E-7	4.9E-8	8.3E-7	9.9E-8	9.5E-7	1.2E-6
