Radionuclide	Br-74
Route of Intake	Ingestion
Material	All forms, fA=0.99
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Alimentary Tract*
0.041667	1.9E-1	9.0E-2
0.083333	3.8E-2	8.1E-3
0.125	7.3E-3	8.0E-4
0.25	5.4E-5	2.0E-6
0.375	3.9E-7	1.2E-8
0.5	2.9E-9	-
