Radionuclide	Cu-67
Route of Intake	Ingestion
Material	All forms, fA=0.5
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Liver*
0.041667	9.9E-1	-	-	9.3E-1	2.3E-2
0.083333	9.8E-1	-	-	8.1E-1	9.3E-2
0.125	9.7E-1	-	-	7.1E-1	1.7E-1
0.25	9.3E-1	-	-	5.4E-1	3.1E-1
0.375	9.0E-1	-	-	4.8E-1	3.2E-1
0.5	8.6E-1	-	-	4.5E-1	2.8E-1
0.625	8.1E-1	-	-	4.1E-1	2.4E-1
0.75	7.6E-1	-	-	3.8E-1	2.0E-1
0.875	7.1E-1	-	-	3.4E-1	1.7E-1
1	6.6E-1	2.4E-6	1.0E-1	3.1E-1	1.5E-1
1.125	6.2E-1	-	-	2.7E-1	1.3E-1
1.25	5.7E-1	-	-	2.4E-1	1.1E-1
1.375	5.3E-1	-	-	2.1E-1	9.9E-2
1.5	4.9E-1	-	-	1.8E-1	8.8E-2
1.625	4.5E-1	-	-	1.5E-1	8.0E-2
1.75	4.2E-1	-	-	1.3E-1	7.3E-2
1.875	3.9E-1	-	-	1.1E-1	6.7E-2
2	3.6E-1	3.2E-7	1.4E-1	9.4E-2	6.2E-2
2.25	3.2E-1	-	-	6.7E-2	5.4E-2
2.5	2.8E-1	-	-	4.7E-2	4.8E-2
2.75	2.5E-1	-	-	3.4E-2	4.3E-2
3	2.3E-1	2.8E-7	4.9E-2	2.4E-2	3.9E-2
3.25	2.1E-1	-	-	1.8E-2	3.6E-2
3.5	1.9E-1	-	-	1.3E-2	3.3E-2
3.75	1.8E-1	-	-	1.0E-2	3.1E-2
4	1.6E-1	2.2E-7	1.2E-2	8.4E-3	2.9E-2
4.25	1.5E-1	-	-	6.9E-3	2.7E-2
4.5	1.4E-1	-	-	5.9E-3	2.5E-2
4.75	1.3E-1	-	-	5.1E-3	2.3E-2
5	1.2E-1	1.7E-7	3.1E-3	4.6E-3	2.2E-2
5.5	1.1E-1	-	-	3.7E-3	1.9E-2
6	9.2E-2	1.3E-7	1.3E-3	3.2E-3	1.6E-2
6.5	8.0E-2	-	-	2.7E-3	1.4E-2
7	6.9E-2	9.6E-8	7.9E-4	2.4E-3	1.2E-2
7.5	6.0E-2	-	-	2.0E-3	1.1E-2
8	5.2E-2	7.2E-8	5.7E-4	1.8E-3	9.3E-3
8.5	4.5E-2	-	-	1.5E-3	8.1E-3
9	4.0E-2	5.5E-8	4.3E-4	1.3E-3	7.0E-3
9.5	3.4E-2	-	-	1.2E-3	6.1E-3
10	3.0E-2	4.1E-8	3.3E-4	1.0E-3	5.3E-3
11	2.3E-2	3.1E-8	2.5E-4	7.6E-4	4.0E-3
12	1.7E-2	2.4E-8	1.9E-4	5.8E-4	3.0E-3
13	1.3E-2	1.8E-8	1.4E-4	4.4E-4	2.3E-3
14	9.7E-3	1.3E-8	1.1E-4	3.3E-4	1.7E-3
15	7.4E-3	1.0E-8	8.0E-5	2.5E-4	1.3E-3
16	5.6E-3	7.7E-9	6.1E-5	1.9E-4	9.9E-4
17	4.2E-3	5.8E-9	4.6E-5	1.4E-4	7.5E-4
18	3.2E-3	4.4E-9	3.5E-5	1.1E-4	5.6E-4
19	2.4E-3	3.3E-9	2.6E-5	8.1E-5	4.3E-4
20	1.8E-3	2.5E-9	2.0E-5	6.2E-5	3.2E-4
21	1.4E-3	1.9E-9	1.5E-5	4.7E-5	2.4E-4
22	1.0E-3	1.4E-9	1.1E-5	3.5E-5	1.8E-4
23	7.8E-4	1.1E-9	8.5E-6	2.7E-5	1.4E-4
24	5.9E-4	8.2E-10	6.5E-6	2.0E-5	1.1E-4
25	4.5E-4	6.2E-10	4.9E-6	1.5E-5	8.0E-5
26	3.4E-4	4.7E-10	3.7E-6	1.1E-5	6.0E-5
27	2.6E-4	3.5E-10	2.8E-6	8.7E-6	4.5E-5
28	1.9E-4	2.7E-10	2.1E-6	6.6E-6	3.4E-5
29	1.5E-4	2.0E-10	1.6E-6	5.0E-6	2.6E-5
30	1.1E-4	1.5E-10	1.2E-6	3.7E-6	2.0E-5
31	8.4E-5	1.2E-10	9.1E-7	2.8E-6	1.5E-5
32	6.3E-5	-	6.9E-7	2.1E-6	1.1E-5
33	4.8E-5	-	5.2E-7	1.6E-6	8.5E-6
34	3.6E-5	-	3.9E-7	1.2E-6	6.4E-6
35	2.7E-5	-	3.0E-7	9.3E-7	4.8E-6
36	2.1E-5	-	2.2E-7	7.0E-7	3.7E-6
37	1.6E-5	-	1.7E-7	5.3E-7	2.8E-6
38	1.2E-5	-	1.3E-7	4.0E-7	2.1E-6
39	8.9E-6	-	9.7E-8	3.0E-7	1.6E-6
40	6.7E-6	-	7.3E-8	2.3E-7	1.2E-6
41	5.1E-6	-	5.5E-8	1.7E-7	9.0E-7
42	3.8E-6	-	4.2E-8	1.3E-7	6.8E-7
43	2.9E-6	-	3.2E-8	9.9E-8	5.2E-7
44	2.2E-6	-	2.4E-8	7.5E-8	3.9E-7
45	1.7E-6	-	1.8E-8	5.6E-8	3.0E-7
46	1.3E-6	-	1.4E-8	4.3E-8	2.2E-7
47	9.5E-7	-	1.0E-8	3.2E-8	1.7E-7
48	7.2E-7	-	7.8E-9	2.4E-8	1.3E-7
49	5.4E-7	-	5.9E-9	1.8E-8	9.6E-8
50	4.1E-7	-	4.5E-9	1.4E-8	7.3E-8
51	3.1E-7	-	3.4E-9	1.1E-8	5.5E-8
52	2.3E-7	-	2.6E-9	7.9E-9	4.2E-8
53	1.8E-7	-	1.9E-9	6.0E-9	3.1E-8
54	1.3E-7	-	1.5E-9	4.5E-9	2.4E-8
55	1.0E-7	-	1.1E-9	3.4E-9	1.8E-8
