Radionuclide	Cu-60
Route of Intake	Injection
Material	Injection, fA=0.5
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Alimentary Tract*	Liver*
0.041667	1.7E-1	1.3E-2	1.1E-1
0.083333	3.0E-2	2.1E-3	2.3E-2
0.125	5.2E-3	3.4E-4	4.2E-3
0.25	2.7E-5	1.5E-6	2.0E-5
0.375	1.4E-7	7.7E-9	8.8E-8
0.5	7.1E-10	-	4.0E-10
