Radionuclide	Cu-60
Route of Intake	Inhalation
Material	Aerosols Type S, fA=5E-3
AMTD/AMAD, µm	0.1

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Alimentary Tract*	Lungs*	Liver*
0.041667	5.6E-2	4.5E-3	4.5E-2	2.3E-5
0.083333	9.7E-3	9.2E-4	7.7E-3	1.0E-5
0.125	1.7E-3	1.8E-4	1.3E-3	2.9E-6
0.25	8.6E-6	1.1E-6	6.7E-6	2.9E-8
0.375	4.4E-8	6.6E-9	3.5E-8	1.9E-10
0.5	2.3E-10	-	1.8E-10	-
