Radionuclide	Cu-60
Route of Intake	Inhalation
Material	Aerosols Type S, fA=5E-3
AMTD/AMAD, µm	0.3

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Alimentary Tract*	Lungs*	Liver*
0.041667	5.1E-2	7.4E-3	3.2E-2	1.7E-5
0.083333	8.8E-3	1.5E-3	5.4E-3	7.9E-6
0.125	1.5E-3	2.8E-4	9.3E-4	2.2E-6
0.25	7.7E-6	1.8E-6	4.8E-6	2.3E-8
0.375	3.9E-8	1.0E-8	2.4E-8	1.5E-10
0.5	2.0E-10	-	1.3E-10	-
