Radionuclide	Cu-60
Route of Intake	Inhalation
Material	Aerosols Type F, fA=0.5
AMTD/AMAD, µm	5

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Alimentary Tract*	Lungs*	Liver*
0.041667	1.4E-1	3.7E-2	5.3E-3	1.1E-2
0.083333	2.4E-2	6.5E-3	3.9E-4	3.5E-3
0.125	4.1E-3	1.1E-3	4.0E-5	8.0E-4
0.25	2.0E-5	5.5E-6	1.3E-7	5.7E-6
0.375	1.0E-7	2.9E-8	6.3E-10	3.1E-8
0.5	5.2E-10	1.6E-10	-	1.6E-10
