Radionuclide	Cu-60
Route of Intake	Inhalation
Material	Aerosols Type F, fA=0.5
AMTD/AMAD, µm	0.3

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Alimentary Tract*	Lungs*	Liver*
0.041667	5.1E-2	7.2E-3	1.1E-2	1.2E-2
0.083333	8.8E-3	1.3E-3	6.6E-4	3.7E-3
0.125	1.5E-3	2.3E-4	4.6E-5	7.9E-4
0.25	7.7E-6	1.1E-6	7.1E-8	4.4E-6
0.375	3.9E-8	5.8E-9	3.3E-10	2.1E-8
0.5	2.0E-10	-	-	-
