Radionuclide	Cu-60
Route of Intake	Inhalation
Material	Aerosols Type F, fA=0.5
AMTD/AMAD, µm	20

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Alimentary Tract*	Lungs*	Liver*
0.041667	1.1E-1	3.2E-2	1.5E-3	6.8E-3
0.083333	1.9E-2	5.6E-3	1.6E-4	2.1E-3
0.125	3.3E-3	9.5E-4	2.4E-5	5.0E-4
0.25	1.7E-5	4.8E-6	1.0E-7	3.9E-6
0.375	8.3E-8	2.5E-8	4.8E-10	2.3E-8
0.5	4.2E-10	1.4E-10	-	1.2E-10
