Radionuclide	Cu-60
Route of Intake	Inhalation
Material	Aerosols Type M, fA=0.1
AMTD/AMAD, µm	5

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Alimentary Tract*	Lungs*	Liver*
0.041667	1.4E-1	4.8E-2	1.3E-2	3.6E-4
0.083333	2.4E-2	9.2E-3	2.1E-3	1.8E-4
0.125	4.1E-3	1.7E-3	3.4E-4	5.6E-5
0.25	2.0E-5	1.0E-5	1.6E-6	6.6E-7
0.375	1.0E-7	5.8E-8	7.8E-9	4.6E-9
0.5	5.2E-10	3.2E-10	-	-
