Radionuclide	Th-232
Route of Intake	Injection
Material	Injection, fA=5E-4
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Ac-228)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Ac-228)	Skeleton* (Ac-228)	Liver* (Ac-228)
0.041667	7.4E-7	-	-	1.4E-7	1.5E-7	9.0E-8
0.083333	2.9E-6	-	-	6.8E-7	7.3E-7	3.3E-7
0.125	6.2E-6	-	-	1.6E-6	1.7E-6	6.5E-7
0.25	2.2E-5	-	-	6.2E-6	7.3E-6	2.0E-6
0.375	4.5E-5	-	-	1.3E-5	1.7E-5	3.9E-6
0.5	7.2E-5	-	-	2.1E-5	2.9E-5	6.2E-6
0.625	1.0E-4	-	-	2.9E-5	4.3E-5	8.7E-6
0.75	1.3E-4	-	-	3.8E-5	6.0E-5	1.1E-5
0.875	1.7E-4	-	-	4.6E-5	7.8E-5	1.4E-5
1	2.0E-4	3.8E-2	6.1E-4	5.5E-5	9.6E-5	1.7E-5
1.125	2.3E-4	-	-	6.3E-5	1.2E-4	1.9E-5
1.25	2.7E-4	-	-	7.1E-5	1.4E-4	2.2E-5
1.375	3.0E-4	-	-	7.8E-5	1.6E-4	2.4E-5
1.5	3.3E-4	-	-	8.5E-5	1.7E-4	2.7E-5
1.625	3.6E-4	-	-	9.2E-5	1.9E-4	2.9E-5
1.75	3.9E-4	-	-	9.9E-5	2.1E-4	3.2E-5
1.875	4.2E-4	-	-	1.0E-4	2.3E-4	3.4E-5
2	4.5E-4	7.6E-3	1.7E-3	1.1E-4	2.5E-4	3.6E-5
2.25	5.1E-4	-	-	1.2E-4	2.9E-4	4.0E-5
2.5	5.6E-4	-	-	1.3E-4	3.2E-4	4.4E-5
2.75	6.1E-4	-	-	1.4E-4	3.6E-4	4.8E-5
3	6.6E-4	4.4E-3	1.2E-3	1.5E-4	3.9E-4	5.1E-5
3.25	7.1E-4	-	-	1.6E-4	4.2E-4	5.4E-5
3.5	7.5E-4	-	-	1.7E-4	4.5E-4	5.7E-5
3.75	7.9E-4	-	-	1.8E-4	4.8E-4	6.0E-5
4	8.3E-4	3.5E-3	5.8E-4	1.8E-4	5.1E-4	6.3E-5
4.25	8.7E-4	-	-	1.9E-4	5.3E-4	6.5E-5
4.5	9.1E-4	-	-	1.9E-4	5.6E-4	6.8E-5
4.75	9.5E-4	-	-	2.0E-4	5.9E-4	7.0E-5
5	9.8E-4	2.9E-3	3.2E-4	2.0E-4	6.1E-4	7.2E-5
5.5	1.0E-3	-	-	2.1E-4	6.6E-4	7.5E-5
6	1.1E-3	2.4E-3	2.1E-4	2.2E-4	7.1E-4	7.8E-5
6.5	1.2E-3	-	-	2.3E-4	7.5E-4	8.1E-5
7	1.2E-3	2.1E-3	1.5E-4	2.3E-4	7.9E-4	8.3E-5
7.5	1.3E-3	-	-	2.4E-4	8.3E-4	8.5E-5
8	1.3E-3	1.8E-3	1.2E-4	2.4E-4	8.7E-4	8.7E-5
8.5	1.4E-3	-	-	2.5E-4	9.1E-4	8.8E-5
9	1.4E-3	1.6E-3	9.4E-5	2.5E-4	9.5E-4	9.0E-5
