Radionuclide	Th-232
Route of Intake	Ingestion
Material	All forms, fA=5E-4
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Ac-228)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Ac-228)	Skeleton* (Ac-228)	Liver* (Ac-228)
0.041667	7.4E-7	-	-	7.4E-7	7.8E-10	5.8E-10
0.083333	2.9E-6	-	-	2.8E-6	1.2E-8	6.8E-9
0.125	6.3E-6	-	-	6.1E-6	4.7E-8	2.4E-8
0.25	2.2E-5	-	-	2.2E-5	3.7E-7	1.5E-7
0.375	4.5E-5	-	-	4.3E-5	9.5E-7	3.3E-7
0.5	7.2E-5	-	-	6.9E-5	1.6E-6	5.2E-7
0.625	1.0E-4	-	-	9.6E-5	2.3E-6	6.9E-7
0.75	1.3E-4	-	-	1.2E-4	2.8E-6	8.2E-7
0.875	1.5E-4	-	-	1.4E-4	3.3E-6	9.1E-7
1	1.7E-4	1.7E-5	2.1E-1	1.6E-4	3.6E-6	9.7E-7
1.125	1.8E-4	-	-	1.8E-4	3.8E-6	1.0E-6
1.25	1.9E-4	-	-	1.9E-4	4.0E-6	1.0E-6
1.375	2.0E-4	-	-	1.9E-4	4.1E-6	1.0E-6
1.5	2.0E-4	-	-	1.9E-4	4.1E-6	9.8E-7
1.625	2.0E-4	-	-	1.9E-4	4.1E-6	9.5E-7
1.75	1.9E-4	-	-	1.8E-4	4.1E-6	9.2E-7
1.875	1.8E-4	-	-	1.8E-4	4.0E-6	8.9E-7
2	1.7E-4	5.2E-6	4.7E-1	1.7E-4	4.0E-6	8.5E-7
2.25	1.5E-4	-	-	1.4E-4	3.8E-6	7.9E-7
2.5	1.2E-4	-	-	1.2E-4	3.7E-6	7.3E-7
2.75	1.0E-4	-	-	9.6E-5	3.6E-6	6.7E-7
3	8.0E-5	2.4E-6	2.3E-1	7.6E-5	3.4E-6	6.1E-7
3.25	6.3E-5	-	-	5.8E-5	3.3E-6	5.7E-7
3.5	4.9E-5	-	-	4.4E-5	3.2E-6	5.2E-7
3.75	3.8E-5	-	-	3.3E-5	3.1E-6	4.8E-7
4	2.9E-5	1.8E-6	6.7E-2	2.5E-5	3.0E-6	4.4E-7
4.25	2.2E-5	-	-	1.8E-5	3.0E-6	4.1E-7
4.5	1.7E-5	-	-	1.3E-5	2.9E-6	3.8E-7
4.75	1.3E-5	-	-	9.7E-6	2.8E-6	3.5E-7
5	1.1E-5	1.5E-6	1.6E-2	7.1E-6	2.8E-6	3.3E-7
5.5	7.1E-6	-	-	3.8E-6	2.6E-6	2.8E-7
6	5.3E-6	1.3E-6	3.3E-3	2.1E-6	2.6E-6	2.4E-7
6.5	4.3E-6	-	-	1.2E-6	2.5E-6	2.1E-7
7	3.7E-6	1.1E-6	6.5E-4	8.1E-7	2.4E-6	1.9E-7
7.5	3.4E-6	-	-	5.8E-7	2.4E-6	1.7E-7
8	3.2E-6	9.4E-7	1.2E-4	4.5E-7	2.3E-6	1.5E-7
8.5	3.1E-6	-	-	3.8E-7	2.3E-6	1.3E-7
9	3.0E-6	8.3E-7	2.1E-5	3.3E-7	2.3E-6	1.2E-7
9.5	2.9E-6	-	-	3.0E-7	2.3E-6	1.1E-7
10	2.9E-6	7.4E-7	3.6E-6	2.7E-7	2.2E-6	1.0E-7
11	2.8E-6	6.7E-7	6.3E-7	2.4E-7	2.2E-6	9.1E-8
12	2.7E-6	6.1E-7	1.2E-7	2.1E-7	2.2E-6	8.3E-8
13	2.7E-6	5.7E-7	3.9E-8	2.0E-7	2.2E-6	7.7E-8
14	2.7E-6	5.3E-7	2.3E-8	1.8E-7	2.2E-6	7.3E-8
15	2.7E-6	4.9E-7	1.8E-8	1.8E-7	2.2E-6	7.0E-8
16	2.7E-6	4.6E-7	1.6E-8	1.7E-7	2.2E-6	6.8E-8
17	2.7E-6	4.4E-7	1.5E-8	1.7E-7	2.2E-6	6.7E-8
18	2.7E-6	4.1E-7	1.4E-8	1.6E-7	2.2E-6	6.6E-8
19	2.7E-6	3.9E-7	1.4E-8	1.6E-7	2.2E-6	6.5E-8
20	2.7E-6	3.7E-7	1.3E-8	1.6E-7	2.3E-6	6.5E-8
21	2.7E-6	3.5E-7	1.3E-8	1.6E-7	2.3E-6	6.5E-8
22	2.7E-6	3.4E-7	1.3E-8	1.6E-7	2.3E-6	6.5E-8
23	2.7E-6	3.2E-7	1.2E-8	1.6E-7	2.3E-6	6.5E-8
24	2.8E-6	3.1E-7	1.2E-8	1.6E-7	2.3E-6	6.5E-8
25	2.8E-6	2.9E-7	1.2E-8	1.6E-7	2.3E-6	6.5E-8
26	2.8E-6	2.8E-7	1.2E-8	1.6E-7	2.3E-6	6.5E-8
27	2.8E-6	2.7E-7	1.2E-8	1.6E-7	2.3E-6	6.5E-8
28	2.8E-6	2.6E-7	1.2E-8	1.6E-7	2.3E-6	6.6E-8
29	2.8E-6	2.4E-7	1.2E-8	1.6E-7	2.4E-6	6.6E-8
30	2.8E-6	2.3E-7	1.2E-8	1.6E-7	2.4E-6	6.6E-8
31	2.8E-6	2.2E-7	1.2E-8	1.6E-7	2.4E-6	6.6E-8
32	2.8E-6	2.1E-7	1.2E-8	1.6E-7	2.4E-6	6.7E-8
33	2.9E-6	2.0E-7	1.2E-8	1.6E-7	2.4E-6	6.7E-8
34	2.9E-6	2.0E-7	1.2E-8	1.6E-7	2.4E-6	6.7E-8
35	2.9E-6	1.9E-7	1.2E-8	1.6E-7	2.4E-6	6.7E-8
36	2.9E-6	1.8E-7	1.2E-8	1.6E-7	2.4E-6	6.8E-8
37	2.9E-6	1.7E-7	1.2E-8	1.6E-7	2.4E-6	6.8E-8
38	2.9E-6	1.6E-7	1.2E-8	1.6E-7	2.5E-6	6.8E-8
39	2.9E-6	1.6E-7	1.2E-8	1.6E-7	2.5E-6	6.8E-8
40	2.9E-6	1.5E-7	1.2E-8	1.6E-7	2.5E-6	6.9E-8
41	3.0E-6	1.4E-7	1.2E-8	1.6E-7	2.5E-6	6.9E-8
42	3.0E-6	1.4E-7	1.2E-8	1.6E-7	2.5E-6	6.9E-8
43	3.0E-6	1.3E-7	1.2E-8	1.6E-7	2.5E-6	7.0E-8
44	3.0E-6	1.3E-7	1.2E-8	1.6E-7	2.5E-6	7.0E-8
45	3.0E-6	1.2E-7	1.2E-8	1.6E-7	2.5E-6	7.0E-8
46	3.0E-6	1.2E-7	1.2E-8	1.6E-7	2.5E-6	7.1E-8
47	3.0E-6	1.1E-7	1.1E-8	1.6E-7	2.5E-6	7.1E-8
48	3.0E-6	1.1E-7	1.1E-8	1.6E-7	2.6E-6	7.2E-8
49	3.1E-6	1.0E-7	1.1E-8	1.6E-7	2.6E-6	7.2E-8
50	3.1E-6	9.8E-8	1.1E-8	1.6E-7	2.6E-6	7.2E-8
51	3.1E-6	9.4E-8	1.1E-8	1.6E-7	2.6E-6	7.3E-8
52	3.1E-6	9.0E-8	1.1E-8	1.6E-7	2.6E-6	7.3E-8
53	3.1E-6	8.7E-8	1.1E-8	1.6E-7	2.6E-6	7.3E-8
54	3.1E-6	8.3E-8	1.1E-8	1.6E-7	2.6E-6	7.4E-8
55	3.1E-6	8.0E-8	1.1E-8	1.6E-7	2.6E-6	7.4E-8
56	3.1E-6	7.7E-8	1.1E-8	1.6E-7	2.6E-6	7.5E-8
57	3.2E-6	7.4E-8	1.1E-8	1.6E-7	2.7E-6	7.5E-8
58	3.2E-6	7.1E-8	1.1E-8	1.6E-7	2.7E-6	7.6E-8
59	3.2E-6	6.8E-8	1.1E-8	1.6E-7	2.7E-6	7.6E-8
60	3.2E-6	6.5E-8	1.1E-8	1.6E-7	2.7E-6	7.6E-8
61	3.2E-6	6.3E-8	1.1E-8	1.6E-7	2.7E-6	7.7E-8
62	3.2E-6	6.0E-8	1.1E-8	1.6E-7	2.7E-6	7.7E-8
63	3.2E-6	5.8E-8	1.1E-8	1.6E-7	2.7E-6	7.8E-8
64	3.2E-6	5.6E-8	1.1E-8	1.6E-7	2.7E-6	7.8E-8
65	3.3E-6	5.4E-8	1.1E-8	1.6E-7	2.7E-6	7.9E-8
66	3.3E-6	5.2E-8	1.1E-8	1.6E-7	2.7E-6	7.9E-8
67	3.3E-6	5.0E-8	1.1E-8	1.6E-7	2.8E-6	8.0E-8
68	3.3E-6	4.8E-8	1.1E-8	1.6E-7	2.8E-6	8.0E-8
69	3.3E-6	4.7E-8	1.1E-8	1.6E-7	2.8E-6	8.1E-8
70	3.3E-6	4.5E-8	1.1E-8	1.6E-7	2.8E-6	8.1E-8
71	3.3E-6	4.3E-8	1.1E-8	1.6E-7	2.8E-6	8.2E-8
72	3.3E-6	4.2E-8	1.1E-8	1.6E-7	2.8E-6	8.2E-8
73	3.4E-6	4.0E-8	1.1E-8	1.6E-7	2.8E-6	8.3E-8
74	3.4E-6	3.9E-8	1.1E-8	1.6E-7	2.8E-6	8.3E-8
75	3.4E-6	3.8E-8	1.1E-8	1.6E-7	2.8E-6	8.4E-8
76	3.4E-6	3.7E-8	1.1E-8	1.6E-7	2.9E-6	8.4E-8
77	3.4E-6	3.5E-8	1.1E-8	1.6E-7	2.9E-6	8.5E-8
