Radionuclide	Th-232
Route of Intake	Inhalation
Material	Aerosols Type S, Oxide, all unspecified forms, fA=5E-6
AMTD/AMAD, µm	5

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Ac-228)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Ac-228)	Lungs* (Ac-228)	Skeleton* (Ac-228)	Liver* (Ac-228)
0.041667	6.0E-7	-	-	2.1E-7	5.6E-8	-	-
0.083333	2.3E-6	-	-	9.1E-7	2.1E-7	1.8E-10	1.2E-10
0.125	4.9E-6	-	-	2.1E-6	4.3E-7	5.9E-10	3.5E-10
0.25	1.7E-5	-	-	9.2E-6	1.5E-6	4.1E-9	2.0E-9
0.375	3.4E-5	-	-	2.1E-5	2.9E-6	1.2E-8	4.8E-9
0.5	5.4E-5	-	-	3.6E-5	4.7E-6	2.3E-8	8.5E-9
0.625	7.5E-5	-	-	5.4E-5	6.7E-6	3.8E-8	1.3E-8
0.75	9.5E-5	-	-	7.2E-5	8.8E-6	5.5E-8	1.7E-8
0.875	1.2E-4	-	-	9.0E-5	1.1E-5	7.4E-8	2.1E-8
1	1.3E-4	2.6E-5	8.5E-2	1.1E-4	1.3E-5	9.5E-8	2.5E-8
1.125	1.5E-4	-	-	1.2E-4	1.6E-5	1.2E-7	2.9E-8
1.25	1.6E-4	-	-	1.3E-4	1.8E-5	1.4E-7	3.2E-8
1.375	1.7E-4	-	-	1.4E-4	2.0E-5	1.6E-7	3.5E-8
1.5	1.8E-4	-	-	1.5E-4	2.3E-5	1.8E-7	3.7E-8
1.625	1.8E-4	-	-	1.5E-4	2.5E-5	2.0E-7	4.0E-8
1.75	1.8E-4	-	-	1.5E-4	2.8E-5	2.2E-7	4.2E-8
1.875	1.8E-4	-	-	1.5E-4	3.0E-5	2.4E-7	4.4E-8
2	1.8E-4	1.1E-5	2.7E-1	1.4E-4	3.2E-5	2.5E-7	4.6E-8
2.25	1.7E-4	-	-	1.3E-4	3.7E-5	2.9E-7	4.9E-8
2.5	1.6E-4	-	-	1.1E-4	4.2E-5	3.2E-7	5.2E-8
2.75	1.5E-4	-	-	9.7E-5	4.6E-5	3.5E-7	5.4E-8
3	1.3E-4	4.9E-6	1.8E-1	8.0E-5	5.1E-5	3.8E-7	5.7E-8
3.25	1.2E-4	-	-	6.5E-5	5.6E-5	4.1E-7	5.9E-8
3.5	1.1E-4	-	-	5.2E-5	6.0E-5	4.3E-7	6.1E-8
3.75	1.1E-4	-	-	4.1E-5	6.5E-5	4.6E-7	6.3E-8
4	1.0E-4	3.6E-6	6.7E-2	3.2E-5	6.9E-5	4.8E-7	6.5E-8
4.25	1.0E-4	-	-	2.5E-5	7.3E-5	5.1E-7	6.6E-8
4.5	9.9E-5	-	-	2.0E-5	7.8E-5	5.3E-7	6.8E-8
4.75	9.9E-5	-	-	1.5E-5	8.2E-5	5.5E-7	7.0E-8
5	1.0E-4	3.0E-6	2.0E-2	1.2E-5	8.6E-5	5.7E-7	7.1E-8
5.5	1.0E-4	-	-	7.7E-6	9.5E-5	6.2E-7	7.4E-8
6	1.1E-4	2.6E-6	5.7E-3	5.5E-6	1.0E-4	6.6E-7	7.6E-8
6.5	1.2E-4	-	-	4.3E-6	1.1E-4	7.0E-7	7.9E-8
7	1.3E-4	2.2E-6	1.9E-3	3.6E-6	1.2E-4	7.4E-7	8.1E-8
7.5	1.3E-4	-	-	3.3E-6	1.3E-4	7.8E-7	8.3E-8
8	1.4E-4	2.0E-6	9.9E-4	3.1E-6	1.4E-4	8.2E-7	8.5E-8
8.5	1.5E-4	-	-	3.0E-6	1.5E-4	8.5E-7	8.6E-8
9	1.6E-4	1.8E-6	7.0E-4	2.9E-6	1.5E-4	8.9E-7	8.8E-8
9.5	1.7E-4	-	-	2.9E-6	1.6E-4	9.3E-7	8.9E-8
10	1.8E-4	1.7E-6	5.7E-4	2.8E-6	1.7E-4	9.6E-7	9.0E-8
11	1.9E-4	1.5E-6	4.8E-4	2.7E-6	1.9E-4	1.0E-6	9.3E-8
12	2.1E-4	1.4E-6	4.1E-4	2.5E-6	2.0E-4	1.1E-6	9.5E-8
13	2.2E-4	1.4E-6	3.5E-4	2.4E-6	2.2E-4	1.2E-6	9.7E-8
14	2.4E-4	1.3E-6	3.1E-4	2.3E-6	2.4E-4	1.2E-6	9.9E-8
