Radionuclide	Th-232
Route of Intake	Inhalation
Material	Aerosols Type M, Thorium hydroxide, fA=1E-4
AMTD/AMAD, µm	5

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Ac-228)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Ac-228)	Lungs* (Ac-228)	Skeleton* (Ac-228)	Liver* (Ac-228)
0.041667	6.0E-7	-	-	2.1E-7	5.5E-8	4.7E-10	3.6E-10
0.083333	2.3E-6	-	-	9.1E-7	2.0E-7	3.7E-9	2.4E-9
0.125	4.9E-6	-	-	2.1E-6	4.1E-7	1.2E-8	7.0E-9
0.25	1.7E-5	-	-	9.1E-6	1.3E-6	8.3E-8	3.9E-8
0.375	3.4E-5	-	-	2.1E-5	2.6E-6	2.4E-7	9.7E-8
0.5	5.4E-5	-	-	3.6E-5	4.0E-6	4.7E-7	1.7E-7
0.625	7.5E-5	-	-	5.3E-5	5.6E-6	7.7E-7	2.6E-7
0.75	9.5E-5	-	-	7.2E-5	7.3E-6	1.1E-6	3.4E-7
0.875	1.2E-4	-	-	8.9E-5	9.1E-6	1.5E-6	4.2E-7
1	1.3E-4	5.3E-4	8.5E-2	1.1E-4	1.1E-5	1.9E-6	5.0E-7
1.125	1.5E-4	-	-	1.2E-4	1.3E-5	2.3E-6	5.8E-7
1.25	1.6E-4	-	-	1.3E-4	1.5E-5	2.7E-6	6.4E-7
1.375	1.7E-4	-	-	1.4E-4	1.7E-5	3.2E-6	7.0E-7
1.5	1.8E-4	-	-	1.4E-4	1.8E-5	3.6E-6	7.6E-7
1.625	1.8E-4	-	-	1.5E-4	2.0E-5	4.0E-6	8.0E-7
1.75	1.8E-4	-	-	1.5E-4	2.2E-5	4.4E-6	8.5E-7
1.875	1.8E-4	-	-	1.5E-4	2.4E-5	4.7E-6	8.9E-7
2	1.8E-4	2.3E-4	2.7E-1	1.4E-4	2.6E-5	5.1E-6	9.3E-7
2.25	1.7E-4	-	-	1.3E-4	3.0E-5	5.8E-6	1.0E-6
2.5	1.6E-4	-	-	1.1E-4	3.3E-5	6.5E-6	1.1E-6
2.75	1.5E-4	-	-	9.8E-5	3.7E-5	7.1E-6	1.1E-6
3	1.3E-4	1.0E-4	1.8E-1	8.2E-5	4.1E-5	7.7E-6	1.2E-6
3.25	1.2E-4	-	-	6.7E-5	4.4E-5	8.3E-6	1.2E-6
3.5	1.1E-4	-	-	5.4E-5	4.8E-5	8.8E-6	1.3E-6
3.75	1.1E-4	-	-	4.4E-5	5.1E-5	9.3E-6	1.3E-6
4	1.0E-4	7.8E-5	6.6E-2	3.5E-5	5.5E-5	9.8E-6	1.3E-6
4.25	1.0E-4	-	-	2.8E-5	5.8E-5	1.0E-5	1.4E-6
4.5	9.9E-5	-	-	2.2E-5	6.1E-5	1.1E-5	1.4E-6
4.75	9.8E-5	-	-	1.8E-5	6.5E-5	1.1E-5	1.5E-6
5	9.9E-5	6.6E-5	2.0E-2	1.5E-5	6.8E-5	1.2E-5	1.5E-6
5.5	1.0E-4	-	-	1.1E-5	7.5E-5	1.3E-5	1.6E-6
6	1.1E-4	5.8E-5	5.5E-3	9.1E-6	8.1E-5	1.4E-5	1.6E-6
6.5	1.1E-4	-	-	8.0E-6	8.8E-5	1.4E-5	1.7E-6
7	1.2E-4	5.1E-5	1.7E-3	7.5E-6	9.4E-5	1.5E-5	1.7E-6
7.5	1.3E-4	-	-	7.3E-6	1.0E-4	1.6E-5	1.8E-6
8	1.4E-4	4.7E-5	8.2E-4	7.3E-6	1.1E-4	1.7E-5	1.8E-6
8.5	1.4E-4	-	-	7.3E-6	1.1E-4	1.8E-5	1.9E-6
9	1.5E-4	4.3E-5	5.6E-4	7.3E-6	1.2E-4	1.9E-5	1.9E-6
9.5	1.6E-4	-	-	7.3E-6	1.2E-4	1.9E-5	1.9E-6
10	1.6E-4	4.0E-5	4.5E-4	7.3E-6	1.3E-4	2.0E-5	2.0E-6
11	1.8E-4	3.8E-5	3.7E-4	7.4E-6	1.4E-4	2.2E-5	2.1E-6
12	1.9E-4	3.6E-5	3.2E-4	7.4E-6	1.5E-4	2.3E-5	2.1E-6
13	2.1E-4	3.4E-5	2.7E-4	7.5E-6	1.7E-4	2.5E-5	2.2E-6
14	2.2E-4	3.3E-5	2.4E-4	7.5E-6	1.8E-4	2.7E-5	2.2E-6
15	2.3E-4	3.2E-5	2.1E-4	7.6E-6	1.9E-4	2.8E-5	2.3E-6
16	2.5E-4	3.1E-5	1.8E-4	7.6E-6	2.0E-4	3.0E-5	2.4E-6
17	2.6E-4	3.0E-5	1.6E-4	7.7E-6	2.1E-4	3.1E-5	2.4E-6
18	2.7E-4	2.9E-5	1.5E-4	7.8E-6	2.2E-4	3.3E-5	2.5E-6
19	2.8E-4	2.8E-5	1.3E-4	7.9E-6	2.3E-4	3.4E-5	2.5E-6
20	3.0E-4	2.8E-5	1.2E-4	8.0E-6	2.4E-4	3.6E-5	2.6E-6
21	3.1E-4	2.7E-5	1.1E-4	8.1E-6	2.5E-4	3.7E-5	2.6E-6
22	3.2E-4	2.7E-5	1.1E-4	8.2E-6	2.6E-4	3.9E-5	2.7E-6
