Radionuclide	Br-74m
Route of Intake	Injection
Material	Injection, fA=0.99
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Alimentary Tract*
0.041667	4.0E-1	8.6E-3
0.083333	1.6E-1	3.5E-3
0.125	6.6E-2	1.4E-3
0.25	4.3E-3	9.3E-5
0.375	2.9E-4	6.1E-6
0.5	1.9E-5	4.1E-7
0.625	1.2E-6	2.7E-8
0.75	8.2E-8	1.8E-9
0.875	5.4E-9	1.2E-10
1	3.6E-10	-
