Radionuclide	Br-74m
Route of Intake	Ingestion
Material	All forms, fA=0.99
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Alimentary Tract*
0.041667	4.0E-1	1.9E-1
0.083333	1.6E-1	3.5E-2
0.125	6.6E-2	7.2E-3
0.25	4.4E-3	1.6E-4
0.375	2.9E-4	9.1E-6
0.5	1.9E-5	5.9E-7
0.625	1.2E-6	3.8E-8
0.75	8.2E-8	2.5E-9
0.875	5.4E-9	1.6E-10
1	3.6E-10	-
