Radionuclide	Fr-223
Route of Intake	Inhalation
Material	Aerosols Type M, fA=0.2
AMTD/AMAD, µm	0.01

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Alimentary Tract*	Lungs*
0.041667	1.3E-1	1.2E-2	1.0E-1
0.083333	2.0E-2	2.1E-3	1.5E-2
0.125	3.0E-3	3.4E-4	2.2E-3
0.25	1.0E-5	1.4E-6	7.0E-6
0.375	3.5E-8	5.2E-9	2.3E-8
0.5	1.2E-10	-	-
