Radionuclide	Fr-223
Route of Intake	Ingestion
Material	All forms, fA=0.99
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Alimentary Tract*
0.041667	1.5E-1	7.0E-2
0.083333	2.2E-2	5.0E-3
0.125	3.4E-3	3.9E-4
0.25	1.1E-5	5.0E-7
0.375	3.9E-8	1.5E-9
0.5	1.3E-10	-
