Radionuclide	Fr-223
Route of Intake	Injection
Material	Injection, fA=0.99
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Alimentary Tract*
0.041667	1.5E-1	4.0E-3
0.083333	2.2E-2	6.1E-4
0.125	3.3E-3	9.2E-5
0.25	1.1E-5	3.2E-7
0.375	3.9E-8	1.1E-9
0.5	1.3E-10	-
