Radionuclide	Sr-81
Route of Intake	Inhalation
Material	Aerosols Type M, Fuel fragments, all unspecified forms, fA=5E-2
AMTD/AMAD, µm	10

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Alimentary Tract*	Lungs*	Skeleton*
0.041667	1.2E-1	4.3E-2	5.9E-3	6.2E-5
0.083333	1.8E-2	7.3E-3	8.2E-4	2.2E-5
0.125	2.8E-3	1.2E-3	1.2E-4	5.9E-6
0.25	9.9E-6	5.3E-6	3.9E-7	5.2E-8
0.375	3.6E-8	2.2E-8	1.3E-9	2.8E-10
0.5	1.3E-10	-	-	-
