Radionuclide	Sr-81
Route of Intake	Inhalation
Material	Aerosols Type M, Fuel fragments, all unspecified forms, fA=5E-2
AMTD/AMAD, µm	0.003

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Alimentary Tract*	Lungs*	Skeleton*
0.041667	1.5E-1	3.1E-2	6.6E-2	2.2E-4
0.083333	2.2E-2	5.7E-3	9.5E-3	8.2E-5
0.125	3.4E-3	9.9E-4	1.4E-3	2.1E-5
0.25	1.2E-5	4.5E-6	4.7E-6	1.7E-7
0.375	4.6E-8	1.8E-8	1.7E-8	8.7E-10
0.5	1.7E-10	-	-	-
