Radionuclide	Sr-82
Route of Intake	Inhalation
Material	Aerosols Type M, Fuel fragments, all unspecified forms, fA=5E-2
AMTD/AMAD, µm	0.03

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*
23	1.8E-1	7.1E-4	6.3E-4	1.2E-3	1.5E-1	1.6E-2
24	1.7E-1	6.8E-4	5.8E-4	1.1E-3	1.5E-1	1.6E-2
25	1.7E-1	6.4E-4	5.4E-4	1.0E-3	1.4E-1	1.6E-2
26	1.6E-1	6.1E-4	5.1E-4	9.7E-4	1.4E-1	1.5E-2
27	1.6E-1	5.8E-4	4.8E-4	9.1E-4	1.3E-1	1.5E-2
28	1.5E-1	5.6E-4	4.5E-4	8.6E-4	1.3E-1	1.5E-2
29	1.5E-1	5.3E-4	4.3E-4	8.2E-4	1.2E-1	1.5E-2
30	1.4E-1	5.1E-4	4.1E-4	7.8E-4	1.2E-1	1.4E-2
31	1.4E-1	4.9E-4	3.9E-4	7.4E-4	1.2E-1	1.4E-2
32	1.3E-1	4.6E-4	3.7E-4	7.1E-4	1.1E-1	1.4E-2
33	1.3E-1	4.4E-4	3.5E-4	6.8E-4	1.1E-1	1.3E-2
34	1.2E-1	4.3E-4	3.4E-4	6.5E-4	1.0E-1	1.3E-2
35	1.2E-1	4.1E-4	3.2E-4	6.2E-4	1.0E-1	1.3E-2
36	1.2E-1	3.9E-4	3.1E-4	6.0E-4	9.7E-2	1.3E-2
37	1.1E-1	3.7E-4	3.0E-4	5.7E-4	9.4E-2	1.2E-2
38	1.1E-1	3.6E-4	2.8E-4	5.5E-4	9.1E-2	1.2E-2
39	1.0E-1	3.4E-4	2.7E-4	5.3E-4	8.8E-2	1.2E-2
40	1.0E-1	3.3E-4	2.6E-4	5.1E-4	8.5E-2	1.2E-2
41	9.7E-2	3.2E-4	2.5E-4	4.9E-4	8.2E-2	1.1E-2
42	9.4E-2	3.1E-4	2.4E-4	4.7E-4	7.9E-2	1.1E-2
43	9.1E-2	2.9E-4	2.3E-4	4.5E-4	7.7E-2	1.1E-2
44	8.8E-2	2.8E-4	2.3E-4	4.3E-4	7.4E-2	1.1E-2
45	8.5E-2	2.7E-4	2.2E-4	4.2E-4	7.2E-2	1.0E-2
46	8.3E-2	2.6E-4	2.1E-4	4.0E-4	6.9E-2	1.0E-2
47	8.0E-2	2.5E-4	2.0E-4	3.9E-4	6.7E-2	1.0E-2
48	7.7E-2	2.4E-4	1.9E-4	3.7E-4	6.5E-2	9.8E-3
49	7.5E-2	2.3E-4	1.9E-4	3.6E-4	6.2E-2	9.6E-3
50	7.2E-2	2.2E-4	1.8E-4	3.5E-4	6.0E-2	9.4E-3
51	7.0E-2	2.2E-4	1.7E-4	3.3E-4	5.8E-2	9.2E-3
52	6.8E-2	2.1E-4	1.7E-4	3.2E-4	5.6E-2	9.0E-3
53	6.6E-2	2.0E-4	1.6E-4	3.1E-4	5.4E-2	8.8E-3
54	6.3E-2	1.9E-4	1.6E-4	3.0E-4	5.3E-2	8.6E-3
55	6.1E-2	1.9E-4	1.5E-4	2.9E-4	5.1E-2	8.4E-3
56	5.9E-2	1.8E-4	1.5E-4	2.8E-4	4.9E-2	8.2E-3
57	5.8E-2	1.7E-4	1.4E-4	2.7E-4	4.7E-2	8.0E-3
58	5.6E-2	1.7E-4	1.4E-4	2.6E-4	4.6E-2	7.8E-3
59	5.4E-2	1.6E-4	1.3E-4	2.5E-4	4.4E-2	7.7E-3
60	5.2E-2	1.6E-4	1.3E-4	2.4E-4	4.3E-2	7.5E-3
61	5.0E-2	1.5E-4	1.2E-4	2.3E-4	4.1E-2	7.3E-3
62	4.9E-2	1.5E-4	1.2E-4	2.2E-4	4.0E-2	7.1E-3
63	4.7E-2	1.4E-4	1.1E-4	2.2E-4	3.9E-2	7.0E-3
64	4.6E-2	1.4E-4	1.1E-4	2.1E-4	3.7E-2	6.8E-3
65	4.4E-2	1.3E-4	1.1E-4	2.0E-4	3.6E-2	6.7E-3
66	4.3E-2	1.3E-4	1.0E-4	1.9E-4	3.5E-2	6.5E-3
67	4.1E-2	1.2E-4	9.8E-5	1.9E-4	3.4E-2	6.4E-3
68	4.0E-2	1.2E-4	9.5E-5	1.8E-4	3.3E-2	6.2E-3
69	3.9E-2	1.1E-4	9.2E-5	1.8E-4	3.1E-2	6.1E-3
70	3.8E-2	1.1E-4	8.9E-5	1.7E-4	3.0E-2	5.9E-3
71	3.6E-2	1.1E-4	8.5E-5	1.6E-4	2.9E-2	5.8E-3
72	3.5E-2	1.0E-4	8.3E-5	1.6E-4	2.8E-2	5.6E-3
73	3.4E-2	9.9E-5	8.0E-5	1.5E-4	2.7E-2	5.5E-3
74	3.3E-2	9.6E-5	7.7E-5	1.5E-4	2.7E-2	5.4E-3
75	3.2E-2	9.3E-5	7.4E-5	1.4E-4	2.6E-2	5.3E-3
76	3.1E-2	9.0E-5	7.2E-5	1.4E-4	2.5E-2	5.1E-3
77	3.0E-2	8.7E-5	6.9E-5	1.3E-4	2.4E-2	5.0E-3
78	2.9E-2	8.4E-5	6.7E-5	1.3E-4	2.3E-2	4.9E-3
79	2.8E-2	8.1E-5	6.5E-5	1.2E-4	2.2E-2	4.8E-3
80	2.7E-2	7.8E-5	6.2E-5	1.2E-4	2.2E-2	4.7E-3
81	2.6E-2	7.5E-5	6.0E-5	1.2E-4	2.1E-2	4.5E-3
82	2.5E-2	7.3E-5	5.8E-5	1.1E-4	2.0E-2	4.4E-3
83	2.5E-2	7.1E-5	5.6E-5	1.1E-4	1.9E-2	4.3E-3
84	2.4E-2	6.8E-5	5.4E-5	1.0E-4	1.9E-2	4.2E-3
85	2.3E-2	6.6E-5	5.2E-5	1.0E-4	1.8E-2	4.1E-3
86	2.2E-2	6.4E-5	5.1E-5	9.7E-5	1.8E-2	4.0E-3
87	2.2E-2	6.2E-5	4.9E-5	9.4E-5	1.7E-2	3.9E-3
88	2.1E-2	6.0E-5	4.7E-5	9.0E-5	1.6E-2	3.8E-3
89	2.0E-2	5.8E-5	4.6E-5	8.7E-5	1.6E-2	3.7E-3
90	2.0E-2	5.6E-5	4.4E-5	8.4E-5	1.5E-2	3.6E-3
91	1.9E-2	5.4E-5	4.3E-5	8.2E-5	1.5E-2	3.6E-3
92	1.8E-2	5.2E-5	4.1E-5	7.9E-5	1.4E-2	3.5E-3
93	1.8E-2	5.0E-5	4.0E-5	7.6E-5	1.4E-2	3.4E-3
94	1.7E-2	4.9E-5	3.8E-5	7.3E-5	1.3E-2	3.3E-3
95	1.7E-2	4.7E-5	3.7E-5	7.1E-5	1.3E-2	3.2E-3
96	1.6E-2	4.5E-5	3.6E-5	6.9E-5	1.3E-2	3.1E-3
97	1.6E-2	4.4E-5	3.5E-5	6.6E-5	1.2E-2	3.1E-3
