Radionuclide	I-131
Route of Intake	Injection
Material	Injection, fA=0.99
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Thyroid*	Liver*
0.041667	9.7E-1	-	-	1.1E-1	5.2E-2	4.2E-2
0.083333	9.2E-1	-	-	1.3E-1	8.4E-2	3.4E-2
0.125	8.6E-1	-	-	1.3E-1	1.1E-1	2.9E-2
0.25	6.9E-1	-	-	9.2E-2	1.7E-1	1.9E-2
0.375	5.7E-1	-	-	6.5E-2	2.1E-1	1.3E-2
0.5	4.8E-1	-	-	4.6E-2	2.3E-1	9.0E-3
0.625	4.2E-1	-	-	3.3E-2	2.5E-1	6.2E-3
0.75	3.8E-1	-	-	2.5E-2	2.6E-1	4.4E-3
0.875	3.5E-1	-	-	1.8E-2	2.6E-1	3.1E-3
1	3.2E-1	5.9E-1	1.2E-3	1.4E-2	2.7E-1	2.3E-3
1.125	3.1E-1	-	-	1.1E-2	2.7E-1	1.8E-3
1.25	3.0E-1	-	-	8.9E-3	2.7E-1	1.5E-3
1.375	2.9E-1	-	-	7.3E-3	2.7E-1	1.3E-3
1.5	2.8E-1	-	-	6.0E-3	2.6E-1	1.2E-3
1.625	2.7E-1	-	-	5.0E-3	2.6E-1	1.1E-3
1.75	2.7E-1	-	-	4.2E-3	2.6E-1	1.1E-3
1.875	2.6E-1	-	-	3.6E-3	2.6E-1	1.1E-3
2	2.6E-1	3.3E-2	3.1E-3	3.1E-3	2.5E-1	1.1E-3
2.25	2.5E-1	-	-	2.3E-3	2.5E-1	1.1E-3
2.5	2.5E-1	-	-	1.7E-3	2.4E-1	1.2E-3
2.75	2.4E-1	-	-	1.3E-3	2.4E-1	1.3E-3
3	2.4E-1	1.6E-3	1.7E-3	9.6E-4	2.3E-1	1.3E-3
3.25	2.3E-1	-	-	7.6E-4	2.3E-1	1.4E-3
3.5	2.3E-1	-	-	6.1E-4	2.2E-1	1.4E-3
3.75	2.2E-1	-	-	5.1E-4	2.2E-1	1.5E-3
4	2.2E-1	2.6E-4	5.6E-4	4.5E-4	2.1E-1	1.5E-3
4.25	2.1E-1	-	-	4.1E-4	2.1E-1	1.6E-3
4.5	2.1E-1	-	-	3.8E-4	2.0E-1	1.6E-3
4.75	2.0E-1	-	-	3.6E-4	2.0E-1	1.6E-3
5	2.0E-1	2.5E-4	2.0E-4	3.5E-4	1.9E-1	1.7E-3
5.5	1.9E-1	-	-	3.5E-4	1.8E-1	1.7E-3
6	1.8E-1	2.7E-4	1.2E-4	3.5E-4	1.7E-1	1.7E-3
6.5	1.7E-1	-	-	3.6E-4	1.7E-1	1.8E-3
7	1.7E-1	2.9E-4	1.1E-4	3.6E-4	1.6E-1	1.8E-3
7.5	1.6E-1	-	-	3.6E-4	1.5E-1	1.8E-3
8	1.5E-1	3.0E-4	1.1E-4	3.6E-4	1.4E-1	1.8E-3
8.5	1.4E-1	-	-	3.6E-4	1.4E-1	1.7E-3
9	1.4E-1	3.1E-4	1.1E-4	3.6E-4	1.3E-1	1.7E-3
9.5	1.3E-1	-	-	3.6E-4	1.3E-1	1.7E-3
10	1.3E-1	3.0E-4	1.1E-4	3.5E-4	1.2E-1	1.7E-3
11	1.2E-1	3.0E-4	1.1E-4	3.4E-4	1.1E-1	1.6E-3
12	1.1E-1	2.9E-4	1.0E-4	3.3E-4	1.0E-1	1.5E-3
13	9.6E-2	2.8E-4	1.0E-4	3.1E-4	9.1E-2	1.5E-3
14	8.8E-2	2.6E-4	9.7E-5	3.0E-4	8.3E-2	1.4E-3
15	8.1E-2	2.5E-4	9.2E-5	2.8E-4	7.6E-2	1.3E-3
16	7.4E-2	2.3E-4	8.7E-5	2.6E-4	6.9E-2	1.2E-3
17	6.7E-2	2.2E-4	8.1E-5	2.5E-4	6.3E-2	1.1E-3
18	6.1E-2	2.1E-4	7.6E-5	2.3E-4	5.7E-2	1.1E-3
19	5.6E-2	1.9E-4	7.1E-5	2.1E-4	5.2E-2	9.9E-4
20	5.1E-2	1.8E-4	6.7E-5	2.0E-4	4.8E-2	9.1E-4
21	4.7E-2	1.7E-4	6.2E-5	1.8E-4	4.3E-2	8.5E-4
22	4.3E-2	1.5E-4	5.7E-5	1.7E-4	4.0E-2	7.8E-4
23	3.9E-2	1.4E-4	5.3E-5	1.6E-4	3.6E-2	7.2E-4
24	3.5E-2	1.3E-4	4.9E-5	1.5E-4	3.3E-2	6.7E-4
25	3.2E-2	1.2E-4	4.5E-5	1.3E-4	3.0E-2	6.1E-4
26	3.0E-2	1.1E-4	4.2E-5	1.2E-4	2.7E-2	5.6E-4
27	2.7E-2	1.0E-4	3.8E-5	1.1E-4	2.5E-2	5.2E-4
28	2.5E-2	9.5E-5	3.5E-5	1.0E-4	2.3E-2	4.8E-4
29	2.2E-2	8.7E-5	3.3E-5	9.6E-5	2.1E-2	4.4E-4
30	2.0E-2	8.0E-5	3.0E-5	8.8E-5	1.9E-2	4.0E-4
31	1.9E-2	7.3E-5	2.7E-5	8.0E-5	1.7E-2	3.7E-4
32	1.7E-2	6.7E-5	2.5E-5	7.4E-5	1.6E-2	3.4E-4
33	1.6E-2	6.2E-5	2.3E-5	6.8E-5	1.4E-2	3.1E-4
34	1.4E-2	5.7E-5	2.1E-5	6.2E-5	1.3E-2	2.8E-4
35	1.3E-2	5.2E-5	1.9E-5	5.7E-5	1.2E-2	2.6E-4
36	1.2E-2	4.7E-5	1.8E-5	5.2E-5	1.1E-2	2.4E-4
37	1.1E-2	4.3E-5	1.6E-5	4.7E-5	9.9E-3	2.2E-4
38	9.8E-3	4.0E-5	1.5E-5	4.3E-5	9.0E-3	2.0E-4
39	8.9E-3	3.6E-5	1.4E-5	4.0E-5	8.2E-3	1.8E-4
40	8.2E-3	3.3E-5	1.2E-5	3.6E-5	7.5E-3	1.6E-4
41	7.4E-3	3.0E-5	1.1E-5	3.3E-5	6.9E-3	1.5E-4
42	6.8E-3	2.8E-5	1.0E-5	3.0E-5	6.3E-3	1.4E-4
43	6.2E-3	2.5E-5	9.5E-6	2.8E-5	5.7E-3	1.3E-4
44	5.6E-3	2.3E-5	8.6E-6	2.5E-5	5.2E-3	1.1E-4
45	5.1E-3	2.1E-5	7.9E-6	2.3E-5	4.7E-3	1.0E-4
46	4.7E-3	1.9E-5	7.2E-6	2.1E-5	4.3E-3	9.6E-5
47	4.3E-3	1.8E-5	6.6E-6	1.9E-5	3.9E-3	8.7E-5
48	3.9E-3	1.6E-5	6.0E-6	1.8E-5	3.6E-3	8.0E-5
49	3.6E-3	1.5E-5	5.5E-6	1.6E-5	3.3E-3	7.3E-5
50	3.2E-3	1.3E-5	5.0E-6	1.5E-5	3.0E-3	6.6E-5
51	3.0E-3	1.2E-5	4.6E-6	1.3E-5	2.7E-3	6.1E-5
52	2.7E-3	1.1E-5	4.2E-6	1.2E-5	2.5E-3	5.5E-5
53	2.5E-3	1.0E-5	3.8E-6	1.1E-5	2.3E-3	5.1E-5
54	2.2E-3	9.3E-6	3.5E-6	1.0E-5	2.1E-3	4.6E-5
55	2.0E-3	8.5E-6	3.2E-6	9.3E-6	1.9E-3	4.2E-5
56	1.9E-3	7.7E-6	2.9E-6	8.4E-6	1.7E-3	3.8E-5
57	1.7E-3	7.1E-6	2.6E-6	7.7E-6	1.6E-3	3.5E-5
58	1.6E-3	6.4E-6	2.4E-6	7.0E-6	1.4E-3	3.2E-5
59	1.4E-3	5.9E-6	2.2E-6	6.4E-6	1.3E-3	2.9E-5
60	1.3E-3	5.4E-6	2.0E-6	5.8E-6	1.2E-3	2.7E-5
61	1.2E-3	4.9E-6	1.8E-6	5.3E-6	1.1E-3	2.4E-5
62	1.1E-3	4.5E-6	1.7E-6	4.9E-6	9.9E-4	2.2E-5
63	9.8E-4	4.1E-6	1.5E-6	4.4E-6	9.0E-4	2.0E-5
64	8.9E-4	3.7E-6	1.4E-6	4.0E-6	8.2E-4	1.8E-5
65	8.2E-4	3.4E-6	1.3E-6	3.7E-6	7.5E-4	1.7E-5
66	7.4E-4	3.1E-6	1.2E-6	3.4E-6	6.9E-4	1.5E-5
67	6.8E-4	2.8E-6	1.1E-6	3.1E-6	6.2E-4	1.4E-5
68	6.2E-4	2.6E-6	9.6E-7	2.8E-6	5.7E-4	1.3E-5
69	5.6E-4	2.3E-6	8.8E-7	2.6E-6	5.2E-4	1.2E-5
70	5.1E-4	2.1E-6	8.0E-7	2.3E-6	4.7E-4	1.1E-5
71	4.7E-4	2.0E-6	7.3E-7	2.1E-6	4.3E-4	9.7E-6
72	4.3E-4	1.8E-6	6.7E-7	1.9E-6	3.9E-4	8.8E-6
73	3.9E-4	1.6E-6	6.1E-7	1.8E-6	3.6E-4	8.0E-6
74	3.6E-4	1.5E-6	5.5E-7	1.6E-6	3.3E-4	7.3E-6
75	3.2E-4	1.3E-6	5.1E-7	1.5E-6	3.0E-4	6.7E-6
76	3.0E-4	1.2E-6	4.6E-7	1.3E-6	2.7E-4	6.1E-6
77	2.7E-4	1.1E-6	4.2E-7	1.2E-6	2.5E-4	5.6E-6
78	2.5E-4	1.0E-6	3.8E-7	1.1E-6	2.3E-4	5.1E-6
79	2.2E-4	9.3E-7	3.5E-7	1.0E-6	2.1E-4	4.6E-6
80	2.0E-4	8.5E-7	3.2E-7	9.3E-7	1.9E-4	4.2E-6
81	1.9E-4	7.8E-7	2.9E-7	8.5E-7	1.7E-4	3.9E-6
82	1.7E-4	7.1E-7	2.7E-7	7.7E-7	1.6E-4	3.5E-6
83	1.6E-4	6.5E-7	2.4E-7	7.0E-7	1.4E-4	3.2E-6
84	1.4E-4	5.9E-7	2.2E-7	6.4E-7	1.3E-4	2.9E-6
85	1.3E-4	5.4E-7	2.0E-7	5.9E-7	1.2E-4	2.7E-6
86	1.2E-4	4.9E-7	1.8E-7	5.3E-7	1.1E-4	2.4E-6
87	1.1E-4	4.5E-7	1.7E-7	4.9E-7	9.9E-5	2.2E-6
88	9.8E-5	4.1E-7	1.5E-7	4.4E-7	9.0E-5	2.0E-6
89	8.9E-5	3.7E-7	1.4E-7	4.1E-7	8.2E-5	1.8E-6
90	8.2E-5	3.4E-7	1.3E-7	3.7E-7	7.5E-5	1.7E-6
91	7.4E-5	3.1E-7	1.2E-7	3.4E-7	6.8E-5	1.5E-6
92	6.8E-5	2.8E-7	1.1E-7	3.1E-7	6.2E-5	1.4E-6
93	6.2E-5	2.6E-7	9.6E-8	2.8E-7	5.7E-5	1.3E-6
94	5.6E-5	2.3E-7	8.8E-8	2.6E-7	5.2E-5	1.2E-6
95	5.1E-5	2.1E-7	8.0E-8	2.3E-7	4.7E-5	1.1E-6
96	4.7E-5	2.0E-7	7.3E-8	2.1E-7	4.3E-5	9.7E-7
97	4.3E-5	1.8E-7	6.7E-8	1.9E-7	3.9E-5	8.8E-7
98	3.9E-5	1.6E-7	6.1E-8	1.8E-7	3.6E-5	8.0E-7
99	3.6E-5	1.5E-7	5.5E-8	1.6E-7	3.3E-5	7.3E-7
100	3.2E-5	1.3E-7	5.1E-8	1.5E-7	3.0E-5	6.7E-7
110	1.3E-5	5.4E-8	2.0E-8	5.9E-8	1.2E-5	2.7E-7
120	5.1E-6	2.1E-8	8.0E-9	2.3E-8	4.7E-6	1.1E-7
130	2.0E-6	8.5E-9	3.2E-9	9.3E-9	1.9E-6	4.2E-8
140	8.2E-7	3.4E-9	1.3E-9	3.7E-9	7.5E-7	1.7E-8
150	3.2E-7	1.3E-9	5.1E-10	1.5E-9	3.0E-7	6.7E-9
160	1.3E-7	5.4E-10	2.0E-10	5.9E-10	1.2E-7	2.7E-9
170	5.1E-8	2.1E-10	-	2.3E-10	4.7E-8	1.1E-9
180	2.0E-8	-	-	-	1.9E-8	4.2E-10
190	8.1E-9	-	-	-	7.5E-9	1.7E-10
200	3.2E-9	-	-	-	3.0E-9	-
210	1.3E-9	-	-	-	1.2E-9	-
220	5.1E-10	-	-	-	4.7E-10	-
230	2.0E-10	-	-	-	1.9E-10	-
