Radionuclide	I-120m
Route of Intake	Inhalation
Material	Gas or vapour Type V, Methyl iodide, ethyl iodide 
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Alimentary Tract*	Thyroid*	Liver*
0.041667	3.1E-1	-	3.5E-2	1.7E-2	1.4E-2
0.083333	1.3E-1	-	1.9E-2	1.2E-2	5.0E-3
0.125	5.8E-2	-	8.4E-3	7.4E-3	2.0E-3
0.25	4.5E-3	-	5.9E-4	1.1E-3	1.3E-4
0.375	3.5E-4	-	4.0E-5	1.3E-4	8.2E-6
0.5	2.9E-5	-	2.7E-6	1.4E-5	5.4E-7
0.625	2.4E-6	-	1.9E-7	1.4E-6	3.6E-8
0.75	2.1E-7	-	1.3E-8	1.4E-7	2.4E-9
0.875	1.8E-8	-	9.7E-10	1.4E-8	1.7E-10
1	1.6E-9	3.0E-9	-	1.3E-9	-
1.125	1.5E-10	-	-	1.3E-10	-
