Radionuclide	I-120m
Route of Intake	Inhalation
Material	Aerosols Type F, Sodium iodide, caesium chloride vector, silver iodide, all unspecified forms, fA=0.99
AMTD/AMAD, µm	0.03

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Alimentary Tract*	Lungs*	Thyroid*	Liver*
0.041667	2.8E-1	-	2.8E-2	1.0E-2	1.1E-2	1.1E-2
0.083333	1.2E-1	-	1.6E-2	2.5E-3	8.8E-3	4.2E-3
0.125	5.2E-2	-	7.1E-3	9.6E-4	5.5E-3	1.6E-3
0.25	4.1E-3	-	5.2E-4	6.3E-5	8.6E-4	1.1E-4
0.375	3.2E-4	-	3.6E-5	4.2E-6	1.0E-4	7.2E-6
0.5	2.6E-5	-	2.5E-6	2.8E-7	1.1E-5	4.8E-7
0.625	2.2E-6	-	1.8E-7	1.9E-8	1.2E-6	3.3E-8
0.75	1.9E-7	-	1.3E-8	1.3E-9	1.2E-7	2.3E-9
0.875	1.6E-8	-	9.6E-10	-	1.2E-8	1.6E-10
1	1.5E-9	2.5E-9	-	-	1.1E-9	-
1.125	1.3E-10	-	-	-	1.1E-10	-
