Radionuclide	Mo-93
Route of Intake	Inhalation
Material	Aerosols Type S, fA=9E-3
AMTD/AMAD, µm	0.001

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Liver*
0.041667	9.7E-1	-	-	3.2E-1	1.5E-1	1.1E-4
0.083333	9.6E-1	-	-	3.8E-1	1.3E-1	3.2E-4
0.125	9.5E-1	-	-	4.2E-1	1.2E-1	5.9E-4
0.25	9.2E-1	-	-	5.0E-1	1.0E-1	1.4E-3
0.375	9.0E-1	-	-	5.6E-1	9.7E-2	2.0E-3
0.5	8.8E-1	-	-	5.9E-1	9.3E-2	2.4E-3
0.625	8.5E-1	-	-	6.1E-1	9.0E-2	2.7E-3
0.75	8.2E-1	-	-	6.2E-1	8.8E-2	2.9E-3
0.875	7.9E-1	-	-	6.1E-1	8.6E-2	3.0E-3
1	7.5E-1	1.8E-3	1.0E-1	5.9E-1	8.4E-2	3.1E-3
1.125	7.1E-1	-	-	5.7E-1	8.2E-2	3.2E-3
1.25	6.7E-1	-	-	5.4E-1	8.0E-2	3.3E-3
1.375	6.2E-1	-	-	5.1E-1	7.8E-2	3.3E-3
1.5	5.8E-1	-	-	4.7E-1	7.6E-2	3.3E-3
1.625	5.3E-1	-	-	4.3E-1	7.4E-2	3.4E-3
1.75	4.9E-1	-	-	4.0E-1	7.3E-2	3.4E-3
1.875	4.5E-1	-	-	3.6E-1	7.1E-2	3.4E-3
2	4.1E-1	9.0E-4	3.3E-1	3.2E-1	6.9E-2	3.4E-3
2.25	3.4E-1	-	-	2.6E-1	6.6E-2	3.4E-3
2.5	2.8E-1	-	-	2.1E-1	6.3E-2	3.4E-3
2.75	2.3E-1	-	-	1.6E-1	6.0E-2	3.4E-3
3	1.9E-1	3.6E-4	2.2E-1	1.2E-1	5.7E-2	3.4E-3
3.25	1.6E-1	-	-	9.6E-2	5.5E-2	3.4E-3
3.5	1.3E-1	-	-	7.5E-2	5.2E-2	3.4E-3
3.75	1.1E-1	-	-	5.9E-2	5.0E-2	3.4E-3
4	1.0E-1	1.6E-4	8.8E-2	4.6E-2	4.8E-2	3.4E-3
4.25	8.9E-2	-	-	3.7E-2	4.6E-2	3.4E-3
4.5	8.0E-2	-	-	3.1E-2	4.4E-2	3.4E-3
4.75	7.3E-2	-	-	2.6E-2	4.2E-2	3.4E-3
5	6.8E-2	9.9E-5	3.2E-2	2.2E-2	4.0E-2	3.4E-3
5.5	5.9E-2	-	-	1.7E-2	3.6E-2	3.4E-3
6	5.3E-2	7.9E-5	1.4E-2	1.4E-2	3.3E-2	3.4E-3
6.5	4.8E-2	-	-	1.2E-2	3.1E-2	3.3E-3
7	4.4E-2	7.0E-5	8.7E-3	1.1E-2	2.8E-2	3.3E-3
7.5	4.1E-2	-	-	9.5E-3	2.6E-2	3.3E-3
8	3.8E-2	6.5E-5	6.4E-3	8.6E-3	2.4E-2	3.3E-3
8.5	3.5E-2	-	-	7.7E-3	2.2E-2	3.3E-3
9	3.3E-2	6.1E-5	5.1E-3	7.0E-3	2.0E-2	3.2E-3
9.5	3.0E-2	-	-	6.3E-3	1.9E-2	3.2E-3
10	2.8E-2	5.8E-5	4.2E-3	5.7E-3	1.7E-2	3.2E-3
11	2.5E-2	5.6E-5	3.4E-3	4.7E-3	1.5E-2	3.2E-3
12	2.2E-2	5.4E-5	2.8E-3	3.9E-3	1.3E-2	3.1E-3
13	2.0E-2	5.2E-5	2.3E-3	3.2E-3	1.1E-2	3.1E-3
14	1.8E-2	5.0E-5	1.9E-3	2.6E-3	9.8E-3	3.0E-3
15	1.6E-2	4.9E-5	1.5E-3	2.1E-3	8.8E-3	3.0E-3
16	1.5E-2	4.8E-5	1.3E-3	1.8E-3	7.9E-3	2.9E-3
17	1.4E-2	4.7E-5	1.0E-3	1.5E-3	7.1E-3	2.9E-3
18	1.3E-2	4.6E-5	8.6E-4	1.2E-3	6.6E-3	2.8E-3
19	1.2E-2	4.5E-5	7.1E-4	1.0E-3	6.1E-3	2.8E-3
20	1.1E-2	4.4E-5	5.8E-4	8.3E-4	5.7E-3	2.7E-3
21	1.1E-2	4.3E-5	4.8E-4	6.9E-4	5.3E-3	2.7E-3
22	1.0E-2	4.3E-5	4.0E-4	5.7E-4	5.1E-3	2.7E-3
23	1.0E-2	4.2E-5	3.3E-4	4.8E-4	4.8E-3	2.6E-3
24	9.8E-3	4.2E-5	2.7E-4	4.0E-4	4.6E-3	2.6E-3
25	9.5E-3	4.1E-5	2.3E-4	3.4E-4	4.5E-3	2.5E-3
26	9.3E-3	4.1E-5	1.9E-4	2.9E-4	4.4E-3	2.5E-3
27	9.1E-3	4.0E-5	1.6E-4	2.5E-4	4.3E-3	2.4E-3
28	8.9E-3	4.0E-5	1.3E-4	2.1E-4	4.2E-3	2.4E-3
29	8.8E-3	3.9E-5	1.1E-4	1.8E-4	4.1E-3	2.4E-3
30	8.6E-3	3.9E-5	9.4E-5	1.6E-4	4.0E-3	2.3E-3
31	8.5E-3	3.8E-5	8.0E-5	1.4E-4	4.0E-3	2.3E-3
32	8.4E-3	3.8E-5	6.9E-5	1.3E-4	4.0E-3	2.2E-3
33	8.3E-3	3.8E-5	5.9E-5	1.1E-4	3.9E-3	2.2E-3
34	8.2E-3	3.7E-5	5.1E-5	1.0E-4	3.9E-3	2.2E-3
35	8.1E-3	3.7E-5	4.5E-5	9.2E-5	3.9E-3	2.1E-3
36	8.1E-3	3.6E-5	4.0E-5	8.5E-5	3.8E-3	2.1E-3
37	8.0E-3	3.6E-5	3.6E-5	7.9E-5	3.8E-3	2.1E-3
38	7.9E-3	3.6E-5	3.2E-5	7.4E-5	3.8E-3	2.0E-3
39	7.9E-3	3.5E-5	2.9E-5	6.9E-5	3.8E-3	2.0E-3
40	7.8E-3	3.5E-5	2.6E-5	6.6E-5	3.8E-3	2.0E-3
41	7.7E-3	3.5E-5	2.4E-5	6.3E-5	3.8E-3	1.9E-3
42	7.7E-3	3.4E-5	2.3E-5	6.0E-5	3.7E-3	1.9E-3
43	7.6E-3	3.4E-5	2.1E-5	5.8E-5	3.7E-3	1.9E-3
44	7.6E-3	3.4E-5	2.0E-5	5.6E-5	3.7E-3	1.8E-3
45	7.5E-3	3.3E-5	1.9E-5	5.5E-5	3.7E-3	1.8E-3
46	7.5E-3	3.3E-5	1.8E-5	5.3E-5	3.7E-3	1.8E-3
47	7.4E-3	3.3E-5	1.8E-5	5.2E-5	3.7E-3	1.7E-3
48	7.4E-3	3.2E-5	1.7E-5	5.1E-5	3.7E-3	1.7E-3
49	7.3E-3	3.2E-5	1.6E-5	5.0E-5	3.7E-3	1.7E-3
50	7.3E-3	3.1E-5	1.6E-5	4.9E-5	3.7E-3	1.7E-3
51	7.2E-3	3.1E-5	1.6E-5	4.9E-5	3.7E-3	1.6E-3
52	7.2E-3	3.1E-5	1.5E-5	4.8E-5	3.7E-3	1.6E-3
53	7.1E-3	3.0E-5	1.5E-5	4.7E-5	3.6E-3	1.6E-3
54	7.1E-3	3.0E-5	1.5E-5	4.7E-5	3.6E-3	1.6E-3
55	7.0E-3	3.0E-5	1.4E-5	4.6E-5	3.6E-3	1.5E-3
56	7.0E-3	3.0E-5	1.4E-5	4.6E-5	3.6E-3	1.5E-3
57	7.0E-3	2.9E-5	1.4E-5	4.5E-5	3.6E-3	1.5E-3
58	6.9E-3	2.9E-5	1.4E-5	4.5E-5	3.6E-3	1.5E-3
59	6.9E-3	2.9E-5	1.3E-5	4.4E-5	3.6E-3	1.4E-3
60	6.8E-3	2.8E-5	1.3E-5	4.4E-5	3.6E-3	1.4E-3
61	6.8E-3	2.8E-5	1.3E-5	4.3E-5	3.6E-3	1.4E-3
62	6.8E-3	2.8E-5	1.3E-5	4.3E-5	3.6E-3	1.4E-3
63	6.7E-3	2.7E-5	1.3E-5	4.2E-5	3.6E-3	1.3E-3
64	6.7E-3	2.7E-5	1.3E-5	4.2E-5	3.6E-3	1.3E-3
65	6.6E-3	2.7E-5	1.2E-5	4.1E-5	3.6E-3	1.3E-3
66	6.6E-3	2.6E-5	1.2E-5	4.1E-5	3.6E-3	1.3E-3
67	6.6E-3	2.6E-5	1.2E-5	4.1E-5	3.6E-3	1.2E-3
68	6.5E-3	2.6E-5	1.2E-5	4.0E-5	3.5E-3	1.2E-3
69	6.5E-3	2.6E-5	1.2E-5	4.0E-5	3.5E-3	1.2E-3
70	6.4E-3	2.5E-5	1.2E-5	4.0E-5	3.5E-3	1.2E-3
71	6.4E-3	2.5E-5	1.2E-5	3.9E-5	3.5E-3	1.2E-3
72	6.4E-3	2.5E-5	1.2E-5	3.9E-5	3.5E-3	1.1E-3
73	6.3E-3	2.5E-5	1.1E-5	3.8E-5	3.5E-3	1.1E-3
74	6.3E-3	2.4E-5	1.1E-5	3.8E-5	3.5E-3	1.1E-3
75	6.3E-3	2.4E-5	1.1E-5	3.8E-5	3.5E-3	1.1E-3
76	6.2E-3	2.4E-5	1.1E-5	3.7E-5	3.5E-3	1.1E-3
77	6.2E-3	2.3E-5	1.1E-5	3.7E-5	3.5E-3	1.1E-3
78	6.2E-3	2.3E-5	1.1E-5	3.7E-5	3.5E-3	1.0E-3
79	6.1E-3	2.3E-5	1.1E-5	3.6E-5	3.5E-3	1.0E-3
80	6.1E-3	2.3E-5	1.1E-5	3.6E-5	3.5E-3	1.0E-3
81	6.1E-3	2.2E-5	1.1E-5	3.6E-5	3.5E-3	9.9E-4
82	6.0E-3	2.2E-5	1.1E-5	3.5E-5	3.5E-3	9.7E-4
83	6.0E-3	2.2E-5	1.0E-5	3.5E-5	3.5E-3	9.5E-4
84	6.0E-3	2.2E-5	1.0E-5	3.5E-5	3.4E-3	9.4E-4
85	5.9E-3	2.1E-5	1.0E-5	3.4E-5	3.4E-3	9.2E-4
86	5.9E-3	2.1E-5	1.0E-5	3.4E-5	3.4E-3	9.1E-4
87	5.9E-3	2.1E-5	1.0E-5	3.4E-5	3.4E-3	8.9E-4
88	5.8E-3	2.1E-5	9.9E-6	3.3E-5	3.4E-3	8.8E-4
89	5.8E-3	2.0E-5	9.8E-6	3.3E-5	3.4E-3	8.6E-4
90	5.8E-3	2.0E-5	9.8E-6	3.3E-5	3.4E-3	8.5E-4
91	5.7E-3	2.0E-5	9.7E-6	3.3E-5	3.4E-3	8.3E-4
92	5.7E-3	2.0E-5	9.6E-6	3.2E-5	3.4E-3	8.2E-4
93	5.7E-3	2.0E-5	9.5E-6	3.2E-5	3.4E-3	8.1E-4
94	5.7E-3	1.9E-5	9.4E-6	3.2E-5	3.4E-3	7.9E-4
95	5.6E-3	1.9E-5	9.3E-6	3.1E-5	3.4E-3	7.8E-4
96	5.6E-3	1.9E-5	9.3E-6	3.1E-5	3.4E-3	7.7E-4
97	5.6E-3	1.9E-5	9.2E-6	3.1E-5	3.4E-3	7.5E-4
98	5.5E-3	1.8E-5	9.1E-6	3.1E-5	3.4E-3	7.4E-4
99	5.5E-3	1.8E-5	9.0E-6	3.0E-5	3.4E-3	7.3E-4
100	5.5E-3	1.8E-5	8.9E-6	3.0E-5	3.4E-3	7.2E-4
110	5.2E-3	1.6E-5	8.2E-6	2.7E-5	3.3E-3	6.1E-4
120	5.0E-3	1.4E-5	7.6E-6	2.5E-5	3.2E-3	5.1E-4
130	4.8E-3	1.3E-5	7.1E-6	2.3E-5	3.2E-3	4.3E-4
140	4.6E-3	1.1E-5	6.6E-6	2.1E-5	3.1E-3	3.7E-4
150	4.5E-3	9.9E-6	6.2E-6	1.9E-5	3.1E-3	3.1E-4
160	4.3E-3	8.7E-6	5.8E-6	1.8E-5	3.0E-3	2.7E-4
170	4.2E-3	7.7E-6	5.5E-6	1.6E-5	3.0E-3	2.3E-4
180	4.0E-3	6.8E-6	5.2E-6	1.5E-5	2.9E-3	1.9E-4
190	3.9E-3	6.0E-6	4.9E-6	1.4E-5	2.9E-3	1.6E-4
200	3.8E-3	5.3E-6	4.6E-6	1.3E-5	2.9E-3	1.4E-4
210	3.7E-3	4.7E-6	4.4E-6	1.2E-5	2.8E-3	1.2E-4
220	3.6E-3	4.1E-6	4.2E-6	1.1E-5	2.8E-3	1.0E-4
230	3.6E-3	3.7E-6	4.0E-6	1.0E-5	2.7E-3	8.7E-5
240	3.5E-3	3.2E-6	3.9E-6	9.5E-6	2.7E-3	7.5E-5
250	3.4E-3	2.9E-6	3.7E-6	8.9E-6	2.7E-3	6.5E-5
260	3.4E-3	2.5E-6	3.6E-6	8.4E-6	2.6E-3	5.6E-5
270	3.3E-3	2.3E-6	3.4E-6	7.9E-6	2.6E-3	4.9E-5
280	3.2E-3	2.0E-6	3.3E-6	7.4E-6	2.5E-3	4.2E-5
290	3.2E-3	1.8E-6	3.2E-6	7.0E-6	2.5E-3	3.7E-5
300	3.1E-3	1.6E-6	3.1E-6	6.6E-6	2.5E-3	3.3E-5
310	3.1E-3	1.4E-6	2.9E-6	6.3E-6	2.5E-3	2.9E-5
320	3.1E-3	1.3E-6	2.8E-6	6.0E-6	2.4E-3	2.6E-5
330	3.0E-3	1.1E-6	2.8E-6	5.7E-6	2.4E-3	2.3E-5
340	3.0E-3	1.0E-6	2.7E-6	5.4E-6	2.4E-3	2.0E-5
350	2.9E-3	9.2E-7	2.6E-6	5.2E-6	2.3E-3	1.8E-5
360	2.9E-3	8.3E-7	2.5E-6	4.9E-6	2.3E-3	1.7E-5
365	2.9E-3	7.9E-7	2.4E-6	4.8E-6	2.3E-3	1.6E-5
370	2.9E-3	7.6E-7	2.4E-6	4.7E-6	2.3E-3	1.5E-5
380	2.8E-3	6.9E-7	2.3E-6	4.5E-6	2.3E-3	1.4E-5
390	2.8E-3	6.3E-7	2.3E-6	4.4E-6	2.2E-3	1.3E-5
400	2.8E-3	5.8E-7	2.2E-6	4.2E-6	2.2E-3	1.2E-5
410	2.8E-3	5.4E-7	2.1E-6	4.0E-6	2.2E-3	1.1E-5
420	2.7E-3	5.0E-7	2.0E-6	3.9E-6	2.2E-3	1.1E-5
430	2.7E-3	4.7E-7	2.0E-6	3.7E-6	2.1E-3	1.0E-5
440	2.7E-3	4.4E-7	1.9E-6	3.6E-6	2.1E-3	9.8E-6
450	2.7E-3	4.1E-7	1.9E-6	3.5E-6	2.1E-3	9.3E-6
460	2.6E-3	3.9E-7	1.8E-6	3.3E-6	2.1E-3	9.0E-6
470	2.6E-3	3.7E-7	1.8E-6	3.2E-6	2.1E-3	8.7E-6
480	2.6E-3	3.5E-7	1.7E-6	3.1E-6	2.0E-3	8.4E-6
490	2.6E-3	3.3E-7	1.6E-6	3.0E-6	2.0E-3	8.1E-6
500	2.6E-3	3.2E-7	1.6E-6	2.9E-6	2.0E-3	7.9E-6
510	2.5E-3	3.1E-7	1.5E-6	2.8E-6	2.0E-3	7.7E-6
520	2.5E-3	3.0E-7	1.5E-6	2.7E-6	2.0E-3	7.6E-6
530	2.5E-3	2.9E-7	1.5E-6	2.7E-6	2.0E-3	7.4E-6
540	2.5E-3	2.8E-7	1.4E-6	2.6E-6	1.9E-3	7.3E-6
550	2.5E-3	2.7E-7	1.4E-6	2.5E-6	1.9E-3	7.2E-6
560	2.5E-3	2.6E-7	1.3E-6	2.4E-6	1.9E-3	7.0E-6
570	2.4E-3	2.6E-7	1.3E-6	2.3E-6	1.9E-3	6.9E-6
580	2.4E-3	2.5E-7	1.2E-6	2.3E-6	1.9E-3	6.9E-6
590	2.4E-3	2.5E-7	1.2E-6	2.2E-6	1.9E-3	6.8E-6
600	2.4E-3	2.4E-7	1.2E-6	2.1E-6	1.9E-3	6.7E-6
610	2.4E-3	2.4E-7	1.1E-6	2.1E-6	1.8E-3	6.6E-6
620	2.4E-3	2.4E-7	1.1E-6	2.0E-6	1.8E-3	6.5E-6
630	2.3E-3	2.3E-7	1.1E-6	1.9E-6	1.8E-3	6.5E-6
640	2.3E-3	2.3E-7	1.0E-6	1.9E-6	1.8E-3	6.4E-6
650	2.3E-3	2.3E-7	1.0E-6	1.8E-6	1.8E-3	6.4E-6
660	2.3E-3	2.2E-7	9.8E-7	1.8E-6	1.8E-3	6.3E-6
670	2.3E-3	2.2E-7	9.5E-7	1.7E-6	1.8E-3	6.3E-6
680	2.3E-3	2.2E-7	9.2E-7	1.7E-6	1.8E-3	6.2E-6
690	2.3E-3	2.2E-7	8.9E-7	1.6E-6	1.7E-3	6.2E-6
700	2.3E-3	2.2E-7	8.7E-7	1.6E-6	1.7E-3	6.1E-6
710	2.3E-3	2.1E-7	8.4E-7	1.5E-6	1.7E-3	6.1E-6
720	2.2E-3	2.1E-7	8.2E-7	1.5E-6	1.7E-3	6.0E-6
730	2.2E-3	2.1E-7	7.9E-7	1.5E-6	1.7E-3	6.0E-6
740	2.2E-3	2.1E-7	7.7E-7	1.4E-6	1.7E-3	6.0E-6
750	2.2E-3	2.1E-7	7.5E-7	1.4E-6	1.7E-3	5.9E-6
760	2.2E-3	2.1E-7	7.2E-7	1.3E-6	1.7E-3	5.9E-6
770	2.2E-3	2.0E-7	7.0E-7	1.3E-6	1.7E-3	5.9E-6
780	2.2E-3	2.0E-7	6.8E-7	1.3E-6	1.7E-3	5.8E-6
790	2.2E-3	2.0E-7	6.6E-7	1.2E-6	1.7E-3	5.8E-6
800	2.2E-3	2.0E-7	6.4E-7	1.2E-6	1.6E-3	5.8E-6
810	2.2E-3	2.0E-7	6.2E-7	1.2E-6	1.6E-3	5.7E-6
820	2.2E-3	2.0E-7	6.1E-7	1.1E-6	1.6E-3	5.7E-6
830	2.1E-3	2.0E-7	5.9E-7	1.1E-6	1.6E-3	5.7E-6
840	2.1E-3	2.0E-7	5.7E-7	1.1E-6	1.6E-3	5.6E-6
850	2.1E-3	2.0E-7	5.5E-7	1.0E-6	1.6E-3	5.6E-6
860	2.1E-3	1.9E-7	5.4E-7	1.0E-6	1.6E-3	5.6E-6
870	2.1E-3	1.9E-7	5.2E-7	9.8E-7	1.6E-3	5.6E-6
880	2.1E-3	1.9E-7	5.1E-7	9.5E-7	1.6E-3	5.5E-6
890	2.1E-3	1.9E-7	4.9E-7	9.3E-7	1.6E-3	5.5E-6
900	2.1E-3	1.9E-7	4.8E-7	9.0E-7	1.6E-3	5.5E-6
910	2.1E-3	1.9E-7	4.6E-7	8.8E-7	1.6E-3	5.5E-6
920	2.1E-3	1.9E-7	4.5E-7	8.6E-7	1.6E-3	5.4E-6
930	2.1E-3	1.9E-7	4.4E-7	8.3E-7	1.6E-3	5.4E-6
940	2.1E-3	1.9E-7	4.2E-7	8.1E-7	1.6E-3	5.4E-6
950	2.1E-3	1.9E-7	4.1E-7	7.9E-7	1.5E-3	5.4E-6
960	2.1E-3	1.9E-7	4.0E-7	7.7E-7	1.5E-3	5.4E-6
970	2.1E-3	1.9E-7	3.9E-7	7.5E-7	1.5E-3	5.3E-6
980	2.0E-3	1.9E-7	3.8E-7	7.3E-7	1.5E-3	5.3E-6
990	2.0E-3	1.8E-7	3.7E-7	7.1E-7	1.5E-3	5.3E-6
1000	2.0E-3	1.8E-7	3.6E-7	6.9E-7	1.5E-3	5.3E-6
1010	2.0E-3	1.8E-7	3.5E-7	6.8E-7	1.5E-3	5.3E-6
1020	2.0E-3	1.8E-7	3.4E-7	6.6E-7	1.5E-3	5.2E-6
1030	2.0E-3	1.8E-7	3.3E-7	6.4E-7	1.5E-3	5.2E-6
1040	2.0E-3	1.8E-7	3.2E-7	6.3E-7	1.5E-3	5.2E-6
1050	2.0E-3	1.8E-7	3.1E-7	6.1E-7	1.5E-3	5.2E-6
1060	2.0E-3	1.8E-7	3.0E-7	5.9E-7	1.5E-3	5.2E-6
1070	2.0E-3	1.8E-7	2.9E-7	5.8E-7	1.5E-3	5.2E-6
1080	2.0E-3	1.8E-7	2.8E-7	5.7E-7	1.5E-3	5.2E-6
1090	2.0E-3	1.8E-7	2.7E-7	5.5E-7	1.5E-3	5.1E-6
1095	2.0E-3	1.8E-7	2.7E-7	5.4E-7	1.5E-3	5.1E-6
1100	2.0E-3	1.8E-7	2.7E-7	5.4E-7	1.5E-3	5.1E-6
1200	1.9E-3	1.7E-7	2.0E-7	4.2E-7	1.4E-3	5.0E-6
1300	1.9E-3	1.7E-7	1.5E-7	3.4E-7	1.4E-3	4.9E-6
1400	1.9E-3	1.7E-7	1.2E-7	2.8E-7	1.4E-3	4.8E-6
1500	1.9E-3	1.6E-7	9.3E-8	2.3E-7	1.4E-3	4.7E-6
1600	1.8E-3	1.6E-7	7.4E-8	2.0E-7	1.3E-3	4.6E-6
1700	1.8E-3	1.6E-7	6.0E-8	1.7E-7	1.3E-3	4.6E-6
1800	1.8E-3	1.6E-7	4.9E-8	1.6E-7	1.3E-3	4.5E-6
1900	1.8E-3	1.6E-7	4.2E-8	1.4E-7	1.3E-3	4.5E-6
2000	1.7E-3	1.5E-7	3.6E-8	1.3E-7	1.3E-3	4.4E-6
2100	1.7E-3	1.5E-7	3.2E-8	1.2E-7	1.3E-3	4.4E-6
2200	1.7E-3	1.5E-7	2.9E-8	1.2E-7	1.3E-3	4.3E-6
2300	1.7E-3	1.5E-7	2.6E-8	1.1E-7	1.2E-3	4.3E-6
2400	1.7E-3	1.5E-7	2.5E-8	1.1E-7	1.2E-3	4.2E-6
2500	1.7E-3	1.5E-7	2.3E-8	1.1E-7	1.2E-3	4.2E-6
2600	1.6E-3	1.4E-7	2.2E-8	1.0E-7	1.2E-3	4.1E-6
2700	1.6E-3	1.4E-7	2.1E-8	1.0E-7	1.2E-3	4.1E-6
2800	1.6E-3	1.4E-7	2.1E-8	9.9E-8	1.2E-3	4.1E-6
2900	1.6E-3	1.4E-7	2.0E-8	9.8E-8	1.2E-3	4.0E-6
3000	1.6E-3	1.4E-7	2.0E-8	9.6E-8	1.2E-3	4.0E-6
3100	1.6E-3	1.4E-7	1.9E-8	9.5E-8	1.1E-3	3.9E-6
3200	1.5E-3	1.4E-7	1.9E-8	9.4E-8	1.1E-3	3.9E-6
3300	1.5E-3	1.3E-7	1.9E-8	9.3E-8	1.1E-3	3.9E-6
3400	1.5E-3	1.3E-7	1.8E-8	9.2E-8	1.1E-3	3.8E-6
3500	1.5E-3	1.3E-7	1.8E-8	9.1E-8	1.1E-3	3.8E-6
3600	1.5E-3	1.3E-7	1.8E-8	9.0E-8	1.1E-3	3.7E-6
3650	1.5E-3	1.3E-7	1.8E-8	8.9E-8	1.1E-3	3.7E-6
4000	1.4E-3	1.3E-7	1.7E-8	8.6E-8	1.0E-3	3.6E-6
5000	1.3E-3	1.1E-7	1.6E-8	7.8E-8	9.4E-4	3.2E-6
6000	1.2E-3	1.0E-7	1.4E-8	7.1E-8	8.5E-4	2.9E-6
7000	1.1E-3	9.3E-8	1.3E-8	6.4E-8	7.7E-4	2.7E-6
8000	9.5E-4	8.4E-8	1.2E-8	5.8E-8	7.0E-4	2.4E-6
9000	8.6E-4	7.6E-8	1.0E-8	5.2E-8	6.3E-4	2.2E-6
10000	7.8E-4	6.8E-8	9.4E-9	4.7E-8	5.7E-4	2.0E-6
11000	7.0E-4	6.2E-8	8.5E-9	4.3E-8	5.2E-4	1.8E-6
12000	6.4E-4	5.6E-8	7.7E-9	3.9E-8	4.7E-4	1.6E-6
13000	5.8E-4	5.1E-8	7.0E-9	3.5E-8	4.2E-4	1.5E-6
14000	5.2E-4	4.6E-8	6.3E-9	3.2E-8	3.8E-4	1.3E-6
15000	4.7E-4	4.1E-8	5.7E-9	2.9E-8	3.5E-4	1.2E-6
16000	4.3E-4	3.7E-8	5.2E-9	2.6E-8	3.1E-4	1.1E-6
17000	3.9E-4	3.4E-8	4.7E-9	2.3E-8	2.8E-4	9.7E-7
18000	3.5E-4	3.1E-8	4.2E-9	2.1E-8	2.6E-4	8.8E-7
18250	3.4E-4	3.0E-8	4.1E-9	2.1E-8	2.5E-4	8.6E-7
