Radionuclide	Mo-93
Route of Intake	Injection
Material	Injection, fA=0.9
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Liver*
0.041667	9.6E-1	-	-	3.6E-2	3.7E-1
0.083333	9.1E-1	-	-	2.5E-2	4.4E-1
0.125	8.7E-1	-	-	2.1E-2	4.5E-1
0.25	8.1E-1	-	-	1.5E-2	4.4E-1
0.375	7.9E-1	-	-	1.1E-2	4.4E-1
0.5	7.7E-1	-	-	8.8E-3	4.3E-1
0.625	7.5E-1	-	-	7.5E-3	4.3E-1
0.75	7.3E-1	-	-	6.7E-3	4.3E-1
0.875	7.2E-1	-	-	6.3E-3	4.2E-1
1	7.0E-1	3.0E-1	2.0E-4	6.1E-3	4.2E-1
1.125	6.9E-1	-	-	6.0E-3	4.2E-1
1.25	6.8E-1	-	-	5.9E-3	4.2E-1
1.375	6.7E-1	-	-	6.0E-3	4.2E-1
1.5	6.6E-1	-	-	6.0E-3	4.2E-1
1.625	6.6E-1	-	-	6.1E-3	4.2E-1
1.75	6.5E-1	-	-	6.1E-3	4.2E-1
1.875	6.4E-1	-	-	6.2E-3	4.1E-1
2	6.4E-1	6.4E-2	1.1E-3	6.2E-3	4.1E-1
2.25	6.3E-1	-	-	6.3E-3	4.1E-1
2.5	6.2E-1	-	-	6.4E-3	4.1E-1
2.75	6.2E-1	-	-	6.4E-3	4.1E-1
3	6.2E-1	2.1E-2	1.7E-3	6.4E-3	4.1E-1
3.25	6.1E-1	-	-	6.5E-3	4.1E-1
3.5	6.1E-1	-	-	6.5E-3	4.0E-1
3.75	6.1E-1	-	-	6.5E-3	4.0E-1
4	6.0E-1	9.4E-3	1.9E-3	6.5E-3	4.0E-1
4.25	6.0E-1	-	-	6.4E-3	4.0E-1
4.5	6.0E-1	-	-	6.4E-3	4.0E-1
4.75	6.0E-1	-	-	6.4E-3	4.0E-1
5	6.0E-1	6.4E-3	1.9E-3	6.4E-3	3.9E-1
5.5	5.9E-1	-	-	6.4E-3	3.9E-1
6	5.9E-1	5.6E-3	1.9E-3	6.4E-3	3.9E-1
6.5	5.9E-1	-	-	6.3E-3	3.8E-1
7	5.8E-1	5.4E-3	1.9E-3	6.3E-3	3.8E-1
7.5	5.8E-1	-	-	6.3E-3	3.8E-1
8	5.7E-1	5.3E-3	1.9E-3	6.2E-3	3.7E-1
8.5	5.7E-1	-	-	6.2E-3	3.7E-1
9	5.7E-1	5.3E-3	1.8E-3	6.2E-3	3.7E-1
9.5	5.6E-1	-	-	6.2E-3	3.6E-1
10	5.6E-1	5.2E-3	1.8E-3	6.1E-3	3.6E-1
11	5.5E-1	5.2E-3	1.8E-3	6.1E-3	3.6E-1
12	5.5E-1	5.1E-3	1.7E-3	6.0E-3	3.5E-1
13	5.4E-1	5.1E-3	1.7E-3	6.0E-3	3.4E-1
14	5.3E-1	5.0E-3	1.7E-3	5.9E-3	3.4E-1
15	5.3E-1	5.0E-3	1.6E-3	5.8E-3	3.3E-1
16	5.2E-1	4.9E-3	1.6E-3	5.8E-3	3.3E-1
17	5.1E-1	4.9E-3	1.6E-3	5.7E-3	3.2E-1
18	5.1E-1	4.8E-3	1.6E-3	5.7E-3	3.2E-1
19	5.0E-1	4.8E-3	1.5E-3	5.6E-3	3.1E-1
20	4.9E-1	4.7E-3	1.5E-3	5.6E-3	3.0E-1
21	4.9E-1	4.7E-3	1.5E-3	5.5E-3	3.0E-1
22	4.8E-1	4.6E-3	1.5E-3	5.5E-3	2.9E-1
23	4.8E-1	4.6E-3	1.4E-3	5.4E-3	2.9E-1
24	4.7E-1	4.5E-3	1.4E-3	5.3E-3	2.8E-1
25	4.6E-1	4.5E-3	1.4E-3	5.3E-3	2.8E-1
26	4.6E-1	4.5E-3	1.4E-3	5.2E-3	2.8E-1
27	4.5E-1	4.4E-3	1.3E-3	5.2E-3	2.7E-1
28	4.5E-1	4.4E-3	1.3E-3	5.1E-3	2.7E-1
29	4.4E-1	4.3E-3	1.3E-3	5.1E-3	2.6E-1
30	4.4E-1	4.3E-3	1.3E-3	5.0E-3	2.6E-1
31	4.3E-1	4.2E-3	1.3E-3	5.0E-3	2.5E-1
32	4.3E-1	4.2E-3	1.2E-3	4.9E-3	2.5E-1
33	4.2E-1	4.2E-3	1.2E-3	4.9E-3	2.4E-1
34	4.1E-1	4.1E-3	1.2E-3	4.8E-3	2.4E-1
35	4.1E-1	4.1E-3	1.2E-3	4.8E-3	2.4E-1
36	4.0E-1	4.0E-3	1.2E-3	4.7E-3	2.3E-1
37	4.0E-1	4.0E-3	1.1E-3	4.7E-3	2.3E-1
38	3.9E-1	3.9E-3	1.1E-3	4.6E-3	2.2E-1
39	3.9E-1	3.9E-3	1.1E-3	4.6E-3	2.2E-1
40	3.8E-1	3.9E-3	1.1E-3	4.5E-3	2.2E-1
41	3.8E-1	3.8E-3	1.1E-3	4.5E-3	2.1E-1
42	3.7E-1	3.8E-3	1.0E-3	4.4E-3	2.1E-1
43	3.7E-1	3.7E-3	1.0E-3	4.4E-3	2.1E-1
44	3.6E-1	3.7E-3	1.0E-3	4.3E-3	2.0E-1
45	3.6E-1	3.7E-3	9.9E-4	4.3E-3	2.0E-1
46	3.6E-1	3.6E-3	9.7E-4	4.3E-3	2.0E-1
47	3.5E-1	3.6E-3	9.6E-4	4.2E-3	1.9E-1
48	3.5E-1	3.6E-3	9.4E-4	4.2E-3	1.9E-1
49	3.4E-1	3.5E-3	9.2E-4	4.1E-3	1.9E-1
50	3.4E-1	3.5E-3	9.1E-4	4.1E-3	1.8E-1
51	3.3E-1	3.4E-3	8.9E-4	4.0E-3	1.8E-1
52	3.3E-1	3.4E-3	8.8E-4	4.0E-3	1.8E-1
53	3.2E-1	3.4E-3	8.6E-4	3.9E-3	1.7E-1
54	3.2E-1	3.3E-3	8.5E-4	3.9E-3	1.7E-1
55	3.2E-1	3.3E-3	8.3E-4	3.9E-3	1.7E-1
56	3.1E-1	3.3E-3	8.2E-4	3.8E-3	1.7E-1
57	3.1E-1	3.2E-3	8.1E-4	3.8E-3	1.6E-1
58	3.0E-1	3.2E-3	7.9E-4	3.7E-3	1.6E-1
59	3.0E-1	3.2E-3	7.8E-4	3.7E-3	1.6E-1
60	3.0E-1	3.1E-3	7.7E-4	3.6E-3	1.5E-1
61	2.9E-1	3.1E-3	7.5E-4	3.6E-3	1.5E-1
62	2.9E-1	3.0E-3	7.4E-4	3.6E-3	1.5E-1
63	2.9E-1	3.0E-3	7.3E-4	3.5E-3	1.5E-1
64	2.8E-1	3.0E-3	7.2E-4	3.5E-3	1.4E-1
65	2.8E-1	2.9E-3	7.0E-4	3.4E-3	1.4E-1
66	2.7E-1	2.9E-3	6.9E-4	3.4E-3	1.4E-1
67	2.7E-1	2.9E-3	6.8E-4	3.4E-3	1.4E-1
68	2.7E-1	2.9E-3	6.7E-4	3.3E-3	1.3E-1
69	2.6E-1	2.8E-3	6.6E-4	3.3E-3	1.3E-1
70	2.6E-1	2.8E-3	6.5E-4	3.3E-3	1.3E-1
71	2.6E-1	2.8E-3	6.4E-4	3.2E-3	1.3E-1
72	2.5E-1	2.7E-3	6.2E-4	3.2E-3	1.3E-1
73	2.5E-1	2.7E-3	6.1E-4	3.1E-3	1.2E-1
74	2.5E-1	2.7E-3	6.0E-4	3.1E-3	1.2E-1
75	2.4E-1	2.6E-3	5.9E-4	3.1E-3	1.2E-1
76	2.4E-1	2.6E-3	5.8E-4	3.0E-3	1.2E-1
77	2.4E-1	2.6E-3	5.7E-4	3.0E-3	1.2E-1
78	2.3E-1	2.5E-3	5.6E-4	3.0E-3	1.1E-1
79	2.3E-1	2.5E-3	5.5E-4	2.9E-3	1.1E-1
80	2.3E-1	2.5E-3	5.5E-4	2.9E-3	1.1E-1
81	2.3E-1	2.5E-3	5.4E-4	2.9E-3	1.1E-1
82	2.2E-1	2.4E-3	5.3E-4	2.8E-3	1.1E-1
83	2.2E-1	2.4E-3	5.2E-4	2.8E-3	1.0E-1
84	2.2E-1	2.4E-3	5.1E-4	2.8E-3	1.0E-1
85	2.1E-1	2.3E-3	5.0E-4	2.7E-3	1.0E-1
86	2.1E-1	2.3E-3	4.9E-4	2.7E-3	9.9E-2
87	2.1E-1	2.3E-3	4.8E-4	2.7E-3	9.8E-2
88	2.1E-1	2.3E-3	4.8E-4	2.6E-3	9.6E-2
89	2.0E-1	2.2E-3	4.7E-4	2.6E-3	9.4E-2
90	2.0E-1	2.2E-3	4.6E-4	2.6E-3	9.3E-2
91	2.0E-1	2.2E-3	4.5E-4	2.5E-3	9.1E-2
92	1.9E-1	2.2E-3	4.4E-4	2.5E-3	9.0E-2
93	1.9E-1	2.1E-3	4.4E-4	2.5E-3	8.8E-2
94	1.9E-1	2.1E-3	4.3E-4	2.5E-3	8.7E-2
95	1.9E-1	2.1E-3	4.2E-4	2.4E-3	8.5E-2
96	1.8E-1	2.1E-3	4.2E-4	2.4E-3	8.4E-2
