Radionuclide	Mo-93
Route of Intake	Inhalation
Material	Aerosols Type M, Oxide and all unspecified forms, fA=0.18
AMTD/AMAD, µm	20

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Liver*
0.041667	6.6E-1	-	-	2.4E-1	1.4E-2	1.1E-3
0.083333	6.5E-1	-	-	2.6E-1	1.3E-2	3.7E-3
0.125	6.4E-1	-	-	2.8E-1	1.2E-2	7.2E-3
0.25	6.1E-1	-	-	3.1E-1	1.1E-2	1.8E-2
0.375	5.9E-1	-	-	3.4E-1	1.0E-2	2.5E-2
0.5	5.7E-1	-	-	3.6E-1	9.7E-3	3.0E-2
0.625	5.5E-1	-	-	3.6E-1	9.3E-3	3.3E-2
0.75	5.3E-1	-	-	3.7E-1	8.9E-3	3.6E-2
0.875	5.0E-1	-	-	3.6E-1	8.6E-3	3.7E-2
1	4.8E-1	2.3E-2	6.4E-2	3.5E-1	8.3E-3	3.9E-2
1.125	4.5E-1	-	-	3.3E-1	8.1E-3	4.0E-2
1.25	4.2E-1	-	-	3.1E-1	7.9E-3	4.0E-2
1.375	3.9E-1	-	-	2.9E-1	7.8E-3	4.1E-2
1.5	3.6E-1	-	-	2.7E-1	7.7E-3	4.1E-2
1.625	3.4E-1	-	-	2.5E-1	7.6E-3	4.2E-2
1.75	3.1E-1	-	-	2.2E-1	7.5E-3	4.2E-2
1.875	2.8E-1	-	-	2.0E-1	7.4E-3	4.2E-2
2	2.6E-1	1.1E-2	1.9E-1	1.8E-1	7.3E-3	4.2E-2
2.25	2.2E-1	-	-	1.4E-1	7.2E-3	4.2E-2
2.5	1.8E-1	-	-	1.1E-1	7.1E-3	4.2E-2
2.75	1.6E-1	-	-	8.3E-2	7.0E-3	4.2E-2
3	1.3E-1	4.1E-3	1.2E-1	6.2E-2	6.9E-3	4.2E-2
3.25	1.2E-1	-	-	4.6E-2	6.9E-3	4.2E-2
3.5	1.0E-1	-	-	3.4E-2	6.8E-3	4.1E-2
3.75	9.3E-2	-	-	2.4E-2	6.8E-3	4.1E-2
4	8.6E-2	1.6E-3	4.5E-2	1.8E-2	6.7E-3	4.1E-2
4.25	8.1E-2	-	-	1.3E-2	6.6E-3	4.1E-2
4.5	7.7E-2	-	-	9.2E-3	6.6E-3	4.1E-2
4.75	7.4E-2	-	-	6.7E-3	6.5E-3	4.1E-2
5	7.2E-2	8.4E-4	1.3E-2	4.9E-3	6.5E-3	4.0E-2
5.5	7.0E-2	-	-	2.7E-3	6.4E-3	4.0E-2
6	6.8E-2	6.4E-4	3.5E-3	1.7E-3	6.3E-3	4.0E-2
6.5	6.7E-2	-	-	1.2E-3	6.3E-3	3.9E-2
7	6.7E-2	5.9E-4	1.0E-3	1.0E-3	6.2E-3	3.9E-2
7.5	6.6E-2	-	-	8.8E-4	6.1E-3	3.9E-2
8	6.6E-2	5.7E-4	4.4E-4	8.2E-4	6.1E-3	3.9E-2
8.5	6.5E-2	-	-	7.9E-4	6.0E-3	3.8E-2
9	6.5E-2	5.6E-4	3.0E-4	7.7E-4	6.0E-3	3.8E-2
9.5	6.4E-2	-	-	7.5E-4	5.9E-3	3.8E-2
10	6.4E-2	5.5E-4	2.6E-4	7.4E-4	5.9E-3	3.7E-2
11	6.3E-2	5.5E-4	2.4E-4	7.1E-4	5.8E-3	3.7E-2
12	6.2E-2	5.4E-4	2.3E-4	6.9E-4	5.7E-3	3.6E-2
13	6.2E-2	5.3E-4	2.2E-4	6.8E-4	5.6E-3	3.5E-2
14	6.1E-2	5.3E-4	2.1E-4	6.6E-4	5.6E-3	3.5E-2
15	6.0E-2	5.2E-4	2.0E-4	6.5E-4	5.5E-3	3.4E-2
16	5.9E-2	5.2E-4	2.0E-4	6.4E-4	5.5E-3	3.4E-2
17	5.9E-2	5.1E-4	1.9E-4	6.3E-4	5.4E-3	3.3E-2
18	5.8E-2	5.1E-4	1.8E-4	6.2E-4	5.4E-3	3.3E-2
19	5.7E-2	5.0E-4	1.8E-4	6.1E-4	5.3E-3	3.2E-2
20	5.7E-2	5.0E-4	1.7E-4	6.0E-4	5.3E-3	3.2E-2
21	5.6E-2	4.9E-4	1.7E-4	5.9E-4	5.2E-3	3.1E-2
22	5.5E-2	4.9E-4	1.7E-4	5.9E-4	5.2E-3	3.1E-2
23	5.5E-2	4.9E-4	1.6E-4	5.8E-4	5.1E-3	3.0E-2
24	5.4E-2	4.8E-4	1.6E-4	5.7E-4	5.1E-3	3.0E-2
25	5.3E-2	4.8E-4	1.6E-4	5.7E-4	5.1E-3	2.9E-2
26	5.3E-2	4.7E-4	1.5E-4	5.6E-4	5.0E-3	2.9E-2
27	5.2E-2	4.7E-4	1.5E-4	5.5E-4	5.0E-3	2.8E-2
28	5.1E-2	4.6E-4	1.5E-4	5.5E-4	5.0E-3	2.8E-2
29	5.1E-2	4.6E-4	1.4E-4	5.4E-4	4.9E-3	2.7E-2
30	5.0E-2	4.5E-4	1.4E-4	5.4E-4	4.9E-3	2.7E-2
31	5.0E-2	4.5E-4	1.4E-4	5.3E-4	4.9E-3	2.6E-2
32	4.9E-2	4.4E-4	1.4E-4	5.3E-4	4.8E-3	2.6E-2
33	4.9E-2	4.4E-4	1.3E-4	5.2E-4	4.8E-3	2.5E-2
34	4.8E-2	4.4E-4	1.3E-4	5.1E-4	4.7E-3	2.5E-2
35	4.7E-2	4.3E-4	1.3E-4	5.1E-4	4.7E-3	2.5E-2
36	4.7E-2	4.3E-4	1.3E-4	5.0E-4	4.7E-3	2.4E-2
37	4.6E-2	4.2E-4	1.3E-4	5.0E-4	4.7E-3	2.4E-2
38	4.6E-2	4.2E-4	1.2E-4	4.9E-4	4.6E-3	2.3E-2
39	4.5E-2	4.2E-4	1.2E-4	4.9E-4	4.6E-3	2.3E-2
40	4.5E-2	4.1E-4	1.2E-4	4.8E-4	4.6E-3	2.3E-2
41	4.4E-2	4.1E-4	1.2E-4	4.8E-4	4.5E-3	2.2E-2
42	4.4E-2	4.0E-4	1.2E-4	4.7E-4	4.5E-3	2.2E-2
43	4.3E-2	4.0E-4	1.1E-4	4.7E-4	4.5E-3	2.2E-2
44	4.3E-2	3.9E-4	1.1E-4	4.6E-4	4.4E-3	2.1E-2
45	4.2E-2	3.9E-4	1.1E-4	4.6E-4	4.4E-3	2.1E-2
46	4.2E-2	3.9E-4	1.1E-4	4.6E-4	4.4E-3	2.1E-2
47	4.1E-2	3.8E-4	1.1E-4	4.5E-4	4.3E-3	2.0E-2
48	4.1E-2	3.8E-4	1.1E-4	4.5E-4	4.3E-3	2.0E-2
49	4.0E-2	3.8E-4	1.0E-4	4.4E-4	4.3E-3	2.0E-2
50	4.0E-2	3.7E-4	1.0E-4	4.4E-4	4.2E-3	1.9E-2
51	3.9E-2	3.7E-4	1.0E-4	4.3E-4	4.2E-3	1.9E-2
52	3.9E-2	3.6E-4	9.9E-5	4.3E-4	4.2E-3	1.9E-2
53	3.8E-2	3.6E-4	9.7E-5	4.2E-4	4.2E-3	1.8E-2
54	3.8E-2	3.6E-4	9.6E-5	4.2E-4	4.1E-3	1.8E-2
55	3.7E-2	3.5E-4	9.4E-5	4.1E-4	4.1E-3	1.8E-2
56	3.7E-2	3.5E-4	9.3E-5	4.1E-4	4.1E-3	1.7E-2
57	3.7E-2	3.5E-4	9.1E-5	4.1E-4	4.0E-3	1.7E-2
