Radionuclide	Ba-141
Route of Intake	Ingestion
Material	Insoluble forms: sulphate, titanate, fA=1E-4
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Alimentary Tract*	Skeleton*
0.041667	1.0E-1	1.0E-1	1.3E-7
0.083333	1.0E-2	1.0E-2	4.9E-8
0.125	1.1E-3	1.1E-3	9.4E-9
0.25	1.2E-6	1.2E-6	-
0.375	1.3E-9	1.3E-9	-
