Radionuclide	Ir-183
Route of Intake	Inhalation
Material	Aerosols Type S, Elemental iridium, fA=1E-4
AMTD/AMAD, µm	1

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	2.5E-1	-	7.0E-2	6.4E-2	9.1E-6	1.3E-5
0.083333	1.2E-1	-	3.9E-2	3.0E-2	7.9E-6	1.2E-5
0.125	5.8E-2	-	2.1E-2	1.5E-2	5.3E-6	7.8E-6
0.25	6.5E-3	-	2.9E-3	1.7E-3	1.0E-6	1.5E-6
0.375	7.4E-4	-	3.7E-4	1.9E-4	1.5E-7	2.2E-7
0.5	8.5E-5	-	4.6E-5	2.2E-5	2.0E-8	2.9E-8
0.625	9.6E-6	-	5.6E-6	2.6E-6	2.5E-9	3.7E-9
0.75	1.1E-6	-	6.6E-7	3.0E-7	3.1E-10	4.6E-10
0.875	1.2E-7	-	7.6E-8	3.5E-8	-	-
1	1.4E-8	1.5E-9	8.6E-9	4.0E-9	-	-
1.125	1.5E-9	-	9.6E-10	4.6E-10	-	-
1.25	1.7E-10	-	1.1E-10	-	-	-
