Radionuclide	I-133
Route of Intake	Injection
Material	Injection, fA=0.99
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Thyroid*	Liver*
0.041667	9.4E-1	-	-	1.1E-1	5.1E-2	4.1E-2
0.083333	8.6E-1	-	-	1.2E-1	7.9E-2	3.2E-2
0.125	7.9E-1	-	-	1.1E-1	1.0E-1	2.7E-2
0.25	5.8E-1	-	-	7.7E-2	1.4E-1	1.6E-2
0.375	4.3E-1	-	-	5.0E-2	1.6E-1	1.0E-2
0.5	3.4E-1	-	-	3.2E-2	1.6E-1	6.3E-3
0.625	2.7E-1	-	-	2.1E-2	1.6E-1	4.0E-3
0.75	2.2E-1	-	-	1.4E-2	1.5E-1	2.6E-3
0.875	1.8E-1	-	-	9.9E-3	1.4E-1	1.7E-3
1	1.6E-1	2.9E-1	5.7E-4	7.0E-3	1.3E-1	1.1E-3
1.125	1.4E-1	-	-	5.0E-3	1.2E-1	8.1E-4
1.25	1.2E-1	-	-	3.7E-3	1.1E-1	6.1E-4
1.375	1.1E-1	-	-	2.7E-3	9.9E-2	4.8E-4
1.5	9.6E-2	-	-	2.1E-3	9.0E-2	4.0E-4
1.625	8.6E-2	-	-	1.6E-3	8.2E-2	3.4E-4
1.75	7.7E-2	-	-	1.2E-3	7.4E-2	3.0E-4
1.875	7.0E-2	-	-	9.4E-4	6.7E-2	2.8E-4
2	6.3E-2	7.9E-3	7.4E-4	7.4E-4	6.1E-2	2.6E-4
2.25	5.1E-2	-	-	4.5E-4	5.0E-2	2.3E-4
2.5	4.2E-2	-	-	2.8E-4	4.1E-2	2.0E-4
2.75	3.4E-2	-	-	1.8E-4	3.3E-2	1.8E-4
3	2.8E-2	1.8E-4	2.0E-4	1.1E-4	2.7E-2	1.6E-4
3.25	2.3E-2	-	-	7.4E-5	2.2E-2	1.4E-4
3.5	1.9E-2	-	-	5.0E-5	1.8E-2	1.2E-4
3.75	1.5E-2	-	-	3.5E-5	1.5E-2	1.0E-4
4	1.2E-2	1.5E-5	3.2E-5	2.6E-5	1.2E-2	8.8E-5
4.25	1.0E-2	-	-	2.0E-5	9.9E-3	7.6E-5
4.5	8.3E-3	-	-	1.5E-5	8.1E-3	6.5E-5
4.75	6.8E-3	-	-	1.2E-5	6.6E-3	5.5E-5
5	5.6E-3	7.0E-6	5.6E-6	1.0E-5	5.4E-3	4.7E-5
5.5	3.7E-3	-	-	6.9E-6	3.6E-3	3.4E-5
6	2.5E-3	3.8E-6	1.6E-6	4.9E-6	2.4E-3	2.4E-5
6.5	1.7E-3	-	-	3.4E-6	1.6E-3	1.7E-5
7	1.1E-3	2.0E-6	7.3E-7	2.4E-6	1.1E-3	1.2E-5
7.5	7.5E-4	-	-	1.7E-6	7.2E-4	8.4E-6
8	5.0E-4	1.0E-6	3.6E-7	1.2E-6	4.8E-4	5.8E-6
8.5	3.4E-4	-	-	8.4E-7	3.2E-4	4.1E-6
9	2.3E-4	5.0E-7	1.8E-7	5.9E-7	2.1E-4	2.8E-6
9.5	1.5E-4	-	-	4.1E-7	1.4E-4	1.9E-6
10	1.0E-4	2.4E-7	8.8E-8	2.8E-7	9.6E-5	1.3E-6
11	4.5E-5	1.2E-7	4.2E-8	1.3E-7	4.3E-5	6.3E-7
12	2.0E-5	5.5E-8	2.0E-8	6.3E-8	1.9E-5	3.0E-7
13	9.1E-6	2.6E-8	9.5E-9	2.9E-8	8.5E-6	1.4E-7
14	4.1E-6	1.2E-8	4.4E-9	1.4E-8	3.8E-6	6.4E-8
15	1.8E-6	5.6E-9	2.1E-9	6.3E-9	1.7E-6	2.9E-8
16	8.1E-7	2.6E-9	9.6E-10	2.9E-9	7.6E-7	1.3E-8
17	3.6E-7	1.2E-9	4.4E-10	1.3E-9	3.4E-7	6.2E-9
18	1.6E-7	5.5E-10	2.0E-10	6.1E-10	1.5E-7	2.8E-9
19	7.3E-8	2.5E-10	-	2.8E-10	6.8E-8	1.3E-9
20	3.3E-8	1.1E-10	-	1.3E-10	3.0E-8	5.8E-10
21	1.5E-8	-	-	-	1.4E-8	2.6E-10
22	6.5E-9	-	-	-	6.0E-9	1.2E-10
23	2.9E-9	-	-	-	2.7E-9	-
24	1.3E-9	-	-	-	1.2E-9	-
25	5.8E-10	-	-	-	5.4E-10	-
26	2.6E-10	-	-	-	2.4E-10	-
27	1.2E-10	-	-	-	1.1E-10	-
