Radionuclide	Mo-91
Route of Intake	Inhalation
Material	Aerosols Type M, Oxide and all unspecified forms, fA=0.18
AMTD/AMAD, µm	0.1

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Alimentary Tract*	Lungs*	Liver*
0.041667	2.2E-2	1.8E-3	1.7E-2	1.2E-4
0.083333	1.5E-3	1.4E-4	1.1E-3	2.0E-5
0.125	1.0E-4	1.0E-5	7.7E-5	2.2E-6
0.25	3.2E-8	3.8E-9	2.3E-8	1.4E-9
