Radionuclide	Mo-91
Route of Intake	Inhalation
Material	Aerosols Type S, fA=9E-3
AMTD/AMAD, µm	0.001

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Alimentary Tract*	Lungs*	Liver*
0.041667	6.7E-2	2.2E-2	1.1E-2	7.7E-6
0.083333	4.4E-3	1.7E-3	6.2E-4	1.5E-6
0.125	3.0E-4	1.3E-4	3.9E-5	1.9E-7
0.25	9.3E-8	5.1E-8	1.0E-8	1.4E-10
