Radionuclide	Te-131
Route of Intake	Ingestion
Material	All forms, fA=0.3
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Alimentary Tract*	Thyroid*	Skeleton*	Liver*
0.041667	1.9E-1	1.9E-1	3.8E-6	4.1E-4	5.8E-4
0.083333	3.6E-2	3.3E-2	2.2E-6	2.2E-4	3.1E-4
0.125	6.8E-3	5.9E-3	7.4E-7	6.6E-5	9.6E-5
0.25	4.6E-5	3.6E-5	1.1E-8	7.6E-7	1.1E-6
0.375	3.0E-7	2.3E-7	1.1E-10	5.9E-9	9.1E-9
0.5	2.0E-9	1.5E-9	-	-	-
