Radionuclide	Re-188m
Route of Intake	Inhalation
Material	Aerosols Type M, fA=0.18
AMTD/AMAD, µm	20

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Alimentary Tract*	Lungs*	Thyroid*	Skeleton*	Liver*
0.041667	7.0E-2	2.6E-2	1.5E-3	1.1E-5	1.7E-5	3.7E-5
0.083333	7.4E-3	3.0E-3	1.4E-4	2.9E-6	4.5E-6	1.1E-5
0.125	7.8E-4	3.4E-4	1.4E-5	4.9E-7	8.1E-7	2.2E-6
0.25	9.2E-7	4.8E-7	1.5E-8	1.0E-9	2.2E-9	6.1E-9
0.375	1.1E-9	6.4E-10	-	-	-	-
