Radionuclide	Br-83
Route of Intake	Inhalation
Material	Aerosols Type F, fA=0.99
AMTD/AMAD, µm	1

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*
0.041667	3.8E-1	-	-	4.9E-2	3.1E-2
0.083333	2.8E-1	-	-	2.2E-2	8.4E-3
0.125	2.1E-1	-	-	1.2E-2	3.2E-3
0.25	8.5E-2	-	-	3.3E-3	9.4E-4
0.375	3.5E-2	-	-	1.2E-3	4.2E-4
0.5	1.4E-2	-	-	4.8E-4	1.8E-4
0.625	5.9E-3	-	-	1.9E-4	7.9E-5
0.75	2.4E-3	-	-	7.5E-5	3.4E-5
0.875	1.0E-3	-	-	3.0E-5	1.5E-5
1	4.2E-4	1.9E-5	4.8E-7	1.2E-5	6.2E-6
1.125	1.7E-4	-	-	4.9E-6	2.6E-6
1.25	7.3E-5	-	-	2.0E-6	1.1E-6
1.375	3.0E-5	-	-	8.0E-7	4.6E-7
1.5	1.3E-5	-	-	3.3E-7	1.9E-7
1.625	5.3E-6	-	-	1.3E-7	8.1E-8
1.75	2.2E-6	-	-	5.5E-8	3.4E-8
1.875	9.1E-7	-	-	2.3E-8	1.4E-8
2	3.8E-7	2.2E-8	1.1E-9	9.3E-9	6.0E-9
2.25	6.6E-8	-	-	1.6E-9	1.0E-9
2.5	1.2E-8	-	-	2.7E-10	1.8E-10
2.75	2.0E-9	-	-	-	-
3	3.5E-10	-	-	-	-
