Radionuclide	Ba-131m
Route of Intake	Inhalation
Material	Aerosols Type S, fA=2E-3
AMTD/AMAD, µm	10

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Alimentary Tract*	Lungs*	Skeleton*
0.041667	4.5E-2	1.6E-2	2.2E-3	1.9E-6
0.083333	2.5E-3	1.0E-3	1.2E-4	2.2E-7
0.125	1.4E-4	6.5E-5	6.5E-6	2.0E-8
0.25	2.7E-8	1.5E-8	1.2E-9	-
