Radionuclide	Ba-131m
Route of Intake	Ingestion
Material	Insoluble forms: sulphate, titanate, fA=1E-4
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Alimentary Tract*	Skeleton*
0.041667	5.9E-2	5.9E-2	7.5E-8
0.083333	3.3E-3	3.3E-3	1.6E-8
0.125	1.9E-4	1.9E-4	1.7E-9
0.25	3.8E-8	3.8E-8	-
