Radionuclide	U-238
Route of Intake	Inhalation
Material	Aerosols Type F, Uranium hexafluoride, uranyl tributyl-phosphate, fA=2E-2
AMTD/AMAD, µm	0.1

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Th-234)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Th-234)	Lungs* (Th-234)	Skeleton* (Th-234)	Liver* (Th-234)
0.041667	3.9E-4	-	-	3.4E-5	2.1E-4	1.0E-5	8.8E-6
0.083333	7.5E-4	-	-	8.2E-5	3.0E-4	4.1E-5	2.5E-5
0.125	1.1E-3	-	-	1.3E-4	3.1E-4	8.7E-5	4.0E-5
0.25	1.9E-3	-	-	3.0E-4	2.2E-4	2.8E-4	7.5E-5
0.375	2.5E-3	-	-	4.7E-4	1.4E-4	5.0E-4	9.3E-5
0.5	3.0E-3	-	-	6.4E-4	9.1E-5	7.1E-4	1.1E-4
0.625	3.5E-3	-	-	8.0E-4	6.7E-5	9.1E-4	1.2E-4
0.75	4.0E-3	-	-	9.6E-4	5.4E-5	1.1E-3	1.3E-4
0.875	4.4E-3	-	-	1.1E-3	4.6E-5	1.3E-3	1.4E-4
1	4.8E-3	1.7E-1	7.4E-3	1.2E-3	4.2E-5	1.5E-3	1.5E-4
1.125	5.2E-3	-	-	1.3E-3	3.9E-5	1.6E-3	1.6E-4
1.25	5.6E-3	-	-	1.3E-3	3.7E-5	1.8E-3	1.8E-4
1.375	5.9E-3	-	-	1.4E-3	3.6E-5	2.0E-3	1.9E-4
1.5	6.2E-3	-	-	1.4E-3	3.6E-5	2.1E-3	2.1E-4
1.625	6.4E-3	-	-	1.4E-3	3.6E-5	2.3E-3	2.2E-4
1.75	6.7E-3	-	-	1.3E-3	3.6E-5	2.5E-3	2.3E-4
1.875	6.9E-3	-	-	1.3E-3	3.6E-5	2.6E-3	2.5E-4
2	7.1E-3	6.9E-3	2.2E-2	1.2E-3	3.6E-5	2.8E-3	2.6E-4
2.25	7.5E-3	-	-	1.1E-3	3.7E-5	3.1E-3	2.9E-4
