Radionuclide	U-238
Route of Intake	Inhalation
Material	Aerosols Type F, Uranium hexafluoride, uranyl tributyl-phosphate, fA=2E-2
AMTD/AMAD, µm	0.03

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Th-234)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Th-234)	Lungs* (Th-234)	Skeleton* (Th-234)	Liver* (Th-234)
0.041667	7.3E-4	-	-	5.1E-5	4.3E-4	2.1E-5	1.8E-5
0.083333	1.4E-3	-	-	1.3E-4	6.0E-4	8.2E-5	4.9E-5
0.125	2.0E-3	-	-	2.1E-4	6.2E-4	1.7E-4	8.1E-5
0.25	3.5E-3	-	-	4.5E-4	4.5E-4	5.6E-4	1.5E-4
0.375	4.6E-3	-	-	6.9E-4	2.8E-4	9.9E-4	1.9E-4
0.5	5.6E-3	-	-	9.4E-4	1.8E-4	1.4E-3	2.1E-4
0.625	6.5E-3	-	-	1.2E-3	1.3E-4	1.8E-3	2.3E-4
0.75	7.3E-3	-	-	1.4E-3	1.1E-4	2.2E-3	2.5E-4
0.875	8.1E-3	-	-	1.6E-3	9.2E-5	2.6E-3	2.8E-4
1	8.9E-3	3.4E-1	1.1E-2	1.7E-3	8.3E-5	2.9E-3	3.0E-4
1.125	9.6E-3	-	-	1.8E-3	7.8E-5	3.3E-3	3.3E-4
1.25	1.0E-2	-	-	1.9E-3	7.4E-5	3.6E-3	3.6E-4
1.375	1.1E-2	-	-	2.0E-3	7.2E-5	3.9E-3	3.8E-4
1.5	1.1E-2	-	-	2.0E-3	7.1E-5	4.3E-3	4.1E-4
1.625	1.2E-2	-	-	2.0E-3	7.1E-5	4.6E-3	4.4E-4
1.75	1.3E-2	-	-	1.9E-3	7.1E-5	4.9E-3	4.7E-4
1.875	1.3E-2	-	-	1.8E-3	7.1E-5	5.2E-3	5.0E-4
2	1.3E-2	1.4E-2	3.2E-2	1.8E-3	7.2E-5	5.5E-3	5.3E-4
2.25	1.4E-2	-	-	1.6E-3	7.3E-5	6.1E-3	5.8E-4
2.5	1.5E-2	-	-	1.3E-3	7.4E-5	6.7E-3	6.3E-4
2.75	1.6E-2	-	-	1.1E-3	7.6E-5	7.3E-3	6.9E-4
3	1.7E-2	9.7E-3	2.0E-2	9.3E-4	7.7E-5	7.9E-3	7.4E-4
3.25	1.8E-2	-	-	7.6E-4	7.9E-5	8.5E-3	7.9E-4
3.5	1.8E-2	-	-	6.2E-4	8.0E-5	9.1E-3	8.4E-4
3.75	1.9E-2	-	-	5.0E-4	8.1E-5	9.7E-3	8.9E-4
4	2.0E-2	8.7E-3	7.5E-3	4.0E-4	8.2E-5	1.0E-2	9.4E-4
4.25	2.1E-2	-	-	3.3E-4	8.3E-5	1.1E-2	9.8E-4
