Radionuclide	U-238
Route of Intake	Inhalation
Material	Aerosols Type S, fA=2E-4
AMTD/AMAD, µm	0.003

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Th-234)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Th-234)	Lungs* (Th-234)	Skeleton* (Th-234)	Liver* (Th-234)
0.041667	1.1E-3	-	-	2.4E-4	5.2E-4	6.6E-8	5.7E-8
0.083333	2.2E-3	-	-	5.8E-4	1.0E-3	2.8E-7	1.8E-7
0.125	3.3E-3	-	-	9.8E-4	1.4E-3	6.4E-7	3.3E-7
0.25	6.5E-3	-	-	2.4E-3	2.7E-3	2.6E-6	8.6E-7
0.375	9.6E-3	-	-	4.0E-3	4.0E-3	5.4E-6	1.4E-6
0.5	1.3E-2	-	-	5.7E-3	5.2E-3	9.0E-6	1.9E-6
0.625	1.5E-2	-	-	7.4E-3	6.3E-3	1.3E-5	2.2E-6
0.75	1.8E-2	-	-	9.1E-3	7.4E-3	1.7E-5	2.6E-6
0.875	2.0E-2	-	-	1.1E-2	8.5E-3	2.1E-5	2.9E-6
1	2.3E-2	2.4E-3	6.9E-2	1.2E-2	9.6E-3	2.5E-5	3.1E-6
1.125	2.4E-2	-	-	1.3E-2	1.1E-2	2.9E-5	3.4E-6
1.25	2.6E-2	-	-	1.4E-2	1.2E-2	3.2E-5	3.6E-6
1.375	2.8E-2	-	-	1.4E-2	1.2E-2	3.6E-5	3.8E-6
1.5	2.9E-2	-	-	1.5E-2	1.3E-2	3.9E-5	4.0E-6
1.625	3.0E-2	-	-	1.5E-2	1.4E-2	4.2E-5	4.2E-6
1.75	3.0E-2	-	-	1.5E-2	1.5E-2	4.5E-5	4.4E-6
1.875	3.1E-2	-	-	1.5E-2	1.6E-2	4.8E-5	4.7E-6
2	3.1E-2	3.3E-4	2.3E-1	1.4E-2	1.7E-2	5.1E-5	4.9E-6
2.25	3.2E-2	-	-	1.3E-2	1.8E-2	5.7E-5	5.3E-6
2.5	3.2E-2	-	-	1.2E-2	1.9E-2	6.2E-5	5.8E-6
2.75	3.2E-2	-	-	1.1E-2	2.1E-2	6.8E-5	6.2E-6
3	3.2E-2	1.1E-4	1.7E-1	1.0E-2	2.2E-2	7.3E-5	6.7E-6
3.25	3.3E-2	-	-	9.5E-3	2.3E-2	7.8E-5	7.1E-6
3.5	3.3E-2	-	-	8.7E-3	2.4E-2	8.3E-5	7.6E-6
3.75	3.3E-2	-	-	8.0E-3	2.5E-2	8.8E-5	8.0E-6
4	3.4E-2	9.2E-5	8.3E-2	7.5E-3	2.6E-2	9.3E-5	8.4E-6
