Radionuclide	U-238
Route of Intake	Inhalation
Material	Aerosols Intermediate Type F/M: Uranyl nitrate, uranium peroxide hydrate, ammonium diuranate, uranium trioxide, fA=1.6E-2
AMTD/AMAD, µm	0.001

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Th-234)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Th-234)	Lungs* (Th-234)	Skeleton* (Th-234)	Liver* (Th-234)
0.041667	1.2E-3	-	-	3.8E-4	1.8E-4	9.4E-7	7.6E-7
0.083333	2.3E-3	-	-	8.9E-4	3.1E-4	3.7E-6	2.2E-6
0.125	3.4E-3	-	-	1.5E-3	4.0E-4	8.1E-6	3.9E-6
0.25	6.6E-3	-	-	3.5E-3	6.2E-4	3.2E-5	1.0E-5
0.375	9.5E-3	-	-	5.9E-3	8.0E-4	7.0E-5	1.8E-5
0.5	1.2E-2	-	-	8.3E-3	9.4E-4	1.2E-4	2.6E-5
0.625	1.5E-2	-	-	1.1E-2	1.0E-3	1.8E-4	3.5E-5
0.75	1.7E-2	-	-	1.3E-2	1.1E-3	2.5E-4	4.4E-5
0.875	1.9E-2	-	-	1.5E-2	1.2E-3	3.3E-4	5.2E-5
1	2.1E-2	4.1E-2	1.0E-1	1.6E-2	1.2E-3	4.1E-4	6.1E-5
1.125	2.2E-2	-	-	1.8E-2	1.2E-3	5.0E-4	6.9E-5
1.25	2.3E-2	-	-	1.9E-2	1.3E-3	5.9E-4	7.6E-5
1.375	2.3E-2	-	-	1.9E-2	1.3E-3	6.7E-4	8.4E-5
1.5	2.3E-2	-	-	1.9E-2	1.3E-3	7.6E-4	9.1E-5
1.625	2.3E-2	-	-	1.9E-2	1.3E-3	8.5E-4	9.8E-5
1.75	2.3E-2	-	-	1.9E-2	1.3E-3	9.4E-4	1.0E-4
1.875	2.2E-2	-	-	1.8E-2	1.2E-3	1.0E-3	1.1E-4
2	2.1E-2	1.5E-2	3.2E-1	1.7E-2	1.2E-3	1.1E-3	1.2E-4
2.25	2.0E-2	-	-	1.5E-2	1.2E-3	1.3E-3	1.3E-4
2.5	1.7E-2	-	-	1.3E-2	1.2E-3	1.4E-3	1.4E-4
2.75	1.6E-2	-	-	1.1E-2	1.2E-3	1.6E-3	1.5E-4
3	1.4E-2	5.5E-3	2.1E-1	9.0E-3	1.2E-3	1.7E-3	1.6E-4
3.25	1.2E-2	-	-	7.3E-3	1.1E-3	1.9E-3	1.7E-4
3.5	1.1E-2	-	-	5.8E-3	1.1E-3	2.0E-3	1.8E-4
3.75	9.8E-3	-	-	4.6E-3	1.1E-3	2.2E-3	1.9E-4
4	9.0E-3	2.8E-3	7.9E-2	3.6E-3	1.1E-3	2.3E-3	2.0E-4
4.25	8.3E-3	-	-	2.8E-3	1.1E-3	2.4E-3	2.1E-4
4.5	7.9E-3	-	-	2.2E-3	1.1E-3	2.5E-3	2.2E-4
4.75	7.6E-3	-	-	1.7E-3	1.1E-3	2.6E-3	2.3E-4
5	7.4E-3	1.9E-3	2.4E-2	1.4E-3	1.1E-3	2.7E-3	2.4E-4
5.5	7.2E-3	-	-	9.1E-4	1.1E-3	2.9E-3	2.5E-4
6	7.2E-3	1.5E-3	7.2E-3	6.6E-4	1.0E-3	3.1E-3	2.7E-4
6.5	7.3E-3	-	-	5.3E-4	1.0E-3	3.3E-3	2.8E-4
7	7.5E-3	1.3E-3	2.7E-3	4.5E-4	9.9E-4	3.5E-3	3.0E-4
7.5	7.6E-3	-	-	4.0E-4	9.6E-4	3.7E-3	3.1E-4
8	7.8E-3	1.2E-3	1.4E-3	3.7E-4	9.3E-4	3.8E-3	3.2E-4
8.5	7.9E-3	-	-	3.5E-4	9.0E-4	4.0E-3	3.3E-4
9	8.1E-3	1.1E-3	1.0E-3	3.3E-4	8.6E-4	4.1E-3	3.4E-4
9.5	8.2E-3	-	-	3.1E-4	8.3E-4	4.3E-3	3.5E-4
10	8.3E-3	9.8E-4	7.9E-4	2.9E-4	8.0E-4	4.4E-3	3.6E-4
11	8.6E-3	8.9E-4	6.3E-4	2.6E-4	7.4E-4	4.7E-3	3.8E-4
