Radionuclide	U-238
Route of Intake	Inhalation
Material	Aerosols Intermediate Type M/S: Uranium octoxide, uranium dioxide, fA=6E-4
AMTD/AMAD, µm	0.03

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Th-234)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Th-234)	Lungs* (Th-234)	Skeleton* (Th-234)	Liver* (Th-234)
0.041667	7.3E-4	-	-	4.3E-5	6.2E-4	7.4E-8	6.5E-8
0.083333	1.5E-3	-	-	1.1E-4	1.2E-3	3.4E-7	2.3E-7
0.125	2.2E-3	-	-	1.8E-4	1.8E-3	8.3E-7	4.5E-7
0.25	4.3E-3	-	-	4.4E-4	3.6E-3	3.8E-6	1.4E-6
0.375	6.5E-3	-	-	7.5E-4	5.4E-3	9.1E-6	2.7E-6
0.5	8.6E-3	-	-	1.1E-3	7.1E-3	1.7E-5	4.2E-6
0.625	1.1E-2	-	-	1.4E-3	8.8E-3	2.6E-5	5.7E-6
0.75	1.3E-2	-	-	1.8E-3	1.1E-2	3.8E-5	7.3E-6
0.875	1.5E-2	-	-	2.1E-3	1.2E-2	5.1E-5	8.9E-6
1	1.7E-2	5.6E-3	1.3E-2	2.4E-3	1.4E-2	6.5E-5	1.0E-5
1.125	1.8E-2	-	-	2.6E-3	1.5E-2	8.0E-5	1.2E-5
1.25	2.0E-2	-	-	2.8E-3	1.7E-2	9.6E-5	1.4E-5
1.375	2.2E-2	-	-	3.0E-3	1.9E-2	1.1E-4	1.5E-5
1.5	2.4E-2	-	-	3.1E-3	2.0E-2	1.3E-4	1.6E-5
1.625	2.5E-2	-	-	3.2E-3	2.2E-2	1.5E-4	1.8E-5
1.75	2.7E-2	-	-	3.2E-3	2.3E-2	1.6E-4	1.9E-5
1.875	2.8E-2	-	-	3.2E-3	2.5E-2	1.8E-4	2.0E-5
2	3.0E-2	3.0E-3	4.5E-2	3.2E-3	2.6E-2	2.0E-4	2.2E-5
2.25	3.3E-2	-	-	3.2E-3	2.9E-2	2.3E-4	2.4E-5
2.5	3.6E-2	-	-	3.1E-3	3.2E-2	2.6E-4	2.7E-5
2.75	3.8E-2	-	-	3.0E-3	3.5E-2	2.9E-4	2.9E-5
