Radionuclide	U-238
Route of Intake	Inhalation
Material	Aerosols Uranium aluminide, fA=2E-3
AMTD/AMAD, µm	5

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Th-234)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Th-234)	Lungs* (Th-234)	Skeleton* (Th-234)	Liver* (Th-234)
0.041667	9.6E-4	-	-	3.3E-4	9.1E-5	9.9E-10	8.2E-10
0.083333	1.9E-3	-	-	7.6E-4	1.7E-4	9.9E-9	5.5E-9
0.125	2.8E-3	-	-	1.2E-3	2.5E-4	3.4E-8	1.4E-8
0.25	5.5E-3	-	-	2.9E-3	4.7E-4	2.2E-7	5.1E-8
0.375	8.0E-3	-	-	4.9E-3	6.9E-4	5.5E-7	9.7E-8
0.5	1.0E-2	-	-	6.9E-3	9.1E-4	1.0E-6	1.5E-7
0.625	1.2E-2	-	-	9.0E-3	1.1E-3	1.5E-6	2.0E-7
0.75	1.4E-2	-	-	1.1E-2	1.3E-3	2.1E-6	2.6E-7
0.875	1.6E-2	-	-	1.3E-2	1.6E-3	2.8E-6	3.2E-7
1	1.7E-2	6.5E-4	8.5E-2	1.4E-2	1.8E-3	3.5E-6	3.9E-7
1.125	1.8E-2	-	-	1.5E-2	2.0E-3	4.2E-6	4.5E-7
1.25	1.9E-2	-	-	1.6E-2	2.2E-3	4.9E-6	5.2E-7
1.375	2.0E-2	-	-	1.6E-2	2.4E-3	5.6E-6	5.9E-7
1.5	2.0E-2	-	-	1.6E-2	2.6E-3	6.4E-6	6.5E-7
1.625	2.0E-2	-	-	1.6E-2	2.8E-3	7.1E-6	7.2E-7
1.75	2.0E-2	-	-	1.6E-2	3.0E-3	7.8E-6	7.9E-7
1.875	1.9E-2	-	-	1.5E-2	3.2E-3	8.6E-6	8.6E-7
2	1.9E-2	1.6E-4	2.7E-1	1.5E-2	3.4E-3	9.3E-6	9.3E-7
2.25	1.7E-2	-	-	1.3E-2	3.8E-3	1.1E-5	1.1E-6
2.5	1.6E-2	-	-	1.1E-2	4.2E-3	1.2E-5	1.2E-6
2.75	1.4E-2	-	-	9.3E-3	4.5E-3	1.4E-5	1.3E-6
3	1.3E-2	4.6E-5	1.8E-1	7.6E-3	4.9E-3	1.5E-5	1.5E-6
3.25	1.1E-2	-	-	6.1E-3	5.3E-3	1.7E-5	1.6E-6
3.5	1.1E-2	-	-	4.8E-3	5.6E-3	1.8E-5	1.8E-6
3.75	9.8E-3	-	-	3.8E-3	6.0E-3	2.0E-5	1.9E-6
4	9.3E-3	3.1E-5	6.7E-2	2.9E-3	6.3E-3	2.1E-5	2.0E-6
4.25	9.0E-3	-	-	2.2E-3	6.7E-3	2.3E-5	2.2E-6
