Radionuclide	U-238
Route of Intake	Injection
Material	Injection, fA=2E-2
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Th-234)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Th-234)	Skeleton* (Th-234)	Liver* (Th-234)
0.041667	1.1E-3	-	-	4.8E-5	1.3E-4	6.8E-5
0.083333	2.0E-3	-	-	6.8E-5	3.2E-4	9.5E-5
0.125	2.7E-3	-	-	8.0E-5	5.1E-4	1.1E-4
0.25	4.2E-3	-	-	1.1E-4	1.1E-3	1.6E-4
0.375	5.5E-3	-	-	1.3E-4	1.7E-3	2.1E-4
0.5	6.8E-3	-	-	1.5E-4	2.4E-3	2.7E-4
0.625	8.1E-3	-	-	1.6E-4	3.0E-3	3.2E-4
0.75	9.3E-3	-	-	1.8E-4	3.6E-3	3.8E-4
0.875	1.1E-2	-	-	1.9E-4	4.2E-3	4.3E-4
1	1.2E-2	6.4E-1	1.4E-3	2.0E-4	4.8E-3	4.9E-4
1.125	1.3E-2	-	-	2.0E-4	5.4E-3	5.4E-4
1.25	1.4E-2	-	-	2.1E-4	6.0E-3	6.0E-4
1.375	1.5E-2	-	-	2.1E-4	6.6E-3	6.5E-4
1.5	1.6E-2	-	-	2.1E-4	7.1E-3	7.1E-4
1.625	1.7E-2	-	-	2.1E-4	7.7E-3	7.6E-4
1.75	1.9E-2	-	-	2.1E-4	8.3E-3	8.2E-4
1.875	2.0E-2	-	-	2.1E-4	8.9E-3	8.7E-4
2	2.1E-2	2.2E-2	2.3E-3	2.1E-4	9.5E-3	9.2E-4
2.25	2.3E-2	-	-	2.0E-4	1.1E-2	1.0E-3
2.5	2.5E-2	-	-	2.0E-4	1.2E-2	1.1E-3
2.75	2.7E-2	-	-	1.9E-4	1.3E-2	1.2E-3
3	2.9E-2	1.8E-2	1.0E-3	1.9E-4	1.4E-2	1.3E-3
3.25	3.0E-2	-	-	1.9E-4	1.5E-2	1.4E-3
3.5	3.2E-2	-	-	1.8E-4	1.6E-2	1.5E-3
3.75	3.4E-2	-	-	1.8E-4	1.7E-2	1.6E-3
4	3.6E-2	1.6E-2	3.4E-4	1.8E-4	1.8E-2	1.7E-3
4.25	3.7E-2	-	-	1.9E-4	1.9E-2	1.8E-3
4.5	3.9E-2	-	-	1.9E-4	2.0E-2	1.9E-3
4.75	4.1E-2	-	-	1.9E-4	2.1E-2	1.9E-3
5	4.2E-2	1.5E-2	1.2E-4	1.9E-4	2.2E-2	2.0E-3
5.5	4.5E-2	-	-	1.9E-4	2.4E-2	2.2E-3
6	4.8E-2	1.3E-2	6.7E-5	2.0E-4	2.6E-2	2.3E-3
6.5	5.1E-2	-	-	2.0E-4	2.8E-2	2.5E-3
7	5.3E-2	1.2E-2	5.1E-5	2.0E-4	3.0E-2	2.6E-3
7.5	5.6E-2	-	-	2.0E-4	3.1E-2	2.7E-3
8	5.8E-2	1.1E-2	4.4E-5	2.0E-4	3.3E-2	2.9E-3
8.5	6.0E-2	-	-	2.0E-4	3.5E-2	3.0E-3
9	6.2E-2	1.0E-2	4.0E-5	2.1E-4	3.6E-2	3.1E-3
9.5	6.4E-2	-	-	2.1E-4	3.8E-2	3.2E-3
10	6.6E-2	9.4E-3	3.6E-5	2.1E-4	3.9E-2	3.3E-3
11	7.0E-2	8.7E-3	3.3E-5	2.1E-4	4.2E-2	3.5E-3
12	7.3E-2	8.0E-3	3.0E-5	2.1E-4	4.5E-2	3.6E-3
13	7.5E-2	7.4E-3	2.8E-5	2.1E-4	4.8E-2	3.8E-3
14	7.8E-2	6.8E-3	2.6E-5	2.1E-4	5.0E-2	3.9E-3
15	8.0E-2	6.3E-3	2.4E-5	2.0E-4	5.2E-2	4.0E-3
16	8.2E-2	5.8E-3	2.2E-5	2.0E-4	5.4E-2	4.1E-3
17	8.4E-2	5.4E-3	2.1E-5	2.0E-4	5.6E-2	4.2E-3
18	8.6E-2	5.1E-3	2.0E-5	2.0E-4	5.8E-2	4.2E-3
19	8.7E-2	4.7E-3	1.9E-5	2.0E-4	6.0E-2	4.3E-3
20	8.9E-2	4.4E-3	1.8E-5	2.0E-4	6.2E-2	4.3E-3
21	9.0E-2	4.1E-3	1.7E-5	2.0E-4	6.3E-2	4.4E-3
