Radionuclide	U-238
Route of Intake	Inhalation
Material	Aerosols Type M, Uranyl acetylacetonate; depleted uranium aerosols from use of kinetic energy penetrators; vaporised uranium metal; all unspecified forms, fA=4E-3
AMTD/AMAD, µm	20

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Th-234)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Th-234)	Lungs* (Th-234)	Skeleton* (Th-234)	Liver* (Th-234)
0.041667	7.9E-4	-	-	2.9E-4	1.6E-5	2.2E-7	1.6E-7
0.083333	1.6E-3	-	-	6.5E-4	2.9E-5	6.8E-7	3.2E-7
0.125	2.3E-3	-	-	1.1E-3	3.9E-5	1.3E-6	5.0E-7
0.25	4.4E-3	-	-	2.5E-3	6.6E-5	4.2E-6	1.1E-6
0.375	6.4E-3	-	-	4.2E-3	9.1E-5	8.3E-6	1.8E-6
0.5	8.3E-3	-	-	6.0E-3	1.2E-4	1.3E-5	2.4E-6
0.625	1.0E-2	-	-	7.7E-3	1.4E-4	1.9E-5	3.0E-6
0.75	1.1E-2	-	-	9.3E-3	1.7E-4	2.5E-5	3.5E-6
0.875	1.3E-2	-	-	1.1E-2	1.9E-4	3.1E-5	4.0E-6
1	1.4E-2	4.3E-3	7.3E-2	1.2E-2	2.1E-4	3.7E-5	4.5E-6
1.125	1.5E-2	-	-	1.3E-2	2.4E-4	4.3E-5	5.0E-6
1.25	1.5E-2	-	-	1.4E-2	2.6E-4	4.9E-5	5.4E-6
1.375	1.5E-2	-	-	1.4E-2	2.8E-4	5.4E-5	5.8E-6
1.5	1.5E-2	-	-	1.4E-2	3.1E-4	6.0E-5	6.3E-6
1.625	1.5E-2	-	-	1.4E-2	3.3E-4	6.6E-5	6.7E-6
1.75	1.5E-2	-	-	1.4E-2	3.5E-4	7.1E-5	7.1E-6
1.875	1.4E-2	-	-	1.3E-2	3.7E-4	7.6E-5	7.5E-6
2	1.4E-2	7.1E-4	2.3E-1	1.3E-2	3.9E-4	8.1E-5	7.9E-6
